cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,heating_sp,cooling_sp,comfort_band
0.0,3.0060942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,-0.0,0.0,-0.0,-0.0,3.0060942,0.0,0.4247888,0.4247888,0.4247888,0.0,0.4247888,0.4247888,0.4247888,-0.0,18.867134,18.88889,18.88889,2.0
0.0,2.9181454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.9181454,0.0,0.4057807,0.4057807,0.4057807,0.0,0.4057807,0.4057807,0.4057807,-0.0,18.888659,18.88889,18.88889,2.0
0.0,2.8906353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.8906353,0.0,0.40127003,0.40127003,0.40127003,0.0,0.40127003,0.40127003,0.40127003,-0.0,18.88887,18.88889,18.88889,2.0
0.0,2.928948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62724644,0.62724644,0.0,0.17541052,3.299991864221732,0.5788533021340431,0.0,-0.0,0.0,-0.0,-0.0,2.928948,0.62724644,0.40161616,1.0288626,1.0288626,0.0,-0.5281211,-0.5281211,0.40161616,-0.0,18.888887,18.88889,18.88889,2.0
0.0,2.9719005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5341964,0.0,-0.5341964,0.0044214632,3.2999849353438386,0.014590762071678627,0.0,-0.0,0.0,-0.0,0.5341964,2.1983192,0.0,0.42079672,-0.113399655,0.0,-0.113399655,1.2577478,1.2577478,0.42079672,-0.0,18.88889,18.88889,18.88889,2.0
0.0,3.0288408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013525572,0.0,-0.013525572,0.0,3.2999847599079213,0.0,0.0,-0.0,0.0,-0.0,0.013525572,3.0288408,0.0,0.45650008,0.4429745,0.4429745,0.0,0.45650008,0.45650008,0.45650008,-0.0,18.88889,18.88889,18.88889,2.0
0.0,2.9086242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2999847599079213,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.9086242,0.0,0.5189465,0.5189465,0.5189465,0.0,-0.084166765,-0.084166765,0.5189465,-0.0,18.88889,18.88889,18.88889,2.0
0.0,3.7882905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2999847599079213,0.0,0.0,-0.0,0.0,-0.0,-0.0,3.2864745,0.0,0.61453795,0.61453795,0.61453795,0.0,1.1574614,1.1574614,0.61453795,-0.0,18.88889,18.88889,18.88889,2.0
0.0,2.6335888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2999847599079213,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.6335888,0.0,1.1432062,1.1224469,1.1224469,0.0,1.1224469,1.1432062,1.1432062,-0.020759312,18.88889,18.88889,18.88889,2.0
0.0,2.204027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2999847599079213,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.204027,0.0,1.2922682,1.2266691,1.2266691,0.0,-0.48737288,-0.4217738,1.2922682,-0.06559909,18.88889,18.88889,18.88889,2.0
0.0,1.5029858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2999847599079213,0.0,0.0,-0.0,0.0,-0.0,-0.0,1.5029858,0.0,1.3192035,1.2155433,1.2155433,0.0,-1.2569671,-1.1533068,1.3192035,-0.10366025,18.88889,18.88889,18.88889,2.0
0.0,0.6513292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0012158,1.0012158,0.0,0.28643486,3.299971773453189,0.9452269497564607,0.0,-0.0,0.0,-0.0,-0.0,0.6513292,1.0012158,1.3000665,2.1676638,2.1676638,0.0,0.96356416,1.0971826,1.3000665,-0.13361849,18.88889,18.88889,18.88889,2.0
0.0,0.20051856,0.0,0.0,0.7201089,0.7530466,0.0,0.0,0.0,0.0,0.0,0.0,-0.89238435,0.0,-0.89238435,0.0029535184,3.2999601985715348,0.009746493214818774,0.0,-0.0,0.0,-0.0,0.89238435,0.20051856,0.0,0.98500293,-0.045221955,0.0,-0.045221955,0.84224844,0.98008895,0.98500293,-0.13784054,18.88889,18.88889,18.88889,2.0
