heating_storage,electrical_storage,cooling_or_heating_device
0.091,0.091,0.34432539343833923
0.091,0.091,0.38338205218315125
0.091,0.091,0.38333436846733093
0.091,0.091,0.3833332359790802
0.091,0.091,0.3833332359790802
0.091,0.091,0.3833332359790802
0.091,0.091,0.3833332359790802
0.091,0.091,0.3833332359790802
-0.08,-0.08,0.3833332359790802
-0.08,-0.08,0.3833332359790802
-0.08,-0.08,0.3833332359790802
-0.08,-0.08,0.3833332359790802
-0.08,-0.08,0.3833332359790802
-0.08,-0.08,0.3833332359790802
-0.08,-0.08,0.3832229673862457
-0.08,-0.08,0.0
-0.08,-0.08,0.17942191660404205
-0.08,-0.08,0.0
-0.08,-0.08,0.19374918937683105
-0.08,-0.08,0.0
-0.08,-0.08,0.20571240782737732
0.091,0.091,0.17413024604320526
0.091,0.091,0.2653152644634247
0.091,0.091,0.18787002563476562
0.091,0.091,0.23898276686668396
0.091,0.091,0.23031234741210938
0.091,0.091,0.2598739564418793
0.091,0.091,0.2503410279750824
0.091,0.091,0.2698139250278473
0.091,0.091,0.2564311921596527
0.091,0.091,0.24958114326000214
0.091,0.091,0.2561187744140625
-0.08,-0.08,0.23308181762695312
-0.08,-0.08,0.17272834479808807
-0.08,-0.08,0.18996238708496094
-0.08,-0.08,0.0
-0.08,-0.08,0.22634387016296387
-0.08,-0.08,0.0
-0.08,-0.08,0.20871730148792267
-0.08,-0.08,0.0
-0.08,-0.08,0.18578359484672546
-0.08,-0.08,0.0
-0.08,-0.08,0.15901373326778412
-0.08,-0.08,0.0
-0.08,-0.08,0.15213866531848907
0.091,0.091,0.0
0.091,0.091,0.21595092117786407
0.091,0.091,0.0
0.091,0.091,0.2078121155500412
0.091,0.091,0.0
0.091,0.091,0.2147708535194397
0.091,0.091,0.0
0.091,0.091,0.22064730525016785
0.091,0.091,0.15116845071315765
0.091,0.091,0.20857581496238708
0.091,0.091,0.21743011474609375
-0.08,-0.08,0.18899384140968323
-0.08,-0.08,0.1934070587158203
-0.08,-0.08,0.17118529975414276
-0.08,-0.08,0.19790343940258026
-0.08,-0.08,0.21369782090187073
-0.08,-0.08,0.2174064666032791
-0.08,-0.08,0.20610351860523224
-0.08,-0.08,0.21140022575855255
-0.08,-0.08,0.20810547471046448
-0.08,-0.08,0.20841559767723083
-0.08,-0.08,0.20762404799461365
-0.08,-0.08,0.19372177124023438
-0.08,-0.08,0.20992890000343323
0.091,0.091,0.18939971923828125
0.091,0.091,0.18027648329734802
0.091,0.091,0.17943954467773438
0.091,0.091,0.17438125610351562
0.091,0.091,0.18091507256031036
0.091,0.091,0.1788303405046463
0.091,0.091,0.1899978667497635
0.091,0.091,0.1845577210187912
0.091,0.091,0.1899101287126541
0.091,0.091,0.17983970046043396
0.091,0.091,0.19591636955738068
-0.08,-0.08,0.15834961831569672
-0.08,-0.08,0.16674576699733734
-0.08,-0.08,0.0
-0.08,-0.08,0.18889795243740082
-0.08,-0.08,0.0
-0.08,-0.08,0.12116587162017822
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.10862589627504349
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.1112988218665123
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.13820281624794006
0.091,0.091,0.0
0.091,0.091,0.10845893621444702
0.091,0.091,0.0
0.091,0.091,0.11295785754919052
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.14087416231632233
0.091,0.091,0.0
0.091,0.091,0.0
-0.08,-0.08,0.11515765637159348
-0.08,-0.08,0.0
-0.08,-0.08,0.11111544072628021
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.1225031167268753
-0.08,-0.08,0.0
-0.08,-0.08,0.15544775128364563
-0.08,-0.08,0.0
-0.08,-0.08,0.14628882706165314
-0.08,-0.08,0.0
-0.08,-0.08,0.14386692643165588
-0.08,-0.08,0.0
0.091,0.091,0.1713065803050995
0.091,0.091,0.0
0.091,0.091,0.21978004276752472
0.091,0.091,0.0
0.091,0.091,0.1682547777891159
0.091,0.091,0.0
0.091,0.091,0.19276267290115356
0.091,0.091,0.0
0.091,0.091,0.15876740217208862
0.091,0.091,0.15144120156764984
0.091,0.091,0.2023323029279709
-0.08,-0.08,0.0
-0.08,-0.08,0.1059471145272255
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.17582623660564423
0.091,0.091,0.0
0.091,0.091,0.19003304839134216
0.091,0.091,0.21656417846679688
0.091,0.091,0.20503540337085724
0.091,0.091,0.2885143458843231
0.091,0.091,0.21318359673023224
0.091,0.091,0.25842973589897156
0.091,0.091,0.25996705889701843
0.091,0.091,0.2434646636247635
0.091,0.091,0.2393161803483963
0.091,0.091,0.2427223175764084
-0.08,-0.08,0.20822295546531677
-0.08,-0.08,0.21739807724952698
-0.08,-0.08,0.19838103652000427
-0.08,-0.08,0.2171890288591385
-0.08,-0.08,0.20484542846679688
-0.08,-0.08,0.18969039618968964
-0.08,-0.08,0.1886604279279709
-0.08,-0.08,0.17234650254249573
-0.08,-0.08,0.19254836440086365
-0.08,-0.08,0.19055481255054474
-0.08,-0.08,0.18937110900878906
-0.08,-0.08,0.20721206068992615
-0.08,-0.08,0.1996585875749588
0.091,0.091,0.22134093940258026
0.091,0.091,0.1964057981967926
0.091,0.091,0.21445998549461365
0.091,0.091,0.20328064262866974
0.091,0.091,0.2169342041015625
0.091,0.091,0.2093246430158615
0.091,0.091,0.21574707329273224
0.091,0.091,0.20146027207374573
0.091,0.091,0.21773453056812286
0.091,0.091,0.21430130302906036
0.091,0.091,0.21022644639015198
-0.08,-0.08,0.21615180373191833
-0.08,-0.08,0.19300612807273865
-0.08,-0.08,0.2014915496110916
-0.08,-0.08,0.19481201469898224
-0.08,-0.08,0.19167327880859375
-0.08,-0.08,0.1655677855014801
-0.08,-0.08,0.0
-0.08,-0.08,0.22488267719745636
-0.08,-0.08,0.0
-0.08,-0.08,0.1843188852071762
-0.08,-0.08,0.0
-0.08,-0.08,0.11536958813667297
-0.08,-0.08,0.0
0.091,0.091,0.14469937980175018
0.091,0.091,0.0
0.091,0.091,0.13239401578903198
0.091,0.091,0.0
0.091,0.091,0.17071108520030975
0.091,0.091,0.0
0.091,0.091,0.15296798944473267
0.091,0.091,0.0
0.091,0.091,0.14742116630077362
0.091,0.091,0.0
0.091,0.091,0.15559907257556915
-0.08,-0.08,0.0
-0.08,-0.08,0.12470369040966034
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.13913965225219727
-0.08,-0.08,0.0
-0.08,-0.08,0.11505874246358871
-0.08,-0.08,0.0
-0.08,-0.08,0.14259615540504456
-0.08,-0.08,0.0
-0.08,-0.08,0.1426544189453125
-0.08,-0.08,0.0
-0.08,-0.08,0.1704295575618744
0.091,0.091,0.0
0.091,0.091,0.19966432452201843
0.091,0.091,0.0
0.091,0.091,0.22206157445907593
0.091,0.091,0.0
0.091,0.091,0.22421719133853912
0.091,0.091,0.0
0.091,0.091,0.23668090999126434
0.091,0.091,0.1724529266357422
0.091,0.091,0.23184815049171448
0.091,0.091,0.16836433112621307
-0.08,-0.08,0.1742904633283615
-0.08,-0.08,0.0
-0.08,-0.08,0.19183677434921265
-0.08,-0.08,0.0
-0.08,-0.08,0.1949155479669571
-0.08,-0.08,0.15444450080394745
-0.08,-0.08,0.1886039674282074
-0.08,-0.08,0.0
-0.08,-0.08,0.1644017994403839
-0.08,-0.08,0.0
-0.08,-0.08,0.1661030799150467
-0.08,-0.08,0.0
-0.08,-0.08,0.1650555580854416
0.091,0.091,0.0
0.091,0.091,0.16585752367973328
0.091,0.091,0.0
0.091,0.091,0.18551379442214966
0.091,0.091,0.0
0.091,0.091,0.16501840949058533
0.091,0.091,0.0
0.091,0.091,0.15303173661231995
0.091,0.091,0.0
0.091,0.091,0.17774449288845062
0.091,0.091,0.0
-0.08,-0.08,0.15305714309215546
-0.08,-0.08,0.0
-0.08,-0.08,0.1285167783498764
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.12255706638097763
-0.08,-0.08,0.0
-0.08,-0.08,0.12694025039672852
-0.08,-0.08,0.0
0.091,0.091,0.1732017993927002
0.091,0.091,0.0
0.091,0.091,0.18644361197948456
0.091,0.091,0.0
0.091,0.091,0.23568853735923767
0.091,0.091,0.0
0.091,0.091,0.14420631527900696
0.091,0.091,0.0
0.091,0.091,0.17861878871917725
0.091,0.091,0.0
0.091,0.091,0.21002443134784698
-0.08,-0.08,0.0
-0.08,-0.08,0.1564127653837204
-0.08,-0.08,0.0
-0.08,-0.08,0.13803818821907043
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.12540985643863678
-0.08,-0.08,0.0
-0.08,-0.08,0.1699196845293045
0.091,0.091,0.0
0.091,0.091,0.22220155596733093
0.091,0.091,0.0
0.091,0.091,0.17980355024337769
0.091,0.091,0.15266571938991547
0.091,0.091,0.1930839568376541
0.091,0.091,0.22915343940258026
0.091,0.091,0.26187363266944885
0.091,0.091,0.27924346923828125
0.091,0.091,0.18437537550926208
0.091,0.091,0.2361091673374176
-0.08,-0.08,0.0
-0.08,-0.08,0.18568584322929382
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.1201273500919342
-0.08,-0.08,0.0
0.091,0.091,0.16578596830368042
0.091,0.091,0.0
0.091,0.091,0.20082718133926392
0.091,0.091,0.0
0.091,0.091,0.21865864098072052
0.091,0.091,0.0
0.091,0.091,0.20291829109191895
0.091,0.091,0.0
0.091,0.091,0.2338726967573166
0.091,0.091,0.0
0.091,0.091,0.2140924632549286
-0.08,-0.08,0.0
-0.08,-0.08,0.16618870198726654
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.13782548904418945
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.13689996302127838
-0.08,-0.08,0.0
-0.08,-0.08,0.1489238142967224
-0.08,-0.08,0.0
-0.08,-0.08,0.15868528187274933
-0.08,-0.08,0.0
0.091,0.091,0.15980474650859833
0.091,0.091,0.0
0.091,0.091,0.18970617651939392
0.091,0.091,0.0
0.091,0.091,0.21273019909858704
0.091,0.091,0.1579597443342209
0.091,0.091,0.24945946037769318
0.091,0.091,0.20758286118507385
0.091,0.091,0.2195587158203125
0.091,0.091,0.22386017441749573
0.091,0.091,0.2034912109375
-0.08,-0.08,0.21731185913085938
-0.08,-0.08,0.1560928374528885
-0.08,-0.08,0.0
-0.08,-0.08,0.13699693977832794
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.1179259866476059
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.14266029000282288
-0.08,-0.08,0.0
-0.08,-0.08,0.1348307579755783
0.091,0.091,0.0
0.091,0.091,0.12337426841259003
0.091,0.091,0.0
0.091,0.091,0.16427041590213776
0.091,0.091,0.0
0.091,0.091,0.16003189980983734
0.091,0.091,0.0
0.091,0.091,0.14618246257305145
0.091,0.091,0.0
0.091,0.091,0.1395994871854782
0.091,0.091,0.0
-0.08,-0.08,0.14611639082431793
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.10864036530256271
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.1546860635280609
-0.08,-0.08,0.0
-0.08,-0.08,0.12071698904037476
-0.08,-0.08,0.0
-0.08,-0.08,0.12494064122438431
-0.08,-0.08,0.0
0.091,0.091,0.14242646098136902
0.091,0.091,0.0
0.091,0.091,0.17241312563419342
0.091,0.091,0.0
0.091,0.091,0.20559315383434296
0.091,0.091,0.0
0.091,0.091,0.21006588637828827
0.091,0.091,0.0
0.091,0.091,0.1962215155363083
0.091,0.091,0.0
0.091,0.091,0.17625634372234344
-0.08,-0.08,0.0
-0.08,-0.08,0.10612931847572327
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.10714906454086304
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.11439989507198334
-0.08,-0.08,0.0
-0.08,-0.08,0.14587122201919556
-0.08,-0.08,0.0
-0.08,-0.08,0.15867629647254944
0.091,0.091,0.0
0.091,0.091,0.17779846489429474
0.091,0.091,0.0
0.091,0.091,0.1970621794462204
0.091,0.091,0.0
0.091,0.091,0.1742430329322815
0.091,0.091,0.0
0.091,0.091,0.1753261238336563
0.091,0.091,0.0
0.091,0.091,0.17022857069969177
0.091,0.091,0.0
-0.08,-0.08,0.17305868864059448
-0.08,-0.08,0.0
-0.08,-0.08,0.14674785733222961
-0.08,-0.08,0.0
-0.08,-0.08,0.11375785619020462
-0.08,-0.08,0.0
-0.08,-0.08,0.1477019190788269
-0.08,-0.08,0.0
