cooling demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,net fuel consumption,net fuel cost,net fuel emission,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
0.5179084,0.02589542,0.0,5.394657,5.657878,0.0,0.0,0.0,0.0,0.0,0.0,0.5179084,0.0,0.0,0.0,0.0,49.30858,0.0,6.543265,6.56916,55.261753,7.6465573,0.0,6.56916,0.0,6.56916,6.56916,6.56916,6.56916,6.543265,0.0
0.0784016,0.00392008,0.0,6.120484,6.4349904,0.0,0.0,0.0,16.0706,16.0706,0.0,0.0784016,0.0,0.0,0.0,0.0,50.40593,16.0706,7.4673653,23.541885,72.63187,10.050058,0.0,23.541885,0.0,-8.630835,-8.630835,-8.630835,-8.630835,7.4673653,0.0
0.0,0.0,0.0,2.0563266,2.1892252,0.0,0.0,0.0,16.0706,16.0706,0.0,0.0,0.0,0.0,0.0,0.0,50.379753,16.0706,6.2684927,22.339094,72.48336,10.029509,0.0,22.339094,0.0,-9.833628,-9.833628,-9.833628,-9.833628,6.2684927,0.0
0.0,0.0,0.0,11.102127,11.94672,0.0,0.0,0.0,16.0706,16.0706,0.0,0.0,0.0,0.0,0.0,0.0,50.934074,16.0706,6.2296653,22.300268,73.1801,10.125918,0.0,22.300268,0.0,-9.872456,-9.872456,-9.872456,-9.872456,6.2296653,0.0
0.0,0.0,0.0,2.800099,2.9565358,0.0,0.0,0.0,16.0706,16.0706,0.0,0.0,0.0,0.0,0.0,0.0,50.35363,16.0706,7.860568,23.931173,72.400566,10.018051,0.0,23.931173,0.0,-8.241554,-8.241554,-8.241554,-8.241554,7.860568,0.0
0.0,0.0,0.0,17.536346,18.949265,0.0,0.0,0.0,16.0706,16.0706,0.0,0.0,0.0,0.0,0.0,0.0,49.04725,16.0706,8.267109,24.337708,70.96154,9.818935,0.0,24.337708,0.0,-7.8350124,-7.8350124,-7.8350124,-7.8350124,8.267109,0.0
0.0,0.0,0.0,2.6235106,2.7949605,0.0,0.0,0.0,16.0706,16.0706,0.0,0.0,0.0,0.0,0.0,0.0,53.40096,16.0706,15.945933,32.016533,75.88925,10.500781,0.0,32.016533,0.0,-0.044646263,-0.044646263,-0.044646263,-0.044646263,15.945933,0.0
0.0,0.0,0.0,1.1797404,1.2687244,0.0,0.0,0.0,16.0706,16.0706,0.0,0.0,0.0,0.0,0.0,0.0,66.485374,16.0706,16.747854,32.818455,89.02746,12.31871,0.0,32.818455,0.0,2.063943,2.063943,2.063943,2.063943,16.747854,0.0
0.0,0.0,0.0,8.043204,8.478661,0.0,0.0,0.0,16.0706,16.0706,0.0,0.0,0.0,0.0,0.0,0.0,47.71915,16.0706,12.06194,27.695332,69.508675,9.6179,0.0,27.695332,0.0,-4.477388,-4.0401816,-4.477388,-4.0401816,12.06194,-0.43720663
0.0,0.0,0.0,5.363298,5.6787395,0.0,0.0,0.0,-14.128,0.0,-14.128,0.0,0.0,0.0,0.0,14.128,28.500587,0.0,11.415069,-3.990403,31.881514,4.4114394,0.0,0.0,-3.990403,24.293308,25.570778,24.293308,25.570778,11.415069,-1.2774717
0.0,0.0,0.0,7.178627,7.653341,0.0,0.0,0.0,-14.128,0.0,-14.128,0.0,0.0,0.0,0.0,14.128,19.595974,0.0,11.5073,-4.697226,22.040709,3.0497684,0.0,0.0,-4.697226,22.781668,24.858192,22.781668,24.858192,11.5073,-2.0765269
0.39462873,0.019731436,0.0,10.217126,10.884468,0.0,0.0,0.0,-14.128,0.0,-14.128,0.39462873,0.0,0.0,0.0,14.128,11.514495,0.0,12.360687,-4.4761987,13.085901,1.8106931,0.0,0.0,-4.4761987,21.895504,24.624119,21.895504,24.624119,12.360687,-2.7286172
1.2472739,0.07381818,0.0,4.3748145,4.6265616,0.0,0.0,0.0,-14.128,0.0,-14.128,1.2472739,0.0,0.0,0.0,14.128,6.7754617,0.0,12.8908415,-4.020013,7.745923,1.0718019,0.0,0.0,-4.020013,19.033981,21.890657,19.033981,21.890657,12.8908415,-2.856673
