cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,outdoor_temperature,indoor_temperature,heating_sp,cooling_sp,comfort_band
0.0,2.927434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,2.927434,0.0,0.3483989,0.3483989,0.3483989,0.0,0.3483989,0.3483989,0.3483989,-0.0,8.9,19.974815,20.0,20.0,2.0
0.0,3.1115282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.082788415,7.999989032745361,0.6623064140636679,0.0,-0.0,0.0,-0.0,-0.0,3.1115282,0.728,0.307143,1.035143,1.035143,0.0,-0.84905636,-0.84905636,0.307143,-0.0,8.3,20.0,20.0,20.0,2.0
0.0,3.2151113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.16534436,7.999978065490723,1.322751233176973,0.0,-0.0,0.0,-0.0,-0.0,3.2151113,0.728,0.30622673,1.0342267,1.0342267,0.0,-0.8499727,-0.8499727,0.30622673,-0.0,8.3,20.0,20.0,20.0,2.0
0.0,2.9949555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.24766847,7.999967098236084,1.9813396505714564,0.0,-0.0,0.0,-0.0,-0.0,2.9949555,0.728,0.31262633,1.0406263,1.0406263,0.0,-0.8435731,-0.8435731,0.31262633,-0.0,7.2,20.0,20.0,20.0,2.0
0.0,2.9316292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.32976142,7.999956130981445,2.638076859450223,0.0,-0.0,0.0,-0.0,-0.0,2.9316292,0.728,0.36460525,1.0926052,1.0926052,0.0,-0.79159415,-0.79159415,0.36460525,-0.0,6.95,20.0,20.0,20.0,2.0
0.0,3.3890839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.41162384,7.999945163726807,3.2929681125921775,0.0,-0.0,0.0,-0.0,-0.0,3.3890839,0.728,0.4288568,1.1568568,1.1568568,0.0,-0.72734237,-0.72734237,0.4288568,-0.0,6.7,20.0,20.0,20.0,2.0
0.0,2.8370464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.49325636,7.999934196472168,3.9460184243308447,0.0,-0.0,0.0,-0.0,-0.0,2.8370464,0.728,0.504495,1.2324951,1.2324951,0.0,-0.6517041,-0.6517041,0.504495,-0.0,8.33,20.0,20.0,20.0,2.0
0.0,3.0983036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.57465965,7.999923229217529,4.597233047388585,0.0,-0.0,0.0,-0.0,-0.0,3.0983036,0.728,0.7035151,1.4315151,1.4315151,0.0,-0.45268404,-0.45268404,0.7035151,-0.0,4.4,20.0,20.0,20.0,2.0
0.0,2.5347435,0.0,0.0,1.1399394,1.1769208,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.6558344,7.999912261962891,5.246617472874959,0.0,-0.0,0.0,-0.0,-0.0,2.5347435,0.728,1.0022558,1.7226105,1.7226105,0.0,-0.16158867,-0.15394324,1.0022558,-0.0076454272,8.89,20.0,20.0,20.0,2.0
0.0,1.6516503,0.0,0.0,0.77155334,0.79658365,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,-0.64,0.5658196,7.999902725219727,4.526501928709649,0.0,-0.0,0.0,-0.0,0.64,0.7670691,0.0,1.3750384,0.7184932,0.7184932,0.0,2.3749323,2.3914773,1.3750384,-0.016545173,10.0,20.0,20.0,20.0,2.0
