cooling demand,dhw demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw electricity consumption,dhw storage electricity consumption,heating fuel consumption,dhw fuel consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,net electricity cost,net electricity emission,net fuel consumption,net fuel cost,net fuel emission,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
0.5179084,5.394657,49.30858,0.02589542,23.889091,5.657878,0.0,55.016605,0.0,0.0,0.0,0.0,0.0,0.0,0.5179084,0.0,0.0,0.0,0.0,49.30858,0.0,6.543265,36.116127,11.826154,19.007565,55.01661,7.6126375,11.511579,36.116127,0.0,36.116127,36.116127,39.59827,39.59827,6.543265,0.0
0.0784016,6.120484,50.40593,0.0,31.918325,6.4349904,0.0,0.08772437,0.0,0.0,0.0,18.991701,18.991701,0.0,0.0,0.0,0.0,0.0,0.0,50.40593,18.991701,7.4673653,64.812386,20.842352,35.24113,0.08772437,0.012138404,0.018355295,64.812386,0.0,38.621536,38.621536,41.691128,41.691128,7.4673653,0.0
0.0,2.0563266,50.379753,0.0,32.090965,2.1892252,0.0,0.0,0.0,0.0,0.0,18.991701,18.991701,0.0,0.0,0.0,0.0,0.0,0.0,50.379753,18.991701,6.2684927,59.540382,18.9189,32.006203,0.0,0.0,0.0,59.540382,0.0,33.34954,33.34954,35.706913,35.706913,6.2684927,0.0
0.0,11.102127,50.934074,0.0,33.29973,11.94672,0.0,0.0,0.0,0.0,0.0,18.991701,18.991701,0.0,0.0,0.0,0.0,0.0,0.0,50.934074,18.991701,6.2296653,70.46781,22.3799,37.66918,0.0,0.0,0.0,70.46781,0.0,44.073086,44.073086,46.876835,46.876835,6.2296653,0.0
0.0,2.800099,50.35363,0.0,33.39651,2.9565358,0.0,0.0,0.0,0.0,0.0,18.991701,18.991701,0.0,0.0,0.0,0.0,0.0,0.0,50.35363,18.991701,7.860568,63.20532,20.06723,33.974144,0.0,0.0,0.0,63.20532,0.0,36.764248,36.764248,39.051865,39.051865,7.860568,0.0
0.0,17.536346,49.04725,0.0,33.00752,18.949265,0.0,0.0,0.0,0.0,0.0,18.991701,18.991701,0.0,0.0,0.0,0.0,0.0,0.0,49.04725,18.991701,8.267109,79.21558,25.15038,42.485767,0.0,0.0,0.0,79.21558,0.0,52.728184,52.728184,55.184322,55.184322,8.267109,0.0
0.0,2.6235106,53.40096,0.0,33.6749,2.7949605,0.0,0.0,0.0,0.0,0.0,18.991701,18.991701,0.0,0.0,0.0,0.0,0.0,0.0,53.40096,18.991701,15.945933,71.4075,22.626066,38.722317,0.0,0.0,0.0,71.4075,0.0,45.22221,45.22221,48.574657,48.574657,15.945933,0.0
0.0,1.1797404,66.485374,0.0,42.96508,1.2687244,0.0,2.647769,0.0,0.0,0.0,18.991701,18.991701,0.0,0.0,0.0,0.0,0.0,0.0,66.485374,18.991701,16.747854,79.973366,25.39877,43.72738,2.647769,0.36637127,0.5540146,79.973366,0.0,53.05965,53.05965,60.56244,60.56244,16.747854,0.0
0.0,8.043204,47.71915,0.0,30.365685,8.478661,0.0,0.0,0.0,0.0,0.0,18.991701,18.991701,0.0,0.0,0.0,0.0,0.0,0.0,47.71915,18.991701,12.06194,69.21099,21.866755,37.966324,0.0,0.0,0.0,69.21099,0.0,43.1295,43.81649,45.366142,46.053143,12.06194,-0.68699723
0.0,5.363298,41.179558,0.0,13.522117,5.6787395,0.0,0.0,0.0,0.0,0.0,-16.696001,0.0,-16.696001,0.0,0.0,0.0,0.0,16.696001,28.500587,0.0,11.415069,11.880569,3.7535872,7.4942675,0.0,0.0,0.0,11.880569,0.0,34.628483,36.66784,35.34216,37.381516,11.415069,-2.039356
