bld_id,cooling demand,heating demand,dhw demand,cooling electricity consumption,heating electricity consumption,dhw electricity consumption,heating fuel consumption,dhw fuel consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from electrical storage,energy to electrical storage,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from heating fuel device to heating storage,energy from heating device to heating storage,energy from heating storage,heating storage soc,heating storage capacity,energy from heating device,energy from heating fuel device,energy to non shiftable load,net electricity consumption,net electricity cost,net electricity emission,net fuel consumption,net fuel cost,net fuel emission,electricity price,fuel price,electricity carbon intensity,fuel carbon intensity,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,outdoor_temperature,indoor_temperature,heating_sp,cooling_sp,comfort_band
resstock-amy2018-2021-release-1-285517,0.0,2.927434,0.0,0.0,1.385981,0.0,3.3687036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,11.057262,2.927434,2.927434,0.3483989,1.7343799,0.56791925,0.912787,3.3687036,0.46612683,0.7048617,0.327448,0.1383698,0.5262901,0.20923826,1.7343799,0.0,1.7343799,1.7343799,0.3483989,-0.0,8.9,19.974815,20.0,20.0,2.0
resstock-amy2018-2021-release-1-285517,0.0,3.1115282,0.0,0.0,1.9795955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.082788415,7.999989032745361,0.6623064140636679,-0.0,0.728,0.0,-0.0,0.0,-0.0,1.0062108,1.0062108,-0.0,0.0899545,11.057262,3.1115282,0.0,0.307143,3.0147386,0.9694791,1.6392362,0.0,0.0,0.0,0.3215798,0.1383698,0.54374075,0.0,3.0147386,0.0,1.8030045,1.8030045,0.307143,-0.0,8.3,20.0,20.0,20.0,2.0
resstock-amy2018-2021-release-1-285517,0.0,3.2151113,0.0,0.0,2.029393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.16534436,7.999978065490723,1.322751233176973,-0.0,0.728,0.0,-0.0,0.0,-0.0,1.0062108,1.0062108,-0.0,0.17912501,11.057262,3.2151113,0.0,0.30622673,3.0636196,0.97346205,1.6468627,0.0,0.0,0.0,0.317749,0.1383698,0.53755456,0.0,3.0636196,0.0,1.8518856,1.8518856,0.30622673,-0.0,8.3,20.0,20.0,20.0,2.0
resstock-amy2018-2021-release-1-285517,0.0,2.9949555,0.0,0.0,1.9771205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.24766847,7.999967098236084,1.9813396505714564,-0.0,0.728,0.0,-0.0,0.0,-0.0,1.0062109,1.0062109,-0.0,0.26751837,11.057262,2.9949555,0.0,0.31262633,3.0177467,0.95840734,1.6131628,0.0,0.0,0.0,0.3175904,0.1383698,0.5345587,0.0,3.0177467,0.0,1.7925416,1.7925416,0.31262633,-0.0,7.2,20.0,20.0,20.0,2.0
resstock-amy2018-2021-release-1-285517,0.0,2.9316292,0.0,0.0,1.9578104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.32976142,7.999956130981445,2.638076859450223,-0.0,0.728,0.0,-0.0,0.0,-0.0,1.0062109,1.0062109,-0.0,0.35514137,11.057262,2.9316292,0.0,0.36460525,3.0504155,0.968485,1.6396608,0.0,0.0,0.0,0.3174928,0.1383698,0.53752047,0.0,3.0504155,0.0,1.8221488,1.8221488,0.36460525,-0.0,6.95,20.0,20.0,20.0,2.0
resstock-amy2018-2021-release-1-285517,0.0,3.3890839,0.0,0.0,2.1986208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.41162384,7.999945163726807,3.2929681125921775,-0.0,0.728,0.0,-0.0,0.0,-0.0,1.0062107,1.0062107,-0.0,0.44200066,11.057262,3.3890839,0.0,0.4288568,3.3554776,1.06534,1.7996464,0.0,0.0,0.0,0.3174928,0.1383698,0.53633094,0.0,3.3554776,0.0,2.1241493,2.1241493,0.4288568,-0.0,6.7,20.0,20.0,20.0,2.0
resstock-amy2018-2021-release-1-285517,0.0,2.8370464,0.0,0.0,1.8462355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.49325636,7.999934196472168,3.9460184243308447,-0.0,0.728,0.0,-0.0,0.0,-0.0,1.0062107,1.0062107,-0.0,0.52810293,11.057262,2.8370464,0.0,0.504495,3.0787303,0.9755216,1.6695106,0.0,0.0,0.0,0.3168584,0.1383698,0.54227245,0.0,3.0787303,0.0,1.8673638,1.8673638,0.504495,-0.0,8.33,20.0,20.0,20.0,2.0
resstock-amy2018-2021-release-1-285517,0.0,3.0983036,0.0,0.0,2.1680632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.57465965,7.999923229217529,4.597233047388585,-0.0,0.728,0.0,-0.0,0.0,-0.0,1.0062107,1.0062107,-0.0,0.6134548,11.057262,3.0983036,0.0,0.7035151,3.5995781,1.1431915,1.9681567,0.0,0.0,0.0,0.3175904,0.1383698,0.54677427,0.0,3.5995781,0.0,2.3400831,2.3400831,0.7035151,-0.0,4.4,20.0,20.0,20.0,2.0
resstock-amy2018-2021-release-1-285517,0.0,2.5347435,1.1399394,0.0,1.6768805,1.1769208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.728,0.0,0.6558344,7.999912261962891,5.246617472874959,-0.0,0.728,0.0,-0.0,0.0,-0.0,1.0062107,1.0062107,-0.0,0.69806284,11.057262,2.5347435,0.0,1.0022558,4.568766,1.4434714,2.5062387,0.0,0.0,0.0,0.3159434,0.1383698,0.5485592,0.0,4.568766,0.0,3.3642576,3.3795483,1.0022558,-0.0152908545,8.89,20.0,20.0,20.0,2.0
resstock-amy2018-2021-release-1-285517,0.0,1.6516503,0.77155334,0.0,0.3528961,0.79658365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,-0.64,0.5658196,7.999902725219727,4.526501928709649,0.64,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.8845812,0.6110492,11.057262,0.7670691,0.0,1.3750384,1.8514278,0.5849464,1.0433428,0.0,0.0,0.0,0.3159434,0.1383698,0.56353414,0.0,1.8514278,0.0,2.8983862,2.9314766,1.3750384,-0.033090346,10.0,20.0,20.0,20.0,2.0
resstock-amy2018-2021-release-1-285517,0.0,1.5179781,0.0,0.0,0.286774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,-0.64,0.47605768,7.9998931884765625,3.808410579242718,0.64,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.88458073,0.5247939,11.057262,0.63339734,0.0,1.4154257,0.9917723,0.30218807,0.5752849,0.0,0.0,0.0,0.304695,0.1383698,0.58005744,0.0,0.9917723,0.0,2.032271,2.1026983,1.4154257,-0.070427425,10.6,20.0,20.0,20.0,2.0
resstock-amy2018-2021-release-1-285517,0.0,1.054826,0.7599801,0.0,0.07604323,0.78463495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,-0.64,0.3865478,7.999883651733398,3.0923374568633335,0.64,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.8845812,0.43929031,11.057262,0.17024481,0.0,1.3740956,1.4582013,0.42874035,0.8550065,0.0,0.0,0.0,0.29402,0.1383698,0.5863433,0.0,1.4582013,0.0,2.4933171,2.6298895,1.3740956,-0.13657245,11.1,20.0,20.0,20.0,2.0
