cooling demand,dhw demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw electricity consumption,dhw storage electricity consumption,heating fuel consumption,dhw fuel consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,net electricity cost,net electricity emission,net fuel consumption,net fuel cost,net fuel emission,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
0.5179084,5.394657,49.30858,0.02589542,23.889091,5.657878,0.0,55.016605,0.0,0.0,0.0,0.0,0.0,0.0,0.5179084,0.0,0.0,0.0,0.0,49.30858,0.0,6.543265,36.116127,11.826154,19.007565,55.01661,7.6126375,11.511579,36.116127,0.0,36.116127,36.116127,39.59827,39.59827,6.543265,0.0
0.0784016,6.120484,50.40593,0.0,28.19899,6.4349904,0.0,8.357412,0.0,0.0,0.0,13.093977,13.093977,0.0,0.0,0.0,0.0,0.0,0.0,50.40593,13.093977,7.4673653,55.19532,17.7497,30.011946,8.357412,1.1564133,1.7486902,55.19532,0.0,34.64536,34.64536,37.714947,37.714947,7.4673653,0.0
0.0,2.0563266,50.379753,0.0,29.248158,2.1892252,0.0,9.082325,0.0,0.0,0.0,10.765446,10.765446,0.0,0.0,0.0,0.0,0.0,1.2314055,49.978943,11.996851,6.2684927,48.47132,15.401714,26.05598,9.082325,1.2567194,1.9003701,48.47132,0.0,31.321636,31.321636,33.67901,33.67901,6.2684927,0.0
0.0,11.102127,50.934074,0.0,24.746725,11.94672,0.0,1.3284885,0.0,0.0,0.0,6.252038,6.252038,0.0,0.0,0.0,0.0,0.0,2.1343207,45.17487,8.386358,6.2296653,49.17515,15.617554,27.079578,1.3284885,0.18382268,0.2779706,49.17515,0.0,44.241184,44.241184,47.044933,47.044933,6.2296653,0.0
0.0,2.800099,50.35363,0.0,27.25275,2.9565358,0.0,7.6195107,0.0,0.0,0.0,8.583191,8.583191,0.0,0.0,0.0,0.0,0.0,2.1031497,47.023727,10.68634,7.860568,46.653046,14.812005,26.035975,7.6195107,1.0543102,1.5942931,46.653046,0.0,35.228104,35.228104,37.51572,37.51572,7.860568,0.0
0.0,17.536346,49.04725,0.0,24.25454,18.949265,0.0,2.8494227,0.0,0.0,0.0,6.197978,6.197978,0.0,0.0,0.0,0.0,0.0,1.1184943,44.16525,7.316472,8.267109,57.66889,18.309456,30.929611,2.8494227,0.39427406,0.5962083,57.66889,0.0,53.6394,53.6394,56.095543,56.095543,8.267109,0.0
0.0,2.6235106,53.40096,0.0,24.62409,2.7949605,0.0,1.8861144,0.0,0.0,0.0,4.8543844,4.8543844,0.0,0.0,0.0,0.0,0.0,0.0,46.639843,4.8543844,15.945933,48.21937,15.278713,26.148037,1.8861144,0.26098126,0.3946473,48.21937,0.0,46.646305,46.646305,49.998745,49.998745,15.945933,0.0
0.0,1.1797404,66.485374,0.0,36.19126,1.2687244,0.0,4.538599,0.0,0.0,0.0,2.0425496,2.0425496,0.0,0.0,0.0,0.0,0.0,0.0,65.73664,2.0425496,16.747854,56.250385,17.864582,30.756264,4.538599,0.628005,0.94964856,56.250385,0.0,54.58921,54.58921,62.092,62.092,16.747854,0.0
0.0,8.043204,47.71915,0.0,25.462772,8.478661,0.0,1.4736425,0.0,0.0,0.0,2.746489,2.746489,0.0,0.0,0.0,0.0,0.0,0.0,47.71915,2.746489,12.06194,48.062878,15.185146,26.365326,1.4736425,0.20390761,0.3083424,48.062878,0.0,44.722504,45.40949,46.959145,47.64614,12.06194,-0.68699723
0.0,5.363298,41.179558,0.0,23.134335,5.6787395,0.0,5.4146743,0.0,0.0,0.0,5.156678,5.156678,0.0,0.0,0.0,0.0,0.0,1.9281063,40.058067,7.0847845,11.415069,43.345467,13.694715,24.426653,5.4146743,0.7492274,1.132957,43.345467,0.0,34.25,36.28936,34.963676,37.003036,11.415069,-2.039356
