heating_storage,electrical_storage,heating_device,heating_fuel_device
-0.18984632,-0.0004219463,0.1999236,0.20460314
-0.048457164,0.081410706,0.2234213,0.24969721
0.03730892,0.06742389,0.2789376,0.22235769
0.01682175,0.05594044,0.30644715,0.16226965
0.06900455,0.003620758,0.28783697,0.095470876
0.065632895,-0.012422536,0.28215924,0.07969846
0.13446909,-0.051107023,0.23654994,0.08808488
-0.0059829475,-0.032596085,0.26979712,0.07365379
-0.01057345,-0.012774141,0.2838693,0.099178016
-0.14765933,-0.022407876,0.21772867,0.108389944
-0.19437651,-0.089725725,0.19438988,0.1592027
-0.27232867,-0.09279079,0.12032187,0.12412019
-0.3686074,-0.10806213,0.09380345,0.12187138
-0.4207635,-0.104857914,0.07265425,0.10711984
-0.4085923,-0.111207254,0.05068615,0.07463458
-0.33556607,-0.11315198,0.027874157,0.0445545
-0.2927577,-0.13335419,0.019883737,0.033371806
-0.17783499,-0.117519595,0.03263116,0.068598956
-0.219525,-0.12951005,0.042619795,0.08305997
-0.31772602,-0.07492477,0.0281872,0.069951326
-0.038939167,-0.09888672,0.023092136,0.07999353
0.06989756,0.0009287999,0.05734615,0.06860913
0.14037542,0.031282324,0.08012119,0.062006503
0.037847437,0.08494391,0.09866235,0.08772452
0.1454472,-0.059506297,0.048159882,0.0479158
0.11023221,-0.07283753,0.038102895,0.033632964
0.20579265,-0.010559591,0.08164784,0.07037708
-0.14892316,-0.028678017,0.12293635,0.08057509
0.03212566,-0.09750392,0.1372214,0.100862235
0.07809957,-0.09614107,0.106059894,0.07707712
-0.16231959,-0.07889307,0.08215591,0.058729947
0.14350522,-0.11192598,0.066310465,0.05552824
-0.020021975,-0.063535824,0.06520477,0.041634426
-0.17046192,-0.042372324,0.057307094,0.052173167
-0.0142461555,-0.06741083,0.04216595,0.03944677
0.084734716,-0.0906907,0.030333132,0.032230794
0.101541035,-0.08483165,0.029049084,0.028052777
0.14035395,-0.09846756,0.031134948,0.032485515
0.1432605,-0.107712336,0.034399867,0.031439483
0.13165829,-0.09712526,0.0476968,0.058496594
0.23444554,-0.10966448,0.0412461,0.061675698
0.1836779,-0.07725678,0.053882897,0.10219358
0.26566353,-0.10800727,0.053218782,0.09146264
-0.13234062,-0.0480447,0.06492369,0.10879809
-0.089773566,-0.043303654,0.0585005,0.08158298
-0.27220532,-0.038305774,0.055944115,0.048274055
-0.19195531,-0.030729165,0.050921887,0.037975118
-0.1368777,-0.026347334,0.04032734,0.036919758
-0.07411789,-0.026821539,0.033833742,0.039399594
-0.028926129,-0.0065935855,0.031615913,0.038518876
0.21852362,-0.023509173,0.044720605,0.045968354
0.1841208,0.010473572,0.04949963,0.04145612
-0.077493645,0.0118265,0.059773967,0.054513544
-0.29645365,-0.040966168,0.09338614,0.075462386
-0.33604154,-0.030466493,0.083773464,0.07776436
-0.27490997,-0.04754693,0.116710946,0.090498835
