heating_storage,electrical_storage,cooling_or_heating_device
0.19823071,0.07872128,-0.30664542
0.14512397,0.052110597,-0.20881948
0.17392376,0.045486968,-0.16603741
0.15711197,0.06321434,-0.086570494
0.15392677,0.055876337,-0.079047024
0.13072394,0.046614207,-0.23931177
0.13938363,0.066818446,-0.08277162
0.11996131,0.05268616,-0.12416992
0.08821428,0.04184126,-0.12422518
0.10462185,0.040309306,-0.1444733
0.08852755,0.03873724,-0.13293687
0.06133857,0.040784344,-0.11142003
0.01956939,0.046003975,-0.06722199
0.059494052,0.045655604,-0.011218123
0.0046781823,0.07299188,0.033474233
-0.0036429253,0.09460489,0.1086253
0.030183291,0.11723888,0.030249113
0.10682556,0.12681402,-0.08835024
0.11061781,0.07538671,-0.07211621
0.030304387,0.14032696,-0.0055775694
0.14589687,0.07904921,0.3673523
0.20477645,0.10736716,0.10634224
0.2863696,0.0960992,0.1815503
0.24637088,0.06472304,0.114300825
0.2275553,0.062315267,0.15255225
0.24044724,0.056573268,0.13579018
0.1933453,0.047996227,0.11496985
0.1842354,0.05394544,0.086288564
0.16209528,0.040449858,0.12793607
0.17421553,0.04178519,-0.05931814
0.14790061,0.030295564,-0.16493681
0.09930383,0.053304043,-0.14455324
0.09937787,0.0070742695,-0.034841076
0.037550375,0.020820376,-0.09340779
0.034970682,0.05152736,-0.06825575
0.09571318,0.026336605,-0.17812943
0.035169095,0.020757703,-0.013444142
0.09328285,0.02443318,-0.096495345
0.11815983,0.03707746,-0.0050609377
0.13710378,0.0308057,-0.042588186
0.12632644,0.019192418,0.03559479
0.13272522,0.03029188,-0.113862514
0.123105444,0.037314408,-0.12512541
0.08355926,0.044178408,0.005753757
0.12676981,0.07593607,-0.00888181
0.10800924,0.039329585,0.30677974
0.12796625,0.050440196,0.21680912
0.16264024,0.04944608,0.26077574
0.1685557,-0.00860815,0.3045351
0.15681057,-0.0030411913,0.2736088
0.14690101,0.0025354102,0.22612576
0.118897855,-0.014449033,0.16037777
0.049042415,-0.04452971,0.15038554
0.012452948,-0.03899681,0.14280371
-0.00846578,-0.016089,0.036072582
-0.08831878,-0.010144866,0.19518878
-0.08836251,-0.051716715,-0.041507766
-0.06813442,-0.0147025725,0.12019531
-0.040706094,-0.0058868923,0.035121873
-0.023632368,-0.022297245,-0.06353433
-0.07990575,0.0053709433,0.10541432
-0.09471465,-0.014923179,0.11885849
-0.017873054,-0.033012502,0.061305083
0.016177393,-0.027914206,-0.015619445
0.0532764,-0.022643488,-0.0024929268
0.06295993,-0.0058915783,-0.03879233
0.1291772,-0.03992139,-0.035063718
0.05466669,-0.010169086,0.06371064
0.047643326,-0.02102617,0.052070893
0.097343415,0.0065104165,0.20153491
0.07246437,-0.002160415,0.24881503
0.14009443,-0.0031510252,0.3354852
0.10811988,0.0057503968,0.35449052
0.08700908,0.0107135,0.3620934
0.09719642,0.0150367385,0.3118945
0.07179568,0.033844955,0.3427421
0.031373937,0.030977936,0.3490664
0.16479881,0.03819644,0.11536001
0.06458399,0.052450918,0.056605533
0.025217075,0.027096396,0.13498333
-0.0109246,0.031130783,0.15129103
-0.06994049,0.015220307,0.05037097
0.010448783,0.044386007,-0.023840008
-0.008296693,0.039994128,0.13573548
-0.0067309933,0.024256865,0.15080515
-0.0185528,0.039712276,0.114314765
0.032974254,0.014402995,0.18563078
0.019887183,0.007807564,0.14080882
0.030594334,-0.0028717567,0.017512042
0.033343546,-0.004100758,-0.01788919
0.07046581,-0.014744979,0.066979505
0.067657106,-0.011086818,0.030064758
0.14218186,0.001598864,0.107109174
0.14947432,0.015190509,0.22158046
0.047090393,-0.029220656,0.2141917
0.12330601,-0.02952598,0.20975429
0.12738435,-0.029551731,0.2611578
0.14452508,-0.024296494,0.31799725
0.12067004,-0.02968496,0.31823272
0.14919707,-0.033736773,0.2910176
0.13998604,-0.023373388,0.3181808
0.12025901,-0.0174125,0.1916954
0.08522667,-0.05382087,0.17521052
0.041717768,-0.033851683,0.07880416
0.069314145,-0.04788761,0.117576435
0.010022234,-0.0032059168,0.15154603
0.061609004,0.016551193,0.21525441
0.027502673,-0.005601314,0.14130266
0.054367907,0.005244399,0.18944715
0.052848212,0.011916343,0.20840257
0.029854417,0.0029213286,0.13264959
0.041100755,-0.029886749,0.15970623
0.032026634,-0.0061156056,0.016746169
0.032847784,-0.011785855,-0.074117154
0.061371025,-0.0052929586,0.005670105
0.10936921,-0.017789407,0.012437651
0.13241325,-0.014195347,0.06767959
0.09143445,0.017199129,0.21157679
0.11122831,0.025782622,0.1433573
0.11010751,0.035256196,0.26718473
0.12722549,0.022345826,0.37876976
