cooling demand,dhw demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw electricity consumption,dhw storage electricity consumption,heating fuel consumption,dhw fuel consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,net electricity cost,net electricity emission,net fuel consumption,net fuel cost,net fuel emission,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
0.5179084,5.394657,49.30858,0.02589542,23.889091,5.657878,0.0,55.016605,0.0,0.0,0.0,0.0,0.0,0.0,0.5179084,0.0,0.0,0.0,0.0,49.30858,0.0,6.543265,36.116127,11.826154,19.007565,55.01661,7.6126375,11.511579,36.116127,0.0,36.116127,36.116127,39.59827,39.59827,6.543265,0.0
0.0784016,6.120484,50.40593,0.0,28.466091,6.4349904,0.0,0.0,0.0,0.0,0.0,0.8642277,0.8642277,0.0,0.0,0.0,0.0,0.0,0.0,50.40593,0.8642277,7.4673653,43.232674,13.902755,23.507368,0.0,0.0,0.0,43.232674,0.0,38.658413,38.658413,41.728004,41.728004,7.4673653,0.0
0.0,2.0563266,50.379753,0.0,25.50967,2.1892252,0.0,0.0,0.0,0.0,0.0,0.6579125,0.6579125,0.0,0.0,0.0,0.0,0.0,0.0,49.034225,0.6579125,6.2684927,34.625305,11.002157,18.612991,0.0,0.0,0.0,34.625305,0.0,33.34954,33.34954,35.706913,35.706913,6.2684927,0.0
0.0,11.102127,50.934074,0.0,26.781277,11.94672,0.0,0.14998959,0.0,0.0,0.0,0.9533682,0.9533682,0.0,0.0,0.0,0.0,0.0,0.0,50.00334,0.9533682,6.2296653,45.911034,14.580901,24.542145,0.14998959,0.02075403,0.031383563,45.911034,0.0,44.008347,44.008347,46.81209,46.81209,6.2296653,0.0
0.0,2.800099,50.35363,0.0,27.573862,2.9565358,0.0,0.0,0.0,0.0,0.0,-0.113262706,0.0,-0.113262706,0.0,0.0,0.0,0.0,0.7968384,48.409187,0.6835757,7.860568,38.277706,12.152896,20.57505,0.0,0.0,0.0,38.277706,0.0,36.764248,36.764248,39.051865,39.051865,7.860568,0.0
0.0,17.536346,49.04725,0.0,27.186972,18.949265,0.0,0.0,0.0,0.0,0.0,0.21954836,0.21954836,0.0,0.0,0.0,0.0,0.0,0.59156144,47.788307,0.8111098,8.267109,54.622887,17.342375,29.295944,0.0,0.0,0.0,54.622887,0.0,52.728188,52.728188,55.184326,55.184326,8.267109,0.0
0.0,2.6235106,53.40096,0.0,25.927343,2.7949605,0.0,0.0,0.0,0.0,0.0,1.0249792,1.0249792,0.0,0.0,0.0,0.0,0.0,0.012162205,50.120358,1.0371414,15.945933,45.693214,14.47828,24.77817,0.0,0.0,0.0,45.693214,0.0,45.22221,45.22221,48.574654,48.574654,15.945933,0.0
0.0,1.1797404,66.485374,0.0,36.34783,1.2687244,0.0,2.858069,0.0,0.0,0.0,0.2946185,0.2946185,0.0,0.0,0.0,0.0,0.0,0.39897227,61.926376,0.69359076,16.747854,54.659035,17.359182,29.886152,2.858069,0.39547044,0.59801733,54.659035,0.0,53.07716,53.07716,60.579945,60.579945,16.747854,0.0
0.0,8.043204,47.71915,0.0,23.375568,8.478661,0.0,0.0,0.0,0.0,0.0,-0.18569441,0.0,-0.18569441,0.0,0.0,0.0,0.0,0.3487676,45.993824,0.16307318,12.06194,43.043476,13.599301,23.611897,0.0,0.0,0.0,43.043476,0.0,43.1295,43.81649,45.366142,46.053143,12.06194,-0.68699723
0.0,5.363298,41.179558,0.0,19.172106,5.6787395,0.0,0.0,0.0,0.0,0.0,0.20802084,0.20802084,0.0,0.0,0.0,0.0,0.0,0.43652904,35.488113,0.64454985,11.415069,34.434578,10.879376,19.40506,0.0,0.0,0.0,34.434578,0.0,34.628483,36.66784,35.34216,37.381516,11.415069,-2.039356
