heating_storage,electrical_storage,cooling_or_heating_device
0.19818106,0.078715585,-0.30666283
0.1450843,0.05211133,-0.20888196
0.17388573,0.045491133,-0.16612278
0.15705788,0.063193925,-0.08664486
0.15390025,0.05587579,-0.0791525
0.13069814,0.046603035,-0.23932734
0.13936168,0.06681633,-0.082993805
0.11992325,0.05266791,-0.12417694
0.088166535,0.04183595,-0.12424958
0.10460804,0.04028299,-0.14446585
0.08851801,0.038720734,-0.13290153
0.061328355,0.040744044,-0.11136208
0.01956201,0.04600681,-0.06706161
0.059471935,0.04563214,-0.011205039
0.004642451,0.07297507,0.033545725
-0.0036880882,0.094589226,0.108694434
0.030049782,0.11722255,0.030282544
0.10667099,0.12681353,-0.08842185
0.110500604,0.07536029,-0.072117165
0.03020044,0.14032348,-0.005789634
0.14573096,0.07912378,0.36728862
0.20468156,0.10740253,0.10616732
0.2863236,0.096167885,0.18160632
0.24627295,0.06476238,0.11430066
0.22749774,0.062329322,0.1525185
0.24038991,0.056570373,0.13578059
0.19325039,0.04801275,0.11492821
0.18415461,0.05395213,0.08634443
0.16196215,0.040410865,0.12793346
0.17412342,0.041777857,-0.059112404
0.1477785,0.030303666,-0.16469452
0.09921314,0.053294513,-0.14440523
0.0992694,0.0070712827,-0.034462575
0.037483793,0.020787084,-0.09305895
0.034876037,0.051514354,-0.06816042
0.09557122,0.026351672,-0.17798151
0.03501035,0.020722648,-0.0132113835
0.093073234,0.024419278,-0.096397996
0.11802873,0.037064377,-0.00515412
0.13692728,0.030815097,-0.042143166
0.12612255,0.019240549,0.03585347
0.13255288,0.030287316,-0.11353108
0.12294553,0.037299637,-0.124766245
0.08339813,0.04418095,0.0063269245
0.1266493,0.07600411,-0.008548803
0.10800612,0.03952983,0.3072939
0.12804449,0.050520133,0.2169705
0.16266194,0.049558084,0.26067308
0.1684973,-0.008541841,0.30390698
0.15665294,-0.002952797,0.2731857
0.14685228,0.0026321555,0.22573106
0.11865012,-0.014303052,0.1604377
0.04892506,-0.044563446,0.15037994
0.012053831,-0.03896976,0.14291197
-0.008745879,-0.015909638,0.03655469
-0.0883779,-0.010056878,0.19542494
-0.088529855,-0.051750142,-0.04119174
-0.06815689,-0.01469595,0.12045459
-0.040721517,-0.005983372,0.035303757
-0.023818443,-0.022303242,-0.06305873
-0.080068074,0.005371647,0.10587527
-0.09485628,-0.014914587,0.11918731
-0.017791593,-0.033031717,0.06130305
0.016176965,-0.027877377,-0.015686754
0.053306192,-0.022633411,-0.0024291812
0.06295249,-0.005854155,-0.03860858
0.12914705,-0.039893057,-0.035108816
0.05470423,-0.010124165,0.06361325
0.047605503,-0.02098916,0.05201473
0.09734869,0.006528571,0.20137618
