cooling demand,dhw demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw electricity consumption,dhw storage electricity consumption,heating fuel consumption,dhw fuel consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,net electricity cost,net electricity emission,net fuel consumption,net fuel cost,net fuel emission,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
0.5179084,5.394657,49.30858,0.02589542,23.889091,5.657878,0.0,55.016605,0.0,0.0,0.0,0.0,0.0,0.0,0.5179084,0.0,0.0,0.0,0.0,49.30858,0.0,6.543265,36.116127,11.826154,19.007565,55.01661,7.6126375,11.511579,36.116127,0.0,36.116127,36.116127,39.59827,39.59827,6.543265,0.0
0.0784016,6.120484,50.40593,0.0,25.350178,6.4349904,0.0,0.0,0.0,0.0,0.0,0.29374614,0.29374614,0.0,0.0,0.0,0.0,0.0,0.0,50.40593,0.29374614,7.4673653,39.54628,12.717284,21.502924,0.0,0.0,0.0,39.54628,0.0,38.658413,38.658413,41.728004,41.728004,7.4673653,0.0
0.0,2.0563266,50.379753,0.0,24.328012,2.1892252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.370174,0.0,6.2684927,32.78573,10.417634,17.62412,0.0,0.0,0.0,32.78573,0.0,33.34954,33.34954,35.706913,35.706913,6.2684927,0.0
0.0,11.102127,50.934074,0.0,25.896698,11.94672,0.0,0.0,0.0,0.0,0.0,0.36843538,0.36843538,0.0,0.0,0.0,0.0,0.0,0.0,50.934074,0.36843538,6.2296653,44.44152,14.1142,23.756601,0.0,0.0,0.0,44.44152,0.0,44.073086,44.073086,46.876835,46.876835,6.2296653,0.0
0.0,2.800099,50.35363,0.0,25.947145,2.9565358,0.0,0.0,0.0,0.0,0.0,0.09915054,0.09915054,0.0,0.0,0.0,0.0,0.0,0.0,50.35363,0.09915054,7.860568,36.863403,11.703863,19.814833,0.0,0.0,0.0,36.863403,0.0,36.76425,36.76425,39.051865,39.051865,7.860568,0.0
0.0,17.536346,49.04725,0.0,27.37029,18.949265,0.0,0.0,0.0,0.0,0.0,1.3667629,1.3667629,0.0,0.0,0.0,0.0,0.0,0.0,49.04725,1.3667629,8.267109,55.953423,17.76481,30.009552,0.0,0.0,0.0,55.953423,0.0,52.728188,52.728188,55.184322,55.184322,8.267109,0.0
0.0,2.6235106,53.40096,0.0,27.402916,2.7949605,0.0,0.0,0.0,0.0,0.0,1.5228963,1.5228963,0.0,0.0,0.0,0.0,0.0,0.0,53.40096,1.5228963,15.945933,47.6667,15.103597,25.84834,0.0,0.0,0.0,47.6667,0.0,45.22221,45.22221,48.574657,48.574657,15.945933,0.0
0.0,1.1797404,66.485374,0.0,38.269436,1.2687244,0.0,2.5186617,0.0,0.0,0.0,1.0484725,1.0484725,0.0,0.0,0.0,0.0,0.0,0.0,66.485374,1.0484725,16.747854,57.334496,18.208881,31.349026,2.5186617,0.34850672,0.5270004,57.334496,0.0,53.080833,53.080833,60.583622,60.583622,16.747854,0.0
0.0,8.043204,47.71915,0.0,24.207233,8.478661,0.0,0.0,0.0,0.0,0.0,0.72164726,0.72164726,0.0,0.0,0.0,0.0,0.0,0.0,47.71915,0.72164726,12.06194,44.782486,14.148731,24.565842,0.0,0.0,0.0,44.782486,0.0,43.60259,44.289577,45.839233,46.52623,12.06194,-0.68699723
0.0,5.363298,41.179558,0.0,20.403723,5.6787395,0.0,0.0,0.0,0.0,0.0,0.063473225,0.063473225,0.0,0.0,0.0,0.0,0.0,0.0,40.490993,0.063473225,11.415069,35.521652,11.222831,20.017664,0.0,0.0,0.0,35.521652,0.0,35.65386,37.693214,36.367535,38.406895,11.415069,-2.039356
