dhw_storage,electrical_storage,cooling_or_heating_device
-0.23228997,-0.033191584,-0.19791609
0.09830733,-0.06950345,-0.15324858
0.26430517,-0.056999005,-0.18146755
0.19804843,-0.07425061,-0.2632598
0.259621,-0.07555287,-0.32014403
0.2816117,-0.093898766,-0.14517128
0.14005497,-0.10341292,0.114777714
0.2727229,-0.10790731,0.34225246
0.18407671,-0.09484368,0.33084184
-0.030717514,-0.07104441,0.20483676
-0.23412809,-0.09420009,0.27456066
-0.067883424,-0.08701391,0.06310229
-0.20946166,-0.07408541,0.10593395
-0.1369652,-0.07967704,0.117782526
-0.2258096,-0.08394042,-0.08172011
-0.14033638,-0.08567121,-0.13997018
-0.22773963,-0.078389026,-0.20589988
-0.16215494,-0.089716025,-0.07765947
-0.059945155,-0.07286639,-0.17769225
-0.15428585,-0.042165753,-0.06448396
-0.25615257,-0.053245116,-0.040704682
-0.25136662,-0.06812172,-0.19619413
-0.17046303,-0.080263056,-0.052331205
-0.037179116,-0.048368957,-0.28424343
-0.038334202,-0.04098406,-0.008281526
-0.072663486,-0.07338238,-0.1738927
0.122145936,-0.06726907,0.028454697
-0.053043634,-0.07349212,-0.07776529
0.13564177,-0.058403164,0.10350922
0.022761157,-0.08683069,-0.12172094
0.17385228,-0.08001114,-0.008572128
0.07201136,-0.09290254,-0.12202322
0.15384464,-0.09371522,-0.06896224
0.11178656,-0.09321704,-0.057046928
-0.1186464,-0.08077726,-0.018145392
-0.0003873535,-0.08705838,-0.15196666
0.030165099,-0.08278464,-0.14186388
0.05702145,-0.08800434,-0.17527565
0.10695114,-0.08197868,-0.11383166
0.09786232,-0.07751374,-0.17131168
-0.08081386,-0.08087963,-0.25385863
-0.049409974,-0.0725479,-0.22103024
-0.06522333,-0.06424505,-0.14402506
-0.040622383,-0.05902761,-0.10229297
-0.28131473,-0.055676736,0.00030600044
-0.03261243,-0.08402302,-0.26011038
0.07270328,-0.049355708,-0.07238611
0.028580576,-0.06530979,-0.032223735
0.049600028,-0.08630623,-0.16893743
-0.0770106,0.053590257,0.12158394
0.21235558,0.015440026,-0.24994318
0.2009178,0.033431157,0.20288211
0.21016909,0.019875083,-0.09547324
0.15132685,-0.0042727236,0.03825272
0.10656734,-0.036721576,-0.02561595
-0.025861852,-0.07297772,0.049624585
-0.22795363,-0.080971375,0.073847495
-0.03606635,-0.07444099,0.046404775
0.10268837,-0.09063069,-0.11408871
0.13713956,-0.09755612,-0.05067813
0.20504798,-0.0982367,-0.04573021
0.24047352,-0.10277903,-0.17379792
-0.20894015,-0.053801816,-0.1644459
-0.2827246,-0.053773396,-0.06912888
-0.2941249,-0.05751143,-0.057622813
-0.30508658,-0.06971087,0.023268996
-0.3163833,-0.088369265,0.03446768
-0.32740796,-0.10591472,0.008945619
-0.26839894,-0.09545156,-0.07748653
-0.19142205,-0.09155114,-0.30032247
-0.088040866,-0.084566414,0.09643651
0.10689428,-0.09355551,-0.31662175
0.19271551,-0.04626256,-0.014223219
0.08623649,-0.07435964,-0.20970902
0.20066784,-0.04210351,-0.09135151
0.037116766,-0.078811,-0.19948237
0.2501391,-0.057479467,-0.052449174
0.21771254,-0.080646895,0.120594606
0.014390533,-0.09107056,0.22501475
0.29120705,-0.08374611,0.07282589
0.12948671,-0.076443374,-0.042776052
-0.04215638,-0.07944068,0.16295496
0.24203926,-0.0754034,-0.023438884
0.19370052,-0.076247625,-0.048573792
0.021183493,-0.07892612,0.062831126
0.23887548,-0.08407653,-0.07459442
-0.044945624,-0.08773955,-0.07804133
-0.17484356,-0.09358078,-0.0759325
-0.20240057,-0.093335696,0.009227292
-0.20996636,-0.0921389,-0.06948916
-0.19132936,-0.08729123,-0.19999696
-0.10321767,-0.07521288,0.08283237
-0.101165675,-0.07639551,-0.2221658
0.06296215,-0.08524583,-0.07681927
-0.15969624,-0.06463539,-0.072877385
-0.11908475,-0.043370996,-0.22165926
