electrical_storage,cooling_or_heating_device
-0.11392519,0.017402563
-0.061650574,0.0711672
-0.052089322,0.05642453
-0.026599031,0.04145551
-0.0660453,-0.049522907
-0.0966866,-0.12815526
-0.1130367,-0.13354282
-0.061399676,-0.042737905
0.017404174,-0.051803153
-0.09056757,-0.019639889
-0.08419436,-0.016100347
-0.12711266,-0.01363307
-0.14771712,0.025929362
-0.1293982,-0.13420255
-0.14624932,-0.2728596
-0.08124131,-0.1425385
-0.08724906,-0.43453297
-0.16521461,-0.25915417
-0.19125564,-0.42578998
-0.1627913,-0.31957144
0.066913225,-0.15984274
-0.06604775,0.06073002
-0.116398096,-0.20988463
-0.02977548,0.002412239
-0.071982615,-0.1377762
-0.15263066,-0.26826465
-0.13524747,-0.1306325
-0.113809675,-0.14152639
-0.10092539,-0.17131516
-0.09122511,-0.1351189
-0.09646931,-0.23665377
-0.07735671,-0.1515969
-0.11415833,-0.21205342
-0.09749758,-0.21370786
-0.14164062,-0.21857892
-0.14948988,-0.2995144
-0.109365985,-0.388196
-0.12353851,-0.34941632
-0.101460256,-0.41212
-0.07591736,-0.39841565
-0.104990646,-0.41524163
-0.07894784,-0.44069925
-0.03760472,-0.4166122
0.0049042604,-0.25039113
-0.056123435,-0.38256708
-0.05308044,-0.14018641
-0.11601768,-0.14287288
-0.075196825,0.0048435437
-0.14721648,-0.27134874
-0.06594706,-0.21993586
-0.15570876,-0.30590647
-0.17974526,-0.30525133
-0.15267198,-0.30960953
-0.10796496,-0.23195913
-0.06762875,-0.07887421
-0.17533432,-0.47254935
0.042730574,-0.08992854
-0.117182046,-0.30256265
-0.1381008,-0.3409357
-0.12550333,-0.24812023
-0.10232913,-0.13575692
-0.12391124,-0.46202797
-0.19733089,-0.23342435
-0.19183207,-0.4376528
-0.13944374,-0.39729595
-0.14002737,-0.38612938
-0.21702713,-0.401129
-0.13037848,-0.11443707
-0.20093738,-0.41970235
-0.1971812,0.26046547
-0.17050783,-0.146406
-0.15889026,-0.27571082
-0.15574451,-0.25771007
-0.026528012,-0.2169008
-0.11023415,-0.08549661
-0.1426323,-0.14132255
-0.10950243,-0.2268384
-0.08184303,-0.20622978
-0.10241644,-0.12388385
-0.059148572,-0.23399103
-0.08590178,0.3158101
-0.13996774,-0.14498825
-0.13134815,-0.062317893
-0.18725851,-0.32628515
-0.08780471,-0.37538663
-0.054809805,0.06666882
-0.16233361,-0.28883633
-0.11589731,-0.012665629
-0.15814653,-0.20837387
-0.13128492,-0.07416085
-0.121537685,-0.109527886
-0.10636645,-0.1430592
-0.03602422,0.051314697
-0.029017309,0.07776645
-0.13960524,0.12689534
-0.095744215,-0.00780546
-0.1486995,-0.015349438
-0.09727281,-0.20845038
-0.05408032,0.033403367
-0.05094646,-0.031264946
-0.06159044,-0.10751286
-0.097332604,-0.12444203
-0.11310444,-0.23268957
-0.06847525,-0.21226677
-0.12980865,-0.28841847
-0.026254004,0.13817056
-0.08152907,-0.32484698
-0.020627603,-0.007619741
-0.013359254,-0.23088212
0.0061276844,-0.42985785
-0.07959621,-0.22260118
-0.06661647,-0.3050652
-0.047226336,-0.31828073
-0.14242849,-0.29680714
-0.15192632,-0.21169809
-0.070663705,-0.23969899
-0.00039417358,-0.07934487
-0.07110302,-0.12547772
-0.13130805,-0.037526198
-0.09816424,-0.2708024
-0.08409541,-0.28880772
-0.09881419,-0.20585193
-0.09698367,-0.13810422
-0.06696814,-0.09375727
-0.115459174,-0.17265445
-0.13127285,-0.21157172
-0.15577352,-0.2955793
-0.1450396,-0.345311
-0.16585939,-0.22874466
-0.073457524,-0.29774728
-0.093175374,-0.27786863
-0.120748125,-0.30201885
-0.029807353,-0.41132122
-0.08952704,0.19086361
-0.14166877,-0.47131297
-0.11317143,-0.2536188
-0.13290851,-0.43665707
-0.09501319,-0.33742222
-0.13770239,-0.026852543
-0.14801763,-0.33611584
-0.17198259,-0.23751362
-0.11826416,-0.047662668
-0.17532004,-0.09059261
-0.07641407,-0.13791326
-0.11982756,-0.18559846
-0.05185066,-0.12673216
-0.052535187,-0.025090305
-0.07557745,-0.25451568
-0.072511606,-0.2348723
-0.09888658,-0.22857963
-0.14490731,-0.32490987
-0.17869872,-0.12749371
-0.1297005,-0.13317207
-0.09187379,-0.1297319
-0.09083985,-0.1680847
-0.055647336,-0.04819491
-0.12906493,0.016769638
-0.18749553,-0.34271303
-0.16769028,-0.2729267
-0.12677959,-0.19492151
-0.15677585,-0.34140334
-0.14485642,-0.191822
-0.15355136,-0.13197643
-0.14348926,0.052451625
-0.15156057,0.10046207
-0.11678814,0.32125717
-0.16083443,-0.28356275
