cooling demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
23.574316,6.225928,0.0,2.4588375,2.6794624,0.0,0.0,0.0,0.0,0.0,0.0,23.574316,0.0,0.0,0.0,0.0,0.0,0.0,4.135316,13.040706217288971,13.040706217288971,0.0,13.040706,13.040706,13.040706,13.040706,4.135316,0.0
21.433313,5.613936,0.0,0.0,0.8389013,0.8389012,0.8389012,0.0,0.22211424,0.22211424,0.0,21.433313,0.0,0.76917243,0.0,0.0,0.0,0.22211424,3.7419388,10.416890263557434,10.416890263557434,0.0,9.355875,9.355875,9.355875,9.355875,3.7419388,0.0
19.659147,4.8832536,0.0,0.31246832,3.0540226,2.384239,2.384239,0.0,-0.09698588,0.0,-0.09698588,19.659147,0.0,2.2018993,0.0,0.09698588,0.0,0.0,3.6769533,11.517243564128876,11.517243564128876,0.0,9.22999,9.22999,9.22999,9.22999,3.6769533,0.0
17.562538,4.315687,0.0,0.3235594,4.197453,3.5011349,3.5011349,0.0,0.40540624,0.40540624,0.0,17.562538,0.0,3.25143,0.0,0.0005045031,0.0,0.40591073,3.6596305,12.578177332878113,12.578177332878113,0.0,8.671637,8.671637,8.671637,8.671637,3.6596305,0.0
15.982864,3.9144888,0.0,0.0,2.250438,2.2504377,2.2504377,0.0,1.4276512,1.4276512,0.0,15.982864,0.0,2.0919192,0.0,0.0,0.0,1.4276512,3.6477017,11.240279197692871,11.240279197692871,0.0,7.56219,7.56219,7.56219,7.56219,3.6477017,0.0
14.311921,3.3774266,0.0,0.0,1.2060969,1.2060969,1.2060969,0.0,1.3152812,1.3152812,0.0,14.311921,0.0,1.1509292,0.0,0.0,0.0,1.3152812,3.713407,9.612211614847183,9.612211614847183,0.0,7.0908337,7.0908337,7.0908337,7.0908337,3.713407,0.0
14.359235,3.434372,0.0,2.6458564,3.8197815,-0.52144593,0.0,-0.52144593,0.90979224,0.90979224,0.0,14.359235,1.3290346,0.8957854,1.3290346,0.0,0.0,0.90979224,3.924264,12.088209807872772,12.088209807872772,0.0,11.699863,11.699863,11.699863,11.699863,3.924264,0.0
14.928612,3.7502477,0.0,0.7951534,1.3763949,-0.16186702,0.0,-0.16186702,-0.078865096,0.0,-0.078865096,14.928612,0.1698078,0.022223346,0.1698078,0.29097024,0.0,0.21210514,4.472855,9.368876203894615,9.368876203894615,0.0,9.609609,9.761365,9.609609,9.761365,4.472855,-0.15175697
20.94578,5.5253654,0.0,3.6038058,8.7302,1.2428279,1.2428279,0.0,-1.0498095,0.0,-1.0498095,20.94578,0.0,1.1351117,0.0,1.1217542,0.0,0.07194467,5.544847,18.17299783229828,18.17299783229828,0.0,17.979979,18.557585,17.979979,18.557585,5.544847,-0.5776048
26.249683,7.6315193,0.0,2.080734,6.6403866,2.1249042,2.1249042,0.0,0.6493441,0.6493441,0.0,26.249683,0.0,1.9470251,0.0,0.2598656,0.0,0.9092097,6.9145474,20.412619411945343,20.412619411945343,0.0,17.638374,19.06155,17.638374,19.06155,6.9145474,-1.4231776
