dhw_storage,electrical_storage,cooling_or_heating_device
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-1.0
-0.08,-0.08,1.0
-0.08,-0.08,-0.47345950126647945
-0.08,-0.08,0.0
-0.08,-0.08,-1.0
-0.08,-0.08,1.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.4145869255065918
0.091,0.091,1.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.245782356262207
0.091,0.091,1.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.66976619720459
-0.08,-0.08,1.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.7060125064849854
-0.08,-0.08,1.0
-0.08,-0.08,-0.18565509796142576
-0.08,-0.08,-0.48268551445007324
-0.08,-0.08,-0.0
-0.08,-0.08,-1.0
-0.08,-0.08,1.0
-0.08,-0.08,0.0
-0.08,-0.08,-1.0
-0.08,-0.08,1.0
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,-0.2986841869354248
0.091,0.091,1.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.19956494331359864
0.091,0.091,1.0
0.091,0.091,-0.18144415855407717
-0.08,-0.08,0.4274276161193848
-0.08,-0.08,-0.9788568687438965
-0.08,-0.08,1.0
-0.08,-0.08,0.0
-0.08,-0.08,-1.0
-0.08,-0.08,1.0
-0.08,-0.08,-0.21685017585754393
-0.08,-0.08,-0.7339234714508057
-0.08,-0.08,0.0
-0.08,-0.08,-1.0
-0.08,-0.08,1.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.6999706649780274
0.091,0.091,1.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.05219399426150322
0.091,0.091,0.0
0.091,0.091,0.15760630580792606
0.091,0.091,0.28216208501608636
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.5450610446929931
-0.08,-0.08,1.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-1.0
-0.08,-0.08,1.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.21599431037902833
-0.08,-0.08,1.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,-0.35993612289428717
0.091,0.091,1.0
0.091,0.091,0.0
