electrical_storage,cooling_or_heating_device
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.20441913604736328
-0.08,-0.08253481864929199
-0.08,-0.8626276931762697
-0.08,0.0
-0.08,-1.0
-0.08,1.0
-0.08,-0.6514091014862061
-0.08,0.5941331481933594
-0.08,0.0
0.091,0.014872446823120118
0.091,0.0
0.091,-1.0
0.091,1.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,-0.23486059188842773
0.091,0.8137039470672607
0.091,-0.6584801483154297
0.091,-0.0
-0.08,-0.4181694416046143
-0.08,0.505198974609375
-0.08,-0.4889402389526367
-0.08,1.0
-0.08,-0.7003051567077636
-0.08,1.0
-0.08,-0.5645008373260498
-0.08,1.0
-0.08,-0.8272237777709961
-0.08,1.0
-0.08,-1.0
-0.08,1.0
-0.08,0.0
0.091,0.0
0.091,-0.23516935348510742
0.091,0.7872181606292725
0.091,-0.7757330417633057
0.091,1.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,-0.2435858154296875
0.091,0.8976349639892579
0.091,-0.8794390201568604
-0.08,1.0
-0.08,0.0
-0.08,0.0
-0.08,-0.367058629989624
-0.08,0.48082441329956055
-0.08,-1.0
-0.08,1.0
-0.08,-0.6803257083892823
-0.08,0.211016206741333
-0.08,-1.0
-0.08,1.0
-0.08,0.0
-0.08,0.7116484318733215
0.091,-0.4106942272186279
0.091,0.1992710781097412
0.091,-0.8183191204071045
0.091,1.0
0.091,0.0
0.091,0.0
0.091,-0.18424738883972167
0.091,0.7148372650146485
0.091,-0.5460739994049073
0.091,0.6801442432403564
0.091,-0.6193818569183349
-0.08,1.0
-0.08,0.0
-0.08,0.0
-0.08,-0.29289761543273923
-0.08,0.43236644744873043
-0.08,-0.3696688842773438
-0.08,1.0
-0.08,0.0
-0.08,-0.7889901542663575
-0.08,1.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,-0.3674946880340576
0.091,1.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,-0.27875823020935053
0.091,1.0
0.091,0.0
0.091,0.0
0.091,-0.33322824478149415
0.091,1.0
-0.08,-0.4282604598999024
-0.08,0.7311549091339111
-0.08,0.052288911819457995
-0.08,0.0
-0.08,-0.5661766815185547
-0.08,1.0
-0.08,-0.36871822357177736
-0.08,0.7272615337371826
-0.08,0.0
-0.08,-0.5222241973876953
-0.08,0.9265732383728027
-0.08,-0.8881655979156494
-0.08,1.0
0.091,-0.2988033580780029
0.091,0.9610678672790528
0.091,-0.5651434135437011
0.091,1.0
0.091,-0.19126358985900882
0.091,0.6818410778045655
0.091,-0.47413796424865723
0.091,1.0
0.091,0.0
0.091,-0.22320958137512206
0.091,0.7487461948394776
-0.08,-0.6569024848937988
-0.08,0.6033885478973389
-0.08,-0.3059102916717529
-0.08,0.7987086963653565
-0.08,-0.7184354209899904
-0.08,0.9055997943878173
-0.08,-0.8775045204162598
-0.08,0.5420079612731934
-0.08,-1.0
-0.08,1.0
-0.08,0.0
-0.08,0.0027204316139221307
-0.08,0.0
0.091,0.0
0.091,-1.0
0.091,1.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,-0.37219991683959963
0.091,1.0
0.091,-0.19070971488952637
0.091,0.0
-0.08,-0.6190108013153076
-0.08,1.0
-0.08,0.0
-0.08,0.0
-0.08,-0.27395143508911135
-0.08,0.5291476345062256
-0.08,-0.7934082889556886
-0.08,1.0
-0.08,-0.7507152271270752
-0.08,1.0
-0.08,-0.36413284301757814
-0.08,0.8210566711425782
-0.08,-0.4683087348937989
0.091,1.0
0.091,-0.2846599102020264
0.091,0.6235128974914551
0.091,-0.47383868217468256
0.091,1.0
0.091,0.0
0.091,0.0
0.091,-0.3575527000427246
0.091,1.0
0.091,-0.32727645874023437
0.091,0.0
-0.08,-0.6227613067626953
-0.08,0.699919204711914
-0.08,-0.3177034950256348
-0.08,1.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.3391576862335205
-0.08,0.4802949142456055
-0.08,0.0
-0.08,0.5845256519317626
-0.08,0.0
-0.08,-1.0
0.091,1.0
0.091,0.0
0.091,0.0
0.091,-0.5282646846771241
0.091,1.0
0.091,0.0
0.091,0.0
0.091,-0.41927319526672363
0.091,0.9907123661041259
0.091,-0.4332846069335938
0.091,0.0
-0.08,-0.2513481903076172
-0.08,1.0
-0.08,0.08353707504272462
-0.08,0.16280662136077884
-0.08,0.0007820581150054934
-0.08,0.0
-0.08,0.29117554890234476
-0.08,0.0
-0.08,0.0
-0.08,-0.3294316959381104
-0.08,1.0
-0.08,-0.6336018180847168
-0.08,1.0
0.091,0.0
0.091,-0.1997233867645264
0.091,0.8796252250671387
0.091,-0.6342254352569581
0.091,1.0
0.091,0.0
0.091,0.0
0.091,-0.2857900047302246
0.091,1.0
0.091,-0.5336768150329589
0.091,0.0
-0.08,0.0
-0.08,0.26581461906433107
-0.08,0.1754975185394287
-0.08,0.0
-0.08,0.0
-0.08,-0.46497600555419916
-0.08,1.0
-0.08,-0.39840808868408206
-0.08,0.9089149188995361
-0.08,-1.0
-0.08,1.0
-0.08,-0.34904279708862307
-0.08,0.4843629837036133
0.091,-0.709819211959839
0.091,1.0
0.091,0.0
0.091,-0.36215229988098147
0.091,1.0
0.091,-0.4564031314849853
0.091,0.9552332210540772
0.091,-0.35871732711792
0.091,0.7253216171264649
0.091,-0.47559374809265137
0.091,0.3336263847351074
-0.08,-0.36150498390197755
-0.08,1.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.1908776378631592
-0.08,0.4930157566070557
-0.08,-0.6522771549224854
-0.08,1.0
-0.08,-0.22976805686950685
-0.08,-0.028602699279785156
-0.08,-1.0
-0.08,1.0
0.091,0.0
0.091,0.0
0.091,-0.6772733020782471
0.091,1.0
0.091,0.0
0.091,-0.3534101486206055
0.091,1.0
0.091,-0.3768008708953858
0.091,0.6070266532897949
0.091,-0.5272442817687988
0.091,0.436408109664917
-0.08,-0.3858118343353271
-0.08,1.0
-0.08,0.0
-0.08,0.024360244655609136
-0.08,0.0
-0.08,0.0
-0.08,-0.4593390750885009
-0.08,0.0
-0.08,0.0
-0.08,-0.4443519496917725
-0.08,0.41872812271118165
-0.08,-0.958110933303833
-0.08,1.0
0.091,0.0
0.091,-0.5869226169586181
0.091,1.0
0.091,-0.3528176784515381
0.091,0.7010709667205811
0.091,-0.5636707019805908
0.091,1.0
0.091,-0.3307554435729981
0.091,0.6508714771270753
0.091,-0.5111703968048096
0.091,0.5654494667053223
-0.08,-0.19690255165100098
-0.08,0.5724419689178467
-0.08,-0.3298846817016602
-0.08,0.8178106117248536
-0.08,-0.8319723415374756
-0.08,1.0
-0.08,-0.2696944522857666
-0.08,0.44246146202087405
-0.08,-1.0
-0.08,1.0
-0.08,-0.8229336166381837
-0.08,1.0
-0.08,-0.5668124866485595
0.091,1.0
0.091,-0.3608326148986817
0.091,1.0
