cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,heating_sp,cooling_sp,comfort_band
3.7793612,0.0,0.74792653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.0,10.8,0.0,3.7793612,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.4995799,1.2475064,1.2475064,0.0,1.2475064,1.2475064,0.4995799,-0.0,24.0,24.0,24.0,2.0
3.2183087,0.0,0.6140647,0.0,0.0,0.32546425,0.32546425,0.32546425,0.0,0.08645995,3.2635130344440744,0.28216317,0.9828,0.9828,0.0,0.08566518,10.799968568812423,0.9251812652567887,3.2183087,-0.0,0.2969797,-0.0,-0.0,0.0,0.9828,0.48967037,2.4119992,2.4119992,0.0,1.103735,1.103735,0.48967037,-0.0,24.0,24.0,24.0,2.0
2.8667033,0.0,0.53002995,0.0,0.0,0.32546425,0.32546425,0.32546425,0.0,0.17281003,3.2635130344440744,0.5639678,0.9828,0.9828,0.0,0.1708338,10.799937137533371,1.8449942606037872,2.8667033,-0.0,0.2969797,-0.0,-0.0,0.0,0.9828,0.48590916,2.3242035,2.3242035,0.0,1.0159392,1.0159392,0.48590916,-0.0,24.0,24.0,24.0,2.0
2.605722,0.0,0.48177665,0.0,0.0,0.32546425,0.32546425,0.32546425,0.0,0.25905037,3.2635130344440744,0.8454143,0.9828,0.9828,0.0,0.25550872,10.799905706162845,2.759470092549975,2.605722,-0.0,0.2969797,-0.0,-0.0,0.0,0.9828,0.48231667,2.2723575,2.2723575,0.0,0.9640932,0.9640932,0.48231667,-0.0,24.0,24.0,24.0,2.0
2.4108207,0.0,0.445741,0.0,0.0,0.32546425,0.32546425,0.32546425,0.0,0.34518114,3.2635130344440744,1.1265031,0.9828,0.9828,0.0,0.3396928,10.799874274700842,3.668639545381691,2.4108207,-0.0,0.2969797,-0.0,-0.0,0.0,0.9828,0.47866794,2.2326732,2.2326732,0.0,0.9244089,0.9244089,0.47866794,-0.0,24.0,24.0,24.0,2.0
2.2112756,0.0,0.39315978,0.0,0.0,0.32546425,0.32546425,0.32546425,0.0,0.43120244,3.2635130344440744,1.4072348,0.9828,0.9828,0.0,0.4233889,10.799842843147363,4.572533563957912,2.2112756,-0.0,0.2969797,-0.0,-0.0,0.0,0.9828,0.45972544,2.1611495,2.1611495,0.0,0.85288525,0.85288525,0.45972544,-0.0,24.0,24.0,24.0,2.0
3.3582497,0.0,0.62091285,0.0,2.5452676,5.5787897,-1.4634047,0.0,-1.4634047,0.0,3.2635130344440744,0.0,0.9828,0.9828,0.0,0.50659984,10.799811411502406,5.471182770918715,3.3582497,1.3353279,0.0,1.3353279,-0.0,0.0,0.9828,0.47547966,7.6579823,7.6579823,0.0,8.138587,8.138587,0.47547966,-0.0,24.0,24.0,24.0,2.0
2.6028998,0.0,0.49664247,0.0,0.0,0.32546425,0.32546425,0.32546425,0.0,0.08645995,3.2635130344440744,0.28216317,0.9828,0.9828,0.0,0.5893284,10.79977997976597,6.364617144831436,2.6028998,-0.0,0.2969797,-0.0,-0.0,0.0,0.9828,0.48265406,2.2716184,2.2716184,0.0,0.9633541,0.9792965,0.48265406,-0.015942417,24.0,24.0,24.0,2.0
3.5366263,0.0,0.7207974,0.0,0.0,0.32546425,0.32546425,0.32546425,0.0,0.17281003,3.2635130344440744,0.5639678,0.9828,0.9828,0.0,0.67157745,10.799748547938057,7.252867629487972,3.5366263,-0.0,0.2969797,-0.0,-0.0,0.0,0.9828,0.490064,2.4494007,2.4494007,0.0,1.1411364,1.2108614,0.490064,-0.06972503,24.0,24.0,24.0,2.0
5.1703157,0.0,1.1882466,0.0,1.0201325,2.5614197,0.32546425,0.32546425,0.0,0.25905037,3.2635130344440744,0.8454143,0.9828,0.9828,0.0,0.7533497,10.799717116018662,8.135963880894169,5.1703157,-0.0,0.2969797,-0.0,-0.0,0.0,0.9828,0.49292544,5.0451097,5.0451097,0.0,3.7368455,3.9171271,0.49292544,-0.18028161,24.0,24.0,24.0,2.0
