dhw_storage,electrical_storage,cooling_or_heating_device
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.2738390350341797
-0.08,-0.08,0.12524601936340332
-0.08,-0.08,-0.44245666503906256
-0.08,-0.08,0.11025287628173829
-0.08,-0.08,-0.4602967262268066
-0.08,-0.08,0.4642611408233643
-0.08,-0.08,-0.2765799903869629
-0.08,-0.08,0.109056396484375
0.091,0.091,-0.3128380203247071
0.091,0.091,0.6730757999420167
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.12229626655578614
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.17421488761901854
0.091,0.091,0.3005733203887939
0.091,0.091,-0.13899067878723145
0.091,0.091,0.0
-0.08,-0.08,-0.3815750026702881
-0.08,-0.08,0.48107246398925785
-0.08,-0.08,-0.13071189880371092
-0.08,-0.08,-0.18159105300903322
-0.08,-0.08,-0.21336910247802734
-0.08,-0.08,-0.2980529975891113
-0.08,-0.08,-0.28202507019042966
-0.08,-0.08,-0.369674015045166
-0.08,-0.08,-0.35910135269165044
-0.08,-0.08,-0.3959098815917969
-0.08,-0.08,-0.3019096374511719
-0.08,-0.08,-0.36892471313476566
-0.08,-0.08,-0.21342926025390624
0.091,0.091,-0.346771240234375
0.091,0.091,0.0
0.091,0.091,-0.44316204071044923
0.091,0.091,1.0
0.091,0.091,0.5399238777160645
0.091,0.091,0.20186963081359866
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.11713889122009279
0.091,0.091,0.0
-0.08,-0.08,-0.3449400424957275
-0.08,-0.08,0.3297928428649903
-0.08,-0.08,-0.22010614395141603
-0.08,-0.08,0.0
-0.08,-0.08,-0.41915815353393554
-0.08,-0.08,0.37648370742797854
-0.08,-0.08,-0.35376153945922856
-0.08,-0.08,-0.20863830566406252
-0.08,-0.08,-0.37281810760498046
-0.08,-0.08,-0.17244104385375977
-0.08,-0.08,-0.4453758239746094
-0.08,-0.08,0.0
-0.08,-0.08,-0.4227241325378418
0.091,0.091,0.8138048934936524
0.091,0.091,0.0
0.091,0.091,0.11335199356079102
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.49267910003662113
0.091,0.091,0.8264351844787597
0.091,0.091,0.0
0.091,0.091,0.1888400936126709
0.091,0.091,0.0
0.091,0.091,-0.23529400825500488
-0.08,-0.08,0.46526055335998534
-0.08,-0.08,-0.3333001708984375
-0.08,-0.08,0.24863241195678712
