electrical_storage,cooling_or_heating_device
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.11804485321044922
-0.08,-0.30037993431091314
-0.08,-0.30500262260437017
-0.08,-1.0
-0.08,0.0
-0.08,-0.8303190517425538
-0.08,0.7465396595001221
-0.08,0.0
-0.08,0.39702132225036624
0.091,0.0
0.091,-0.22725413322448731
0.091,0.0
0.091,-0.6076873970031739
0.091,1.0
0.091,0.0
0.091,0.0
0.091,-0.31641651153564454
0.091,0.45288637161254885
0.091,-0.23519273757934572
0.091,0.11548336982727052
-0.08,-0.3683069801330567
-0.08,0.32866635322570803
-0.08,-0.1881155586242676
-0.08,0.0
-0.08,-0.46158587455749517
-0.08,0.21090810775756838
-0.08,-0.20750987052917483
-0.08,0.0
-0.08,-0.334547872543335
-0.08,0.0
-0.08,-1.0
-0.08,1.0
-0.08,0.19902974128723147
0.091,-0.2973178005218506
0.091,0.0
0.091,-0.4838259315490723
0.091,0.8503976249694825
0.091,-0.1195901107788086
0.091,0.0
0.091,-0.23965529441833497
0.091,0.4515487384796143
0.091,-0.14897581100463866
0.091,0.11231035232543946
0.091,-0.44920973777770995
-0.08,0.3624364089965821
-0.08,-0.31390507698059084
-0.08,0.45764765739440916
-0.08,-0.3390288066864014
-0.08,0.0
-0.08,-0.4216496467590332
-0.08,0.105807523727417
-0.08,-0.6858089256286621
-0.08,0.2586707210540772
-0.08,-0.7419906902313234
-0.08,0.44185021400451663
-0.08,-0.26401695251464846
-0.08,0.8472031021118165
0.091,-0.37868155479431154
0.091,0.0
0.091,-0.45598470687866216
0.091,0.6971625804901123
0.091,-0.20015816688537597
0.091,0.23205960273742676
0.091,-0.24549771308898927
0.091,0.4540503978729248
0.091,-0.1706602478027344
0.091,0.22014446258544923
0.091,-0.37732671737670903
-0.08,0.5812510585784912
-0.08,-0.1514078712463379
-0.08,0.17425594329833985
-0.08,-0.3801755905151367
-0.08,0.24566936492919922
-0.08,-0.19003696441650392
-0.08,0.3963808536529541
-0.08,-0.13574532508850098
-0.08,-0.20624478340148927
-0.08,0.0
-0.08,-0.463811092376709
-0.08,1.0
-0.08,0.173754301071167
0.091,-0.1568643665313721
0.091,0.3210319519042969
0.091,-0.1813089179992676
0.091,0.4369598960876465
0.091,-0.12561982154846194
0.091,0.31481025695800785
0.091,-0.13034708976745607
0.091,0.3261826801300049
0.091,-0.12426850318908692
0.091,0.2029405689239502
0.091,-0.31186832427978517
-0.08,0.5250892353057862
-0.08,-0.15170425415039063
-0.08,0.7278632354736329
-0.08,-0.3456188297271729
-0.08,0.19995015144348147
-0.08,-0.4066099739074707
-0.08,0.3800055027008057
-0.08,-0.2472924327850342
-0.08,0.40155582427978515
-0.08,-0.4247061443328858
-0.08,-0.17817514419555666
-0.08,-0.3734129142761231
-0.08,0.0
0.091,-0.6186785888671875
0.091,1.0
0.091,0.0
0.091,-0.2256553077697754
0.091,0.3837677669525147
0.091,-0.25450806617736815
0.091,0.35727316856384284
0.091,-0.18576951980590822
0.091,0.30825816154479985
0.091,-0.25715009689331053
0.091,0.17288663864135742
-0.08,-0.34665069580078123
-0.08,0.29392425537109373
-0.08,-0.17446591377258303
-0.08,0.0
-0.08,-0.43878941535949706
-0.08,0.302244873046875
-0.08,-0.4855631732940674
-0.08,-0.2514595890045166
-0.08,-0.5604598140716553
-0.08,0.0
-0.08,0.16602799415588382
-0.08,0.0
-0.08,-0.11887261390686035
0.091,0.0
0.091,-1.0
0.091,1.0
0.091,0.5193218231201172
0.091,0.0
0.091,-0.2740924072265625
0.091,0.5040018653869629
0.091,-0.1374137496948242
0.091,0.12575862884521485
0.091,-0.2765381526947021
0.091,0.23033839225769046
-0.08,-0.41307291984558103
-0.08,0.2371016311645508
-0.08,0.0
-0.08,0.0
-0.08,-0.37971224784851076
-0.08,0.3898084259033203
-0.08,-0.3642905616760254
-0.08,0.23220623016357422
-0.08,-0.8017923927307129
-0.08,1.0
-0.08,0.23018558502197267
-0.08,-0.29988436698913573
-0.08,0.42394915580749515
0.091,-0.23914855003356936
0.091,0.28713794708251955
0.091,-0.40946432113647463
0.091,0.7520751380920411
0.091,0.0
0.091,-0.20292492866516115
0.091,0.43166410446167
0.091,-0.12851678848266604
0.091,0.13064151763916015
0.091,-0.3072552299499512
0.091,0.2205440711975098
-0.08,-0.43044846534729003
-0.08,0.3262233448028565
-0.08,-0.14858206748962402
-0.08,0.8286009693145753
-0.08,0.12921573638916017
-0.08,0.0
-0.08,-0.21629109382629394
-0.08,0.0
-0.08,-1.0
-0.08,1.0
-0.08,1.0
-0.08,0.8627380371093751
-0.08,-0.4654877281188965
0.091,0.3244735908508301
0.091,-0.33559303283691405
0.091,0.5478262615203858
0.091,-0.2939309024810791
0.091,0.4888319873809815
0.091,-0.16750521659851075
0.091,0.25858665466308595
0.091,-0.20506490707397462
0.091,0.3027187728881836
0.091,-0.18175388336181642
0.091,0.1781812572479248
-0.08,0.0
-0.08,0.0
-0.08,0.5298118114471435
-0.08,0.14903315544128418
-0.08,0.1349375057220459
-0.08,0.0
-0.08,0.12654767990112306
-0.08,0.0
-0.08,0.0
-0.08,-0.39124224662780765
-0.08,0.8991756820678711
-0.08,-0.33016820907592775
-0.08,0.23384376525878908
0.091,-0.26967481613159183
0.091,0.6378926467895508
0.091,-0.23768344879150394
0.091,0.3494061183929444
0.091,-0.21149344444274903
0.091,0.3899456691741944
0.091,-0.17665007591247558
0.091,0.2889064693450928
0.091,-0.18571986198425294
0.091,0.24216751098632813
0.091,-0.3770569229125977
-0.08,0.47179857254028323
-0.08,0.27152658462524415
-0.08,0.362992582321167
-0.08,0.0
-0.08,0.0
-0.08,-0.27947148323059084
-0.08,0.2563070869445801
-0.08,-0.3479582214355469
-0.08,0.36861978530883793
-0.08,-0.6064686298370361
-0.08,0.5174270725250244
-0.08,-0.7738616275787354
-0.08,0.8874884986877443
0.091,-0.1365273380279541
0.091,0.0
0.091,-0.46662946701049807
0.091,0.6381479740142822
0.091,-0.21721582412719725
0.091,0.271286153793335
0.091,-0.2557694530487061
0.091,0.4209282398223877
0.091,-0.16490228652954103
0.091,0.1605198860168457
0.091,-0.4506513786315918
-0.08,0.44930553436279297
-0.08,0.0
-0.08,0.4194299030303955
-0.08,-0.13268882751464844
-0.08,0.0
-0.08,-0.45947013854980473
-0.08,0.771885871887207
-0.08,-0.19620665550231933
-0.08,0.0
-0.08,-0.3083484840393067
-0.08,0.0
-0.08,-1.0
-0.08,1.0
0.091,0.2871042919158936
0.091,-0.2717580986022949
0.091,0.0
0.091,-0.16441587448120118
0.091,0.0
0.091,-0.4714114761352539
0.091,0.8406459236145021
0.091,-0.11307437896728517
0.091,0.0
0.091,-0.29770880699157715
0.091,0.18580979347229004
-0.08,-0.26745741844177245
-0.08,0.344244441986084
-0.08,0.3590832614898682
-0.08,0.0
-0.08,-0.16280805587768557
-0.08,0.0
-0.08,-0.4341114139556885
