cooling demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
23.574316,6.225928,0.0,2.4588375,2.6794624,0.0,0.0,0.0,0.0,0.0,0.0,23.574316,0.0,0.0,0.0,0.0,0.0,0.0,4.135316,13.040706217288971,13.040706217288971,0.0,13.040706,13.040706,13.040706,13.040706,4.135316,0.0
21.433313,5.613936,0.0,0.0,2.0028558,2.0028558,2.0028558,0.0,8.177337,8.177337,0.0,21.433313,0.0,1.8634427,0.0,0.0,0.0,8.177337,3.7419388,19.536067724227905,19.536067724227905,0.0,9.355875,9.355875,9.355875,9.355875,3.7419388,0.0
19.659147,4.8832536,0.0,0.31246832,2.6726394,2.0028558,2.0028558,0.0,8.170603,8.170603,0.0,19.659147,0.0,1.8634427,0.0,0.0,0.0,8.170603,3.6769533,19.403449654579163,19.403449654579163,0.0,9.229991,9.229991,9.229991,9.229991,3.6769533,0.0
17.562538,4.315687,0.0,0.3235594,2.699174,2.0028558,2.0028558,0.0,8.163946,8.163946,0.0,17.562538,0.0,1.8634427,0.0,0.0,0.0,8.163946,3.6596305,18.838438391685486,18.838438391685486,0.0,8.671636,8.671636,8.671636,8.671636,3.6596305,0.0
15.982864,3.9144888,0.0,0.0,2.0028558,2.0028558,2.0028558,0.0,8.157368,8.157368,0.0,15.982864,0.0,1.8634427,0.0,0.0,0.0,8.157368,3.6477017,17.722413420677185,17.722413420677185,0.0,7.56219,7.56219,7.56219,7.56219,3.6477017,0.0
14.311921,3.3774266,0.0,0.0,2.0028558,2.0028558,2.0028558,0.0,8.150865,8.150865,0.0,14.311921,0.0,1.8634427,0.0,0.0,0.0,8.150865,3.713407,17.244553804397583,17.244553804397583,0.0,7.0908337,7.0908337,7.0908337,7.0908337,3.713407,0.0
14.359235,3.434372,0.0,2.6458564,7.4751267,0.21398687,0.21398687,0.0,8.144437,8.144437,0.0,14.359235,1.3353279,1.566463,1.3353279,0.0,0.0,8.144437,3.924264,22.97819983959198,22.97819983959198,0.0,14.619777,14.619777,14.619777,14.619777,3.924264,0.0
14.928612,3.7502477,0.0,0.7951534,3.7261825,2.0028558,2.0028558,0.0,8.138083,8.138083,0.0,14.928612,0.0,1.8634427,0.0,0.0,0.0,8.138083,4.472855,19.935612678527832,19.935612678527832,0.0,9.794673,9.94643,9.794673,9.94643,4.472855,-0.15175697
20.94578,5.5253654,0.0,3.6038058,9.490228,2.0028558,2.0028558,0.0,8.131804,8.131804,0.0,20.94578,0.0,1.8634427,0.0,0.0,0.0,8.131804,5.544847,28.114639282226562,28.114639282226562,0.0,17.979979,18.557583,17.979979,18.557583,5.544847,-0.5776048
26.249683,7.6315193,0.0,2.080734,6.518338,2.0028558,2.0028558,0.0,8.125598,8.125598,0.0,26.249683,0.0,1.8634427,0.0,0.0,0.0,8.125598,6.9145474,27.766823828220367,27.766823828220367,0.0,17.63837,19.06155,17.63837,19.06155,6.9145474,-1.4231776
33.671757,10.259115,0.0,5.76521,12.377047,0.0,0.0,0.0,-7.2,0.0,-7.2,33.671757,0.0,0.0,0.0,7.2,0.0,0.0,7.751303,20.723856389522552,20.723856389522552,0.0,27.923857,30.387465,27.923857,30.387465,7.751303,-2.463609
36.206566,12.024661,0.0,2.4102945,3.8184085,-0.7124392,0.0,-0.7124392,-7.2,0.0,-7.2,36.206566,0.66071427,0.0,0.66071427,7.2,0.0,0.0,7.5472827,12.99247807264328,12.99247807264328,0.0,20.904917,24.102787,20.904917,24.102787,7.5472827,-3.1978726
32.379356,11.683763,0.22695473,2.4161696,4.1269383,-0.57041186,0.0,-0.57041186,-7.2,0.0,-7.2,32.379356,0.5222508,0.0,0.5222508,7.2,1.5335363,0.0,8.467105,13.55137836933136,13.55137836933136,0.0,21.32179,25.07517,21.32179,25.07517,8.467105,-3.7533805
33.852413,13.477124,0.0,1.2599885,1.3655568,-0.66389,0.0,-0.66389,-7.2,0.0,-7.2,33.852413,0.6219801,0.0,0.6219801,7.2,0.0,0.0,8.363474,12.003265351057053,12.003265351057053,0.0,19.867155,23.870045,19.867155,23.870045,8.363474,-4.00289
1.2880276,0.6480649,0.0,0.075941324,0.0,-0.07927104,0.0,-0.07927104,-7.2,0.0,-7.2,1.2880276,0.075941324,0.0,0.075941324,7.2,0.0,0.0,6.9481335,-3.6758435368537903,0.0,-3.6758435368537903,3.603428,7.6754694,17.804014,21.876055,6.9481335,-4.0720415
48.544525,20.264832,0.0,0.5867655,0.4157413,-0.4119044,0.0,-0.4119044,-7.2,0.0,-7.2,48.544525,0.38961455,0.0,0.38961455,7.2,0.0,0.0,6.6958437,16.376936554908752,16.376936554908752,0.0,23.988842,27.788322,22.26079,26.06027,6.6958437,-3.7994812
5.441433,2.7345438,0.402395,1.6677487,2.3157187,-0.6276587,0.0,-0.6276587,-6.579886,0.0,-6.579886,5.441433,0.57910496,0.0,0.57910496,6.579886,4.103629,0.0,6.378774,1.8388880714774132,1.8388880714774132,0.0,9.046433,12.459089,31.235685,34.648342,6.378774,-3.4126568
