electrical_storage,cooling_or_heating_device
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.4188236236572266
-0.08,0.0
-0.08,-0.6590587615966796
-0.08,0.0
-0.08,-0.5821765899658203
-0.08,0.0
-0.08,0.0
-0.08,-0.42685890197753906
0.091,0.5099582672119141
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,-0.49478874206542967
-0.08,0.6209354400634766
-0.08,0.0
-0.08,-0.4110057830810547
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.6034114837646485
-0.08,0.0
-0.08,-0.6370243072509766
-0.08,0.0
-0.08,0.0
-0.08,-0.6050792694091797
-0.08,0.6829139709472656
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,-0.5121894836425781
-0.08,0.6119327545166016
-0.08,0.0
-0.08,-0.4694038391113281
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.639093017578125
-0.08,0.0
-0.08,-0.597500991821289
-0.08,0.0
-0.08,-0.4182575225830078
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,-0.4012172698974609
0.091,0.6671741485595704
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.7372489929199219
-0.08,0.56337890625
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.43248519897460935
-0.08,0.9215415954589844
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.5191490173339843
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.4927360534667969
-0.08,0.0
-0.08,-0.4755123138427734
-0.08,0.6764381408691407
-0.08,0.0
-0.08,-0.4026958465576172
0.091,0.6360313415527343
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,-0.7850166320800781
-0.08,0.7289348602294922
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.6279579162597656
-0.08,0.0
-0.08,0.0
-0.08,-0.5447723388671875
-0.08,0.7796867370605469
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.4271701812744141
-0.08,0.44700965881347654
-0.08,-0.4661693572998047
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.7219718933105469
-0.08,1.0
-0.08,0.6530220031738281
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.7515823364257812
-0.08,1.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.48198776245117186
-0.08,1.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.6229324340820312
-0.08,1.0
-0.08,0.5758918762207031
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.49776344299316405
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.5629108428955079
-0.08,0.0
-0.08,-0.41196022033691404
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,-0.48919105529785156
0.091,1.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,-0.5108184814453125
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.5694351196289062
-0.08,0.0
-0.08,-0.47975616455078124
-0.08,0.0
-0.08,0.0
-0.08,-0.5036212921142578
-0.08,0.574277114868164
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,-0.5136611938476563
-0.08,0.6995037078857422
-0.08,0.0
-0.08,-0.4073760986328125
-0.08,0.49290618896484373
-0.08,0.0
-0.08,0.0
-0.08,-0.5144462585449219
-0.08,0.0
-0.08,-0.601080322265625
-0.08,0.0
-0.08,0.0
-0.08,-0.4138614654541016
-0.08,0.42828369140625
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,-0.40505294799804686
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.5538902282714844
-0.08,0.0
-0.08,0.0
-0.08,-0.7923812866210938
-0.08,0.6142147064208985
-0.08,0.0
-0.08,0.0
-0.08,-0.41305694580078123
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,-0.5159324645996094
-0.08,0.4459686279296875
-0.08,0.0
-0.08,-0.6424633026123047
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,-0.513873291015625
-0.08,0.0
-0.08,0.0
-0.08,-0.5806968688964844
-0.08,0.7008281707763672
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,-0.41152267456054686
-0.08,0.4025142669677734
-0.08,0.0
-0.08,-0.6024528503417969
-0.08,0.0
-0.08,0.0
-0.08,-0.5788570404052734
-0.08,0.0
-0.08,0.0
-0.08,-0.7143627166748047
-0.08,0.7756839752197265
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
