dhw_storage,electrical_storage,cooling_or_heating_device
-0.016561337,-0.01581762,-0.17382133
0.11405061,-0.030456116,-0.09405999
0.118096754,-0.03773831,0.03674304
0.0155205615,-0.040259194,0.17074955
0.055869848,-0.052448478,0.1770507
0.027369203,-0.0538577,0.15097328
-0.023387698,-0.048459638,-0.018584095
-0.13508993,-0.038285308,-0.15481254
-0.16840808,-0.04675209,0.13535212
-0.10603451,-0.051180355,0.096345164
-0.056285214,-0.050195582,0.16578819
-0.06752787,-0.053454205,0.19417286
-0.074860856,-0.061784696,0.23104337
-0.07740748,-0.07652256,0.29857692
-0.05502458,-0.06241708,0.15964086
-0.056823865,-0.06587957,0.022357631
-0.05775718,-0.06999128,-0.0035549372
-0.06596854,-0.07670636,-0.01971524
-0.064024575,-0.08317125,-0.010686006
-0.025975024,-0.08208793,0.0067539923
-0.05622159,-0.07794641,0.028110353
-0.08606227,-0.06986982,-0.024406426
-0.144247,-0.06446073,-0.16422774
-0.1859768,-0.055638842,-0.10325077
-0.1707303,-0.038269587,-0.16714647
-0.24333468,-0.016027328,0.22261572
-0.19087589,-0.014742908,-0.056651946
-0.24983002,-0.033360556,0.1231119
-0.2490507,-0.02410394,-0.08630858
-0.24389996,-0.028172761,0.10999178
-0.17483833,-0.015827628,-0.13112772
-0.26293463,-0.034669347,0.31911996
-0.1769307,-0.016551591,0.3431286
-0.021775434,-0.010360418,0.3196109
0.096710965,-0.029321011,0.23722519
0.057587966,-0.024078362,0.1835911
0.033458658,-0.010654479,-0.06410906
0.051345244,-0.0018711368,-0.15978919
0.014743834,0.009607457,-0.02016213
-0.0360337,0.0026341213,-0.21343839
-0.011150291,-0.017748974,-0.2898659
-0.095103174,-0.042921863,-0.2968945
-0.17538504,-0.06818557,-0.048109673
-0.18656623,-0.06374636,0.08445588
-0.24891071,-0.05286965,-0.01555135
-0.28995684,-0.041402716,0.12251978
-0.26426563,-0.027166737,0.111821294
-0.23894313,-0.024549752,0.13482253
-0.21809378,-0.015705246,0.009420887
-0.028607288,-0.060576085,-0.095378466
-0.12065672,-0.06464155,0.08450978
-0.09414144,-0.060199074,-0.14222607
-0.14213318,-0.056291766,0.20141052
-0.007155817,-0.04325203,0.042300064
-0.022985218,-0.047050193,0.026033564
0.14858195,-0.046519555,0.021892648
0.28867802,-0.044898663,0.23830184
0.31927195,-0.057508368,0.44531417
0.07271629,-0.06368052,0.12943567
-0.24348304,-0.06602096,-0.42297944
-0.16920231,-0.067260325,-0.05021095
-0.0407355,-0.03675245,-0.35262927
0.019494202,0.0015084847,-0.31028706
-0.03332377,0.017423112,-0.41098312
-0.04060221,-0.0014821574,-0.44531688
-0.07236238,-0.00444443,-0.44806647
-0.040026397,-0.017607152,-0.42354712
0.0064823925,-0.023336843,-0.2907365
0.06727708,-0.043485988,0.14302349
-0.026916241,-0.02821823,0.42525163
-0.097100906,-0.04711097,0.058619976
0.08809814,-0.031886645,0.30750218
0.17236884,-0.02568349,-0.14300525
-0.20885243,-0.050621606,0.28189996
-0.30527675,-0.07072876,0.3797888
-0.31515604,-0.090257645,0.43221918
-0.3131595,-0.08149312,0.4092132
-0.3114215,-0.0826934,0.40814444
-0.3140529,-0.09016728,0.40835017
-0.31572765,-0.059088297,0.022882614
-0.30914506,-0.1005874,0.35504696
0.22365686,-0.07134893,0.4200388
-0.18451695,-0.07743529,0.15929018
0.1695914,-0.04647156,0.28963256
-0.1283433,-0.043093048,-0.2291124
-0.09711035,-0.04792659,0.15838408
0.15143831,-0.05082943,0.35271582
0.07673585,-0.06567277,0.1359825
0.10598495,-0.060199235,0.08533893
-0.002013376,-0.060801893,-0.04294135
0.15839863,-0.0455592,0.17061807
0.08115109,-0.03670324,0.027444953
0.066285916,-0.03977914,0.16162454
0.018153172,-0.037312552,0.14676644
0.068037204,-0.026435193,0.16542333
0.08468539,-0.019859405,0.061144862
0.06895323,-0.01921494,-0.1466207
-0.037979215,-0.0085680075,0.13840166
-0.0011401178,-0.017765302,-0.26756093
-0.020655842,-0.008750697,0.3214069
-0.002017487,0.0016072494,0.1470144
0.00074144703,-0.0035194736,0.13478234
0.011104191,-0.008923967,0.08371941
-0.08979184,-0.0371101,0.29189304
-0.032488685,-0.01839999,0.086837426
0.019961998,-0.01527054,0.056237824
-0.04893888,-0.01034732,-0.15534633
-0.026125511,-0.009667096,0.014985018
-0.017582903,0.009799553,-0.07742954
-0.118975,-0.031352554,-0.19463061
0.1090727,0.017540334,0.106360145
0.13274276,0.03627266,-0.13083114
0.11743988,0.030153021,0.13572325
-0.04022789,0.017498761,-0.23824483
-0.013335083,0.006252678,0.004427285
-0.05781928,0.0041495063,-0.06324026
-0.13471876,-0.032526612,-0.01592184
-0.08062505,-0.05108577,0.22913516
-0.018401265,-0.039668143,0.029325642
0.0061769164,-0.04873293,-0.015636258
-0.16971895,-0.04010251,-0.019726053
-0.2019959,0.009938053,-0.27074122
-0.16507289,0.014897019,0.07659384
-0.16658987,-0.011071899,0.0050943806
-0.17567813,-0.020847674,-0.019496048
-0.18781263,-0.05573925,0.19504516
-0.21230772,-0.06118511,0.122334994
-0.25278288,-0.088046044,0.32697487
-0.04603624,-0.07980792,0.18119493
0.18554834,-0.03935847,0.016040761
-0.005061106,-0.042991545,0.10917396
0.1113504,-0.017590089,-0.22455202
-0.08680785,-0.039008252,0.10871511
0.13091299,-0.0014355893,0.08475554
0.11207876,0.003920472,-0.09715388
-0.031088207,-0.016268617,-0.10241957
-0.11113945,-0.022270728,-0.123209216
-0.17398947,-0.020205887,-0.08949682
-0.18630287,-0.001263886,-0.16842307
-0.0015695327,0.011818422,-0.007835181
0.19711304,0.0029937953,0.13195774
0.014317367,-0.009589357,0.29061177
0.10284642,-0.01908667,-0.005186728
0.051617887,-0.02255126,0.0409395
-0.077128805,-0.022650277,-0.00031928808
-0.18118319,-0.055212468,0.40547436
-0.16155589,-0.0433215,-0.0032602265
-0.07756844,-0.028661039,0.09729444
0.1393485,-0.016744005,-0.33740878
0.053628746,0.0053287633,-0.070156485
-0.12946582,-0.03493817,0.09899573
-0.112159275,-0.0655421,-0.039145507
0.0026872351,-0.055129703,-0.12748855
0.031714603,-0.04581328,-0.20159636
-0.029168153,-0.06339562,0.17112556
0.05425266,-0.0566777,0.3490608
-0.0072115776,-0.05006046,0.22907038
-0.23610061,-0.066925034,-0.2864377
-0.2877688,-0.08616668,0.23293366
-0.24514589,-0.069097705,0.35721198
-0.26564762,-0.09008461,0.42532924
-0.26418898,-0.08033631,0.40881532
-0.25910926,-0.034139983,0.35685474
-0.28184086,-0.032204136,0.20030712
-0.26505253,-0.02939319,0.29674232
-0.25544554,-0.029177697,0.14580426
-0.22145563,-0.04863638,0.32062688
-0.16865891,-0.035799865,-0.1909896
-0.2415959,-0.077141896,0.4328924
