cooling demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
23.574316,6.225928,0.0,2.4588375,2.6794624,0.0,0.0,0.0,0.0,0.0,0.0,23.574316,0.0,0.0,0.0,0.0,0.0,0.0,4.135316,13.040706217288971,13.040706217288971,0.0,13.040706,13.040706,13.040706,13.040706,4.135316,0.0
21.433313,5.613936,0.0,0.0,0.6939572,0.69395727,0.69395727,0.0,0.7893556,0.7893556,0.0,21.433313,0.0,0.6367465,0.0,0.0,0.0,0.7893556,3.7419388,10.839187562465668,10.839187562465668,0.0,9.355875,9.355875,9.355875,9.355875,3.7419388,0.0
19.659147,4.8832536,0.0,0.31246832,4.8777895,4.208006,4.208006,0.0,1.5767598,1.5767598,0.0,19.659147,0.0,3.92225,0.0,0.0,0.0,1.5767598,3.6769533,15.01475614309311,15.01475614309311,0.0,9.22999,9.22999,9.22999,9.22999,3.6769533,0.0
17.562538,4.315687,0.0,0.3235594,2.0793872,1.3830689,1.3830689,0.0,1.7739449,1.7739449,0.0,17.562538,0.0,1.2820659,0.0,0.0,0.0,1.7739449,3.6596305,11.828649699687958,11.828649699687958,0.0,8.671637,8.671637,8.671637,8.671637,3.6596305,0.0
15.982864,3.9144888,0.0,0.0,1.889549,1.889549,1.889549,0.0,1.9966341,1.9966341,0.0,15.982864,0.0,1.7955064,0.0,0.0,0.0,1.9966341,3.6477017,11.448373317718506,11.448373317718506,0.0,7.56219,7.56219,7.56219,7.56219,3.6477017,0.0
14.311921,3.3774266,0.0,0.0,0.92362213,0.9236222,0.9236222,0.0,1.7517029,1.7517029,0.0,14.311921,0.0,0.86043453,0.0,0.0,0.0,1.7517029,3.713407,9.766158550977707,9.766158550977707,0.0,7.0908337,7.0908337,7.0908337,7.0908337,3.713407,0.0
14.359235,3.434372,0.0,2.6458564,5.9958544,1.0869057,1.0869057,0.0,1.1474552,1.1474552,0.0,14.359235,0.81100017,1.8713335,0.81100017,0.4280163,0.0,1.5754715,3.924264,14.501945912837982,14.501945912837982,0.0,12.267586,12.267586,12.267586,12.267586,3.924264,0.0
14.928612,3.7502477,0.0,0.7951534,3.1199584,1.7338161,1.7338161,0.0,-0.020069957,0.0,-0.020069957,14.928612,0.31117925,1.9015257,0.31117925,1.2774235,0.0,1.2573535,4.472855,11.171234667301178,11.171234667301178,0.0,9.457488,9.609245,9.457488,9.609245,4.472855,-0.15175697
20.94578,5.5253654,0.0,3.6038058,8.315321,0.82794905,0.82794905,0.0,0.89023685,0.89023685,0.0,20.94578,0.0,0.75548714,0.0,0.4326382,0.0,1.322875,5.544847,19.69816541671753,19.69816541671753,0.0,17.979979,18.557585,17.979979,18.557585,5.544847,-0.5776048
26.249683,7.6315193,0.0,2.080734,3.2079403,-0.2384451,0.0,-0.2384451,2.2303867,2.2303867,0.0,26.249683,0.99566996,0.75795346,0.99566996,0.0,0.0,2.2303867,6.9145474,18.561215609312057,18.561215609312057,0.0,16.569275,17.99245,16.569275,17.99245,6.9145474,-1.4231776
33.671757,10.259115,0.0,5.76521,12.377047,0.0,0.0,0.0,0.32695764,0.32695764,0.0,33.671757,0.0,0.0,0.0,0.44646943,0.0,0.77342707,7.751303,28.2508145570755,28.2508145570755,0.0,27.923857,30.387465,27.923857,30.387465,7.751303,-2.463609
36.206566,12.024661,0.0,2.4102945,3.9019356,-0.6706755,0.0,-0.6706755,0.73485,0.73485,0.0,36.206566,0.6226058,0.0,0.6226058,0.36741263,0.0,1.1022626,7.5472827,21.010855853557587,21.010855853557587,0.0,20.94668,24.144552,20.94668,24.144552,7.5472827,-3.1978726
32.379356,11.683763,0.22695473,2.4161696,3.9746628,-0.6465496,0.0,-0.6465496,-0.68067396,0.0,-0.68067396,32.379356,0.59211165,0.0,0.59211165,1.1493675,1.5335363,0.46869352,8.467105,19.918429285287857,19.918429285287857,0.0,21.245653,24.999035,21.245653,24.999035,8.467105,-3.7533805
33.852413,13.477124,0.0,1.2599885,2.0591686,-0.31708413,0.0,-0.31708413,-0.730951,0.0,-0.730951,33.852413,0.30376527,0.0,0.30376527,1.2358153,0.0,0.5048642,8.363474,19.165925920009613,19.165925920009613,0.0,20.21396,24.21685,20.21396,24.21685,8.363474,-4.00289
15.511263,6.6762247,0.22701778,0.075941324,0.0,-0.07927104,0.0,-0.07927104,-0.73746145,0.0,-0.73746145,15.511263,0.075941324,0.0,0.075941324,1.1823237,2.043038,0.44486216,6.9481335,9.041872221976519,9.041872221976519,0.0,9.858605,13.930645,17.478327,21.550367,6.9481335,-4.0720415
22.830492,9.781005,0.090632655,0.5867655,0.8963653,0.068719625,0.068719625,0.0,-0.21807075,0.0,-0.21807075,22.830492,0.38961455,0.43855992,0.38961455,0.6840317,0.9567501,0.46596098,6.6958437,13.446293741464615,13.446293741464615,0.0,13.595645,17.395124,22.089937,25.889418,6.6958437,-3.7994812
20.206367,8.941038,0.017557953,1.6677487,2.956737,-0.27276248,0.0,-0.27276248,-0.13733262,0.0,-0.13733262,20.206367,0.31802392,0.062754765,0.31802392,0.6407599,0.18270233,0.50342727,6.378774,14.744117930531502,14.744117930531502,0.0,15.154213,18.56687,32.17923,35.59189,6.378774,-3.4126568
26.64143,11.278387,0.0,1.4302865,2.478076,-0.31193376,0.0,-0.31193376,-0.13796991,0.0,-0.13796991,26.64143,0.2974888,0.0043649618,0.2974888,0.6384215,0.0,0.50045156,6.1251383,17.057866781949997,17.057866781949997,0.0,17.50777,20.193535,30.54539,33.23115,6.1251383,-2.6857648
20.243519,8.014523,0.0,1.6744683,3.1871753,-0.16266361,0.0,-0.16266361,0.40416563,0.40416563,0.0,20.243519,0.15623538,0.0043649618,0.15623538,0.00012079682,0.0,0.4042864,12.922775,22.72728705406189,22.72728705406189,0.0,22.485785,24.28714,39.55197,41.35332,12.922775,-1.8013518
23.321182,8.571425,0.0,0.81914175,1.2434517,-0.23302947,0.0,-0.23302947,-0.029173845,0.0,-0.029173845,23.321182,0.22782396,0.0043649618,0.22782396,0.029173845,0.0,0.0,9.089996,18.054901838302612,18.054901838302612,0.0,18.317104,19.137905,30.724318,31.545116,9.089996,-0.8207992
18.028046,6.2242107,0.08857199,0.9189828,2.6024458,0.6666544,0.6666544,0.0,-0.39440668,0.0,-0.39440668,18.028046,0.0,0.6384344,0.0,0.39440668,0.48055956,0.0,12.586617,20.99688410758972,20.99688410758972,0.0,20.724636,20.835192,27.745768,27.856321,12.586617,-0.11055534
12.339348,3.9648254,0.12923367,1.1555697,1.9184988,-0.2545574,0.0,-0.2545574,-0.5062548,0.0,-0.5062548,12.339348,0.30376527,0.058241718,0.30376527,0.5062548,0.6136251,0.0,8.314123,13.820425778627396,13.820425778627396,0.0,14.581238,14.581238,19.49965,19.49965,8.314123,0.0
17.908102,5.209631,0.18170172,1.0095111,2.3886666,0.81083196,0.81083196,0.0,-0.352878,0.0,-0.352878,17.908102,0.52761704,1.3110641,0.52761704,0.352878,0.8067912,0.0,8.121485,15.548606157302856,15.548606157302856,0.0,15.090652,15.090652,17.85015,17.85015,8.121485,0.0
27.289349,7.3811336,0.0,0.8007329,0.23772432,-0.60853106,0.0,-0.60853106,-0.2737767,0.0,-0.2737767,27.289349,0.8007329,0.22180687,0.8007329,0.48479113,0.0,0.21101443,6.257903,13.60298466682434,13.60298466682434,0.0,14.485292,14.485292,15.895378,15.895378,6.257903,0.0
20.471285,5.0495462,0.46566898,0.9933251,3.7276392,1.5877924,1.5877924,0.0,-0.27336583,0.0,-0.27336583,20.471285,0.0,1.5154213,0.0,0.73194265,1.8004472,0.45857683,4.086716,13.056204676628113,13.056204676628113,0.0,11.741777,11.741777,16.290941,16.290941,4.086716,0.0
22.033495,5.227472,0.12210916,0.0,0.32870162,0.32870162,0.32870162,0.0,0.09294945,0.09294945,0.0,22.033495,0.0,0.30669254,0.0,0.6021018,0.4237137,0.69505125,3.7180943,9.489326119422913,9.489326119422913,0.0,9.067676,9.067676,12.07559,12.07559,3.7180943,0.0
11.277691,3.0718334,0.7923163,0.0,0.404858,0.404858,0.404858,0.0,0.5000023,0.5000023,0.0,11.277691,0.0,0.3792293,0.0,0.6808049,2.8883772,1.1808072,3.684646,8.453656002879143,8.453656002879143,0.0,7.548795,7.548795,10.947699,10.947699,3.684646,0.0
8.507377,2.0565336,0.4036486,0.0,0.023197748,0.023197748,0.023197748,0.0,1.2726133,1.2726133,0.0,8.507377,0.0,0.022223346,0.0,0.0,1.449858,1.2726133,3.6860025,7.441995799541473,7.441995799541473,0.0,6.146185,6.146185,10.133099,10.133099,3.6860025,0.0
17.825302,4.4044523,0.23010218,0.0,0.023197748,0.023197748,0.023197748,0.0,1.5499617,1.5499617,0.0,17.825302,0.0,0.022223346,0.0,0.0,0.82123226,1.5499617,3.6536565,9.861370176076889,9.861370176076889,0.0,8.288211,8.288211,9.265949,9.265949,3.6536565,0.0
23.67915,5.209132,0.3029915,0.31384364,0.5428661,-0.053333983,0.0,-0.053333983,0.5693175,0.5693175,0.0,23.67915,0.07140735,0.022223346,0.07140735,0.36303818,1.0683163,0.9323557,3.6210513,10.245358347892761,10.245358347892761,0.0,9.729375,9.729375,8.877987,8.877987,3.6210513,0.0
22.84155,5.5950403,0.19863437,0.0,0.0,0.0,0.0,0.0,1.5847425,1.5847425,0.0,22.84155,0.0,0.0,0.0,0.098549776,0.69106567,1.6832923,3.8921425,11.2705599963665,11.2705599963665,0.0,9.685818,9.685818,7.831983,7.831983,3.8921425,0.0
20.90455,5.096554,0.501365,3.9914584,4.728317,-1.9500232,0.0,-1.9500232,1.0720396,1.0720396,0.0,20.90455,1.835727,0.044329215,1.835727,0.07704942,1.872586,1.149089,4.787988,16.05066567659378,16.05066567659378,0.0,16.928648,17.064249,17.216068,17.351667,4.787988,-0.13559829
23.348898,6.330184,0.24529427,0.6942956,0.99172187,-0.1843451,0.0,-0.1843451,-0.8360676,0.0,-0.8360676,23.348898,0.3086513,0.1346939,0.3086513,1.3895564,0.93585575,0.5534888,5.328063,11.45099624991417,11.45099624991417,0.0,12.471409,13.079609,13.219811,13.82801,5.328063,-0.60819954
21.270723,6.1605134,0.23675296,1.9475595,4.1693697,0.7359947,0.7359947,0.0,-1.2587111,0.0,-1.2587111,21.270723,0.62116,1.2864408,0.62116,1.4387212,1.0029101,0.18001,10.370009,18.167339503765106,18.167339503765106,0.0,18.690056,20.200651,21.134106,22.644701,10.370009,-1.5105952
10.57074,3.3160484,0.4112939,2.9478614,7.121413,0.9313685,0.9313685,0.0,-0.46988466,0.0,-0.46988466,10.57074,0.0,0.8509112,0.0,1.1559949,1.9788389,0.6861102,7.5978622,15.50356137752533,15.50356137752533,0.0,15.042077,17.515247,20.08278,22.555954,7.5978622,-2.4731715
23.948595,8.308559,0.5140395,2.113493,2.7782161,-0.5599896,0.0,-0.5599896,-0.07948783,0.0,-0.07948783,23.948595,1.1218736,0.60681134,1.1218736,0.3843599,2.7897642,0.30487207,7.716792,16.037860929965973,16.037860929965973,0.0,16.677338,19.877596,18.951536,22.151794,7.716792,-3.2002587
18.047558,6.653938,0.37394458,1.668153,2.6016903,-0.26731017,0.0,-0.26731017,0.5790888,0.5790888,0.0,18.047558,0.6141788,0.37032488,0.6141788,0.0,2.2841818,0.5790888,7.399315,13.850984916090965,13.850984916090965,0.0,13.539206,17.296198,19.071018,22.828012,7.399315,-3.7569914
19.773954,7.8295593,0.12574731,0.9760567,2.2649107,0.24618402,0.24618402,0.0,0.5004798,0.5004798,0.0,19.773954,0.058861446,0.28789943,0.058861446,0.0,0.88385946,0.5004798,8.193687,14.819465100765228,14.819465100765228,0.0,14.072801,18.167723,19.754635,23.849554,8.193687,-4.0949197
21.162287,9.051385,0.0,0.09625785,0.69406927,0.49789375,0.49789375,0.0,0.2473528,0.2473528,0.0,21.162287,0.0,0.4599499,0.0,0.0,0.0,0.2473528,6.7026367,12.551651954650879,12.551651954650879,0.0,11.806406,15.950197,19.6384,23.78219,6.7026367,-4.143793
21.04128,9.004323,0.0,0.830629,1.1373048,-0.27629715,0.0,-0.27629715,0.6880029,0.6880029,0.0,21.04128,0.34151065,0.08912194,0.34151065,0.0,0.0,0.6880029,6.4066525,13.300833284854889,13.300833284854889,0.0,12.889128,16.824577,21.487375,25.422825,6.4066525,-3.93545
25.333145,10.79152,0.0,0.100272246,0.21825644,0.0,0.0,0.0,0.55089897,0.55089897,0.0,25.333145,0.0,0.0,0.0,0.0,0.0,0.55089897,6.133855,14.02638328075409,14.02638328075409,0.0,13.475485,17.143633,23.694948,27.363096,6.133855,-3.6681483
29.149529,12.279799,0.0,1.7095007,2.813136,-0.4457992,0.0,-0.4457992,0.73598874,0.73598874,0.0,29.149529,0.40678295,0.0,0.40678295,0.0,0.0,0.73598874,6.1076813,19.041780829429626,19.041780829429626,0.0,18.751593,21.646416,28.873999,31.768822,6.1076813,-2.894825
30.421507,12.245397,0.0,0.18194154,0.38470027,0.0,0.0,0.0,0.5854024,0.5854024,0.0,30.421507,0.0,0.0,0.0,0.0,0.0,0.5854024,6.731808,17.897248029708862,17.897248029708862,0.0,17.311846,19.361906,25.108864,27.158922,6.731808,-2.0500603
19.182987,7.292414,0.10944253,1.31257,2.975118,0.14847264,0.14847264,0.0,-0.19186954,0.0,-0.19186954,19.182987,0.0,0.13547835,0.0,0.19186954,0.67593575,0.0,12.112527,21.326688170433044,21.326688170433044,0.0,21.370085,22.34103,32.624035,33.59498,12.112527,-0.97094476
24.95632,8.870835,0.047948003,0.8657576,0.7002999,-0.563125,0.0,-0.563125,-0.0677139,0.0,-0.0677139,24.95632,0.53215915,0.0,0.53215915,0.07171786,0.25567693,0.0040039583,6.8385234,16.22711855173111,16.22711855173111,0.0,16.857958,17.020733,25.023533,25.186306,6.8385234,-0.16277494
14.331045,4.9014144,0.25605863,1.5668514,4.604738,1.2759647,1.2759647,0.0,0.6605691,0.6605691,0.0,14.331045,0.0,1.168061,0.0,0.0,1.3059849,0.6605691,9.838835,20.26161563396454,20.26161563396454,0.0,18.325083,18.325083,27.088219,27.088219,9.838835,0.0
11.326777,3.392752,0.16332383,3.848288,6.6376143,-0.7970958,0.0,-0.7970958,0.062624134,0.062624134,0.0,11.326777,0.7350018,0.0,0.7350018,0.0,0.7448319,0.062624134,6.1064944,16.3628089427948,16.3628089427948,0.0,17.09728,17.09728,25.645151,25.645151,6.1064944,0.0
15.14986,4.551829,0.21706605,1.1172235,0.21825705,-1.114491,0.0,-1.114491,-0.05504352,0.0,-0.05504352,15.14986,1.016951,0.0,1.016951,0.43653077,0.9242007,0.38148725,5.234684,10.16679298877716,10.16679298877716,0.0,11.336328,11.336328,15.128212,15.128212,5.234684,0.0
14.027537,3.666508,0.25013995,0.48866057,0.21825704,-0.4106077,0.0,-0.4106077,-0.47695723,0.0,-0.47695723,14.027537,0.38838804,0.0,0.38838804,0.8915254,0.98352337,0.41456816,3.9851987,7.643146306276321,7.643146306276321,0.0,8.530711,8.530711,12.014679,12.014679,3.9851987,0.0
