cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,heating_sp,cooling_sp,comfort_band
3.7793612,0.0,0.74792653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.0,0.0,0.0,0.0,10.8,0.0,3.7793612,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.4995799,1.2475064,1.2475064,0.0,1.2475064,1.2475064,0.4995799,-0.0,24.0,24.0,24.0,2.0
3.2183087,0.0,0.6140647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2635130344440744,0.0,0.34673816,0.34673816,0.0,0.029644966,10.79998891087499,0.32016530541853816,3.2183087,-0.0,0.0,-0.0,-0.0,0.0,0.34673816,0.48967037,1.4504733,1.4504733,0.0,1.1037352,1.1037352,0.48967037,-0.0,24.0,24.0,24.0,2.0
2.8667033,0.0,0.53002995,0.0,0.0,1.6074932,1.6074932,1.6074932,0.0,0.4270324,3.2635130344440744,1.3936259,0.0,0.0,0.0,0.029473124,10.79998891087499,0.3183094131459641,2.8667033,-0.0,1.4668057,-0.0,-0.0,0.0,0.0,0.48590916,2.6234322,2.6234322,0.0,1.015939,1.015939,0.48590916,-0.0,24.0,24.0,24.0,2.0
2.605722,0.0,0.48177665,0.0,0.0,0.0,0.0,0.0,0.0,0.42648974,3.2635130344440744,1.3918549,0.090505935,0.090505935,0.0,0.03697825,10.799986016377709,0.3993645667834118,2.605722,-0.0,0.0,-0.0,-0.0,0.0,0.090505935,0.48231667,1.0545993,1.0545993,0.0,0.9640933,0.9640933,0.48231667,-0.0,24.0,24.0,24.0,2.0
2.4108207,0.0,0.445741,0.0,0.0,0.0,0.0,0.0,0.0,0.42594776,3.2635130344440744,1.390086,0.59065896,0.59065896,0.0,0.0876454,10.799967126332369,0.9465674019488779,2.4108207,-0.0,0.0,-0.0,-0.0,0.0,0.59065896,0.47866794,1.5150678,1.5150678,0.0,0.92440885,0.92440885,0.47866794,-0.0,24.0,24.0,24.0,2.0
2.2112756,0.0,0.39315978,0.0,0.0,0.0,0.0,0.0,0.0,0.4254065,3.2635130344440744,1.3883196,0.7680973,0.7680973,0.0,0.15366316,10.799942561534802,1.659553284724902,2.2112756,-0.0,0.0,-0.0,-0.0,0.0,0.7680973,0.45972544,1.6209825,1.6209825,0.0,0.85288525,0.85288525,0.45972544,-0.0,24.0,24.0,24.0,2.0
3.3582497,0.0,0.62091285,0.0,2.5452676,3.8012166,-0.88878655,0.0,-0.88878655,0.1633115,3.2635130344440744,0.5329692,0.8586726,0.8586726,0.0,0.22734717,10.799915099952077,2.45533008395314,3.3582497,0.81100017,0.0,0.81100017,-0.0,0.0,0.8586726,0.47547966,5.756282,5.756282,0.0,5.786396,5.786396,0.47547966,-0.0,24.0,24.0,24.0,2.0
2.6028998,0.0,0.49664247,0.0,0.0,1.498173,1.498173,1.498173,0.0,0.56109536,3.2635130344440744,1.8311421,0.5334871,0.5334871,0.0,0.27190515,10.799898038226162,2.936547939157936,2.6028998,-0.0,1.3670533,-0.0,-0.0,0.0,0.5334871,0.48265406,2.9950142,2.9950142,0.0,0.9633541,0.9792965,0.48265406,-0.015942417,24.0,24.0,24.0,2.0
3.5366263,0.0,0.7207974,0.0,0.0,0.82794905,0.82794905,0.82794905,0.0,0.780328,3.2635130344440744,2.5466106,0.44366634,0.44366634,0.0,0.30837533,10.799883849081395,3.3304177327378692,3.5366263,-0.0,0.75548714,-0.0,-0.0,0.0,0.44366634,0.490064,2.4127517,2.4127517,0.0,1.1411363,1.2108613,0.490064,-0.06972503,24.0,24.0,24.0,2.0
5.1703157,0.0,1.1882466,0.0,1.0201325,3.0666075,0.83065194,0.83065194,0.0,1.0,3.2635130344440744,3.263513,0.4154247,0.4154247,0.0,0.3421811,10.799870563130895,3.695511443785891,5.1703157,-0.0,0.75795346,-0.0,-0.0,0.0,0.4154247,0.49292544,4.9829226,4.9829226,0.0,3.736846,3.9171276,0.49292544,-0.18028161,24.0,24.0,24.0,2.0
6.1148996,0.0,1.4667861,0.0,0.0,0.0,0.0,0.0,0.0,0.9987292,3.2635130344440744,3.2593658,-0.44646943,0.0,-0.44646943,0.29556516,10.79985628430268,3.1920612304375706,6.1148996,-0.0,0.0,-0.0,0.44646943,0.0,0.0,0.5558588,1.2769661,1.2769661,0.0,1.7234355,2.022645,0.5558588,-0.29920948,24.0,24.0,24.0,2.0
7.645502,0.0,2.0644433,0.0,0.9328599,1.5559511,-0.24435881,0.0,-0.24435881,0.9255495,3.2635130344440744,3.0205429,0.67870456,0.67870456,0.0,0.3524756,10.799834578183372,3.806678317084597,7.645502,0.22297259,0.0,0.22297259,-0.0,0.0,0.67870456,0.4887706,4.4134274,4.4134274,0.0,3.9790816,4.353524,0.4887706,-0.37444258,24.0,24.0,24.0,2.0
8.272793,0.0,2.507701,0.0,0.20403603,0.0,-0.22360598,0.0,-0.22360598,0.85857,3.2635130344440744,2.8019543,0.46869352,0.46869352,0.0,0.39065605,10.79981958854191,4.2190149045869045,8.272793,0.20403603,0.0,0.20403603,-0.0,0.0,0.46869352,0.5509908,3.0976465,3.0976465,0.0,2.8525589,3.2822976,0.5509908,-0.42973885,24.0,24.0,24.0,2.0
