dhw_storage,electrical_storage,cooling_or_heating_device
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.47420906066894536
-0.08,-0.08,1.0
-0.08,-0.08,-0.903087043762207
-0.08,-0.08,0.3161001014709473
-0.08,-0.08,-1.0
-0.08,-0.08,1.0
-0.08,-0.08,-0.5737968635559082
-0.08,-0.08,0.8325343418121338
0.091,0.091,-0.7803759765625
0.091,0.091,1.0
0.091,0.091,0.0
0.091,0.091,0.25796218872070314
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.2769422245025635
0.091,0.091,1.0
0.091,0.091,0.0
0.091,0.091,-0.5244065189361573
-0.08,-0.08,1.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.49969543457031257
-0.08,-0.08,0.6666135787963867
-0.08,-0.08,-0.9008065414428711
-0.08,-0.08,0.2926809406280518
-0.08,-0.08,-1.0
-0.08,-0.08,0.5447895240783691
-0.08,-0.08,-1.0
-0.08,-0.08,0.7878248500823974
-0.08,-0.08,-1.0
-0.08,-0.08,1.0
0.091,0.091,-0.7629119873046876
0.091,0.091,1.0
0.091,0.091,-0.43646160125732425
0.091,0.091,1.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.3064993762969971
0.091,0.091,1.0
0.091,0.091,-0.5509762668609619
-0.08,-0.08,0.6946763515472413
-0.08,-0.08,-1.0
-0.08,-0.08,1.0
-0.08,-0.08,-0.9635758781433105
-0.08,-0.08,0.6395617294311523
-0.08,-0.08,-1.0
-0.08,-0.08,0.21458524703979492
-0.08,-0.08,-1.0
-0.08,-0.08,0.7052040386199951
-0.08,-0.08,-1.0
-0.08,-0.08,0.38825010299682616
-0.08,-0.08,-1.0
-0.08,-0.08,1.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.21621166229248048
0.091,0.091,0.0
0.091,0.091,-0.26439539909362797
0.091,0.091,0.5785190200805664
0.091,0.091,-0.4784748458862305
0.091,0.091,1.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.23952925682067872
-0.08,-0.08,0.6704439830780029
-0.08,-0.08,-0.8913392066955567
-0.08,-0.08,1.0
-0.08,-0.08,-0.5635129356384277
-0.08,-0.08,0.531573715209961
-0.08,-0.08,-0.6297321414947511
-0.08,-0.08,1.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.3374520492553711
