dhw_storage,electrical_storage,cooling_or_heating_device
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.32593751907348634
-0.08,-0.08,0.3036681365966797
-0.08,-0.08,-0.23093115806579592
-0.08,-0.08,0.0
-0.08,-0.08,-0.27915750503540043
-0.08,-0.08,0.4177192497253418
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,-0.18499024391174318
0.091,0.091,0.0
0.091,0.091,-0.7453271484375
0.091,0.091,1.0
0.091,0.091,0.0
0.091,0.091,-0.2951086139678955
0.091,0.091,0.45207581520080564
0.091,0.091,-0.14970973014831543
0.091,0.091,0.2027826023101807
0.091,0.091,-0.24300543785095216
0.091,0.091,0.5468315410614014
-0.08,-0.08,0.0
-0.08,-0.08,-0.11482178688049317
-0.08,-0.08,0.0
-0.08,-0.08,-0.3191125011444092
-0.08,-0.08,0.3299046707153321
-0.08,-0.08,-0.3454753303527832
-0.08,-0.08,0.21175854682922365
-0.08,-0.08,-0.39906902313232423
-0.08,-0.08,0.30329394340515137
-0.08,-0.08,-0.3619382667541504
-0.08,-0.08,0.4032375431060791
-0.08,-0.08,-0.2758206558227539
-0.08,-0.08,0.3801572132110596
0.091,0.091,-0.27936161041259766
0.091,0.091,0.5830997371673584
0.091,0.091,-0.1419369125366211
0.091,0.091,0.34398755073547366
0.091,0.091,0.0
0.091,0.091,-0.1188761329650879
0.091,0.091,0.1933401870727539
0.091,0.091,-0.10948884963989258
0.091,0.091,0.2123599147796631
0.091,0.091,-0.10723743438720704
0.091,0.091,0.0
-0.08,-0.08,-0.21619998931884768
-0.08,-0.08,0.2899191761016846
-0.08,-0.08,0.0
-0.08,-0.08,-0.2461698532104492
-0.08,-0.08,0.0
-0.08,-0.08,-0.3045213127136231
-0.08,-0.08,0.22097456932067872
-0.08,-0.08,-0.35306124687194823
-0.08,-0.08,0.2290113162994385
-0.08,-0.08,-0.3629494094848633
-0.08,-0.08,0.39885318756103516
-0.08,-0.08,-0.23738941192626953
-0.08,-0.08,0.30970214843750005
0.091,0.091,-0.2406332015991211
0.091,0.091,0.4400683975219727
0.091,0.091,-0.144654016494751
0.091,0.091,0.3005842685699463
0.091,0.091,0.0
0.091,0.091,-0.13082489967346192
0.091,0.091,0.24121814727783206
0.091,0.091,0.0
0.091,0.091,-0.126923828125
0.091,0.091,0.19557791709899905
0.091,0.091,-0.12329059600830079
-0.08,-0.08,0.12646244049072267
-0.08,-0.08,-0.20215542793273927
