dhw_storage,electrical_storage,cooling_or_heating_device
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.496234130859375
-0.08,-0.08,0.510626220703125
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.40454750061035155
-0.08,-0.08,0.7952125549316407
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.7091106414794922
0.091,0.091,0.981357192993164
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.42307167053222655
0.091,0.091,0.752962303161621
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.4298076629638672
-0.08,-0.08,0.49946022033691406
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.5435768127441406
-0.08,-0.08,0.4241676330566406
-0.08,-0.08,0.0
-0.08,-0.08,-0.5024726867675782
-0.08,-0.08,0.5323925018310547
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,-0.4413169860839844
0.091,0.091,0.7891281127929688
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.4239528656005859
-0.08,-0.08,0.5796257019042969
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.4378196716308594
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.43264198303222656
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.44371337890625
-0.08,-0.08,0.5344429016113281
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.4293010711669922
0.091,0.091,0.9750503540039063
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.45972023010253904
-0.08,-0.08,0.501950454711914
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.4446826934814453
-0.08,-0.08,1.0
-0.08,-0.08,0.536288833618164
-0.08,-0.08,0.0
0.091,0.091,0.0
