cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,heating_sp,cooling_sp,comfort_band
1.4499916,0.0,0.3799056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.4499916,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.41806394,0.7979696,0.7979696,0.0,0.7979696,0.7979696,0.41806394,-0.0,25.555555,25.555555,25.555555,2.0
1.3185327,0.0,0.33411774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.08346935,4.999989298787238,0.41734587485787605,1.3185327,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.39808124,1.187199,1.187199,0.0,0.73219895,0.73219895,0.39808124,-0.0,25.555555,25.555555,25.555555,2.0
1.7166252,0.0,0.42268634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.16658044,4.999978597551572,0.8328986278402115,1.7166252,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.37838864,1.256075,1.256075,0.0,0.801075,0.801075,0.37838864,-0.0,25.011402,25.0,25.0,2.0
1.441528,0.0,0.35494885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.24933478,4.999967896293003,1.2466659072391242,1.441528,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.43210265,1.2420515,1.2420515,0.0,0.78705144,0.78705144,0.43210265,-0.0,25.00038,25.0,25.0,2.0
1.2955855,0.0,0.3190133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.3317339,4.999957195011531,1.658655361281402,1.2955855,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.36580327,1.1398166,1.1398166,0.0,0.6848166,0.6848166,0.36580327,-0.0,25.00002,25.0,25.0,2.0
1.1865084,0.0,0.28194615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.41377938,4.999946493707155,2.068874749886015,1.1865084,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.36345172,1.100398,1.100398,0.0,0.6453979,0.6453979,0.36345172,-0.0,25.000002,25.0,25.0,2.0
0.46416622,0.0,0.11429211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.49547267,4.999935792379874,2.47733153488625,0.46416622,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.36502817,0.93432033,0.93432033,0.0,0.47932032,0.47932032,0.36502817,-0.0,25.88648,25.88889,25.88889,2.0
0.30117294,0.0,0.07631758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.5768153,4.999925091029691,2.884033327061035,0.30117294,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.37761357,0.8996763,0.8996763,0.0,0.4446763,0.4539311,0.37761357,-0.009254793,26.666508,26.666666,26.666666,2.0
1.3819354,0.0,0.37198323,0.0,2.8545144,5.8564353,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.6578088,4.9999143896566025,3.288987588115227,1.3819354,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.43198484,7.0707207,7.0707207,0.0,6.6157207,6.6604033,0.43198484,-0.044682547,26.666664,26.666666,26.666666,2.0
1.0145781,0.0,0.30510834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.73845464,4.99990368826061,3.6922020777074276,1.0145781,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.43587768,1.0850712,1.0850712,0.0,0.63007116,0.74098593,0.43587768,-0.11091479,26.666666,26.666666,26.666666,2.0
1.1744864,0.0,0.36751282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,-0.4,0.6478841,4.999894280419952,3.2393518603344105,1.1744864,-0.0,0.0,-0.0,0.4,0.0,0.0,0.39176226,0.1847729,0.1847729,0.0,0.5847729,0.7592751,0.39176226,-0.17450218,26.611204,26.61111,26.61111,2.0
2.135783,0.0,0.74641675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,-0.4,0.55770224,4.999884872561593,2.7884470098098046,2.135783,-0.0,0.0,-0.0,0.4,0.0,0.0,0.38941073,0.524643,0.524643,0.0,0.92464304,1.1358275,0.38941073,-0.21118456,25.560207,25.555555,25.555555,2.0
2.1628284,0.0,0.8427127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,-0.4,0.46790752,4.999875464685532,2.3394793197321966,2.1628284,-0.0,0.0,-0.0,0.4,0.0,0.0,0.38941073,0.59614617,0.59614617,0.0,0.9961462,1.2321235,0.38941073,-0.23597725,25.666445,25.666666,25.666666,2.0
1.5281392,0.0,0.6436268,0.0,0.1936699,0.39734086,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,-0.4,0.37849823,4.9998660567917685,1.8924404347541959,1.5281392,-0.0,0.0,-0.0,0.4,0.0,0.0,0.39490205,0.7942805,0.7942805,0.0,1.1942805,1.4358698,0.39490205,-0.24158926,26.674152,26.722221,26.722221,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,-0.4,0.2894727,4.999856648880303,1.4473219995911741,0.0,-0.0,0.0,-0.0,0.4,0.0,0.0,0.39490205,-0.24065882,0.0,-0.24065882,0.15934119,0.39490205,0.39490205,-0.23556086,28.838123,25.555555,25.555555,2.0
2.9518733,0.0,1.3110095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,-0.4,0.2008293,4.9998472409511345,1.0041158080283268,2.9518733,-0.0,0.0,-0.0,0.4,0.0,0.0,0.43580312,1.1367838,1.1367838,0.0,1.5367838,1.7468126,0.43580312,-0.21002875,25.574402,25.555555,25.555555,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23262595,0.0,-0.23262595,0.14913799,4.999841769619855,0.745666345272164,0.0,-0.0,0.0,-0.0,0.23262595,0.0,0.0,0.4395177,0.029013693,0.029013693,0.0,0.26163965,0.43951774,0.4395177,-0.17787807,29.288689,25.555555,25.555555,2.0
3.4806733,0.0,1.4909587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14849785,4.999841769619855,0.7424657516429662,3.4806733,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.4654555,1.8267256,1.8267256,0.0,1.8267256,1.9564142,0.4654555,-0.12968867,25.038109,25.555555,25.555555,2.0
0.0,0.0,0.0,0.0,0.9864416,2.0238228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14786045,4.999841769619855,0.7392788666482286,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,4.6738677,6.6242714,6.6242714,0.0,6.6242714,6.6976905,4.6738677,-0.07341904,29.091022,25.555555,25.555555,2.0
3.7913923,0.0,1.4120138,0.0,0.38733947,0.7946811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1472258,4.999841769619855,0.736105690287951,3.7913923,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.59821683,2.7795675,2.7795675,0.0,2.7795675,2.8049116,0.59821683,-0.025344148,24.50998,25.555555,25.555555,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14659385,4.999841769619855,0.7329460735552373,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.59575665,0.5911134,0.5911134,0.0,0.5911134,0.59575665,0.59575665,-0.0046432586,28.144829,25.555555,25.555555,2.0
3.2526305,0.0,1.0341178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14596464,4.999841769619855,0.7298000909535356,3.2526305,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.60019296,1.6343107,1.6343107,0.0,1.6343107,1.6343107,0.60019296,-0.0,24.814808,25.555555,25.555555,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14533812,4.999841769619855,0.7266675934759496,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.61070544,0.61070544,0.61070544,0.0,0.61070544,0.61070544,0.61070544,-0.0,27.663563,25.555555,25.555555,2.0
3.0308444,0.0,0.84190726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.22818364,4.99983106806843,1.1408796626454107,3.0308444,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.43507543,1.7319827,1.7319827,0.0,1.2769827,1.2769827,0.43507543,-0.0,24.725315,25.555555,25.555555,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.31067356,4.9998203664941006,1.553312015980738,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.4177738,0.8727738,0.8727738,0.0,0.4177738,0.4177738,0.4177738,-0.0,27.138435,25.555555,25.555555,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.39280942,4.9998096648968655,1.9639723386986299,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.39808124,0.8530812,0.8530812,0.0,0.3980812,0.3980812,0.39808124,-0.0,27.696507,25.555555,25.555555,2.0
3.4726112,0.0,0.8550645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.47459272,4.999798963276724,2.3728681669445115,3.4726112,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.37838864,1.6884532,1.6884532,0.0,1.2334532,1.2334532,0.37838864,-0.0,23.386375,25.555555,25.555555,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.55602497,4.999788261633677,2.780007111302084,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.43210265,0.88710266,0.88710266,0.0,0.43210265,0.43210265,0.43210265,-0.0,26.14711,25.0,25.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.0,0.6371077,4.999777559967724,3.1853966332850505,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.455,0.36580327,0.8208033,0.8208033,0.0,0.36580327,0.36580327,0.36580327,-0.0,26.638134,25.0,25.0,2.0
