dhw_storage,electrical_storage,cooling_or_heating_device
-0.039532725,-0.03368227,-0.22945169
0.09254207,0.053614266,-0.13393013
0.07694608,0.043690123,-0.16372377
0.14181148,0.04974698,-0.18657407
0.16827297,0.039171625,-0.1981764
0.19585198,0.0087274825,-0.23870426
0.17205681,-0.043040756,-0.25232348
-0.059772488,-0.14550233,-0.24425532
-0.26146758,-0.17665999,-0.39756435
-0.12999281,-0.07633511,-0.42253655
-0.11911265,-0.046695177,-0.40422472
-0.06982418,-0.029001676,-0.39666492
-0.11479957,-0.03958954,-0.39816564
-0.12621854,-0.046754237,-0.4156177
-0.08327111,-0.092952594,-0.38599572
-0.052536953,-0.11725024,-0.39736262
-0.07132033,-0.141576,-0.40469962
-0.072697885,-0.1304866,-0.36548463
-0.009318385,-0.106425904,-0.33167416
-0.0033639933,-0.06449043,-0.30952042
0.017343948,-0.024353102,-0.2606811
0.054776322,-0.013637565,-0.22827338
0.07140383,-0.03919411,-0.17338394
0.06833663,-0.06283496,-0.10235086
0.09873014,-0.0714199,-0.09156212
-0.030498866,-0.16050066,-0.052884042
-0.048297483,-0.19222553,-0.07052913
-0.0071969866,-0.18836069,-0.12821138
-0.022987377,-0.14248796,-0.19774495
-0.14179598,-0.17070736,-0.2600617
-0.23142332,-0.16224262,-0.18263394
-0.26093414,-0.16625251,-0.23135707
-0.24575719,-0.14332926,-0.2546967
-0.22822645,-0.1725403,-0.40857205
-0.18603343,-0.14156966,-0.36760062
-0.27267236,-0.1618102,-0.33761925
-0.26855463,-0.15199575,-0.34430462
-0.25354147,-0.13977143,-0.3847239
-0.22929692,-0.17984018,-0.36836323
-0.23327683,-0.18550111,-0.34369674
-0.16092859,-0.11849557,-0.30227536
-0.1450882,-0.097895406,-0.27559137
-0.18159604,-0.104879856,-0.25868505
-0.24195322,-0.10627769,-0.2174179
-0.2263382,-0.13351816,-0.15948567
-0.21467833,-0.1344965,-0.12988533
-0.2000535,-0.14747666,-0.12906066
-0.16865398,-0.15674637,-0.10422097
-0.13674898,-0.15878865,-0.09386577
-0.02408825,-0.045235224,-0.16244319
-0.024161644,-0.07363753,-0.17451566
-0.010230311,-0.08581417,-0.1906119
0.00838355,-0.09452292,-0.21091142
0.028476905,-0.10598963,-0.22375809
0.027585307,-0.11705923,-0.22690444
-0.11036337,-0.13717759,-0.22885656
-0.034830276,-0.15419388,-0.3621344
-0.031119192,-0.14428008,-0.36769617
-0.07106011,-0.12698641,-0.41535753
-0.05359643,-0.08806845,-0.38626274
-0.061442025,-0.044889797,-0.40767586
-0.084437005,-0.007727985,-0.4374304
-0.026214955,-0.10187457,-0.40233636
0.015690733,-0.106707975,-0.38013807
0.027009282,-0.109818615,-0.35957745
0.0031222545,-0.13369273,-0.3439835
-0.0261102,-0.14668441,-0.30578074
-0.09482652,-0.13495474,-0.24442239
-0.08704199,-0.09206272,-0.18172032
-0.062438767,-0.0659694,-0.16771814
-0.073333494,-0.03144512,-0.16928469
-0.06466696,-0.006473555,-0.15777676
-0.029690752,0.0057516573,-0.16279897
-0.06689089,-0.058304437,-0.10731943
-0.10408961,-0.091115475,-0.10531059
-0.06891126,-0.074929886,-0.10509348
-0.08922566,-0.077877015,-0.0952106
-0.08408587,-0.083752446,-0.09422618
-0.06460502,-0.08800138,-0.11101133
-0.061483588,-0.066895045,-0.11036304
-0.02338862,-0.046510268,-0.13183096
-0.026805438,-0.053793464,-0.11637676
0.041780826,-0.016165556,-0.11824736
-0.013381509,-0.04031516,-0.11838749
-0.05426536,-0.08026166,-0.17348036
-0.07000542,-0.03636483,-0.13160163
-0.03565893,-0.076254435,-0.09652695
-0.011949407,-0.10056123,-0.08710709
-0.009152489,-0.09823541,-0.078286126
-0.022940861,-0.05316117,-0.10200916
-0.0020791749,-0.09289683,-0.075954065
0.008155076,-0.09063018,-0.07838477
0.03444733,-0.087364785,-0.07724732
5.9047507e-06,-0.07032551,-0.06942889
0.08134612,-0.05560514,-0.07817277
0.062987454,-0.045601286,-0.07209766
0.07172757,-0.038345065,-0.07896975
-0.10805263,-0.0879712,-0.056421757
0.021045046,-0.042930126,-0.08799222
0.0764027,-0.034320563,-0.107455
0.09315073,-0.039513107,-0.12276095
0.06928524,-0.058115423,-0.15357232
0.054699704,-0.07127775,-0.1749518
-0.16886851,-0.086483166,-0.13906996
0.064065844,-0.00014795816,-0.15593776
-0.035707854,-0.072455466,-0.1677271
-0.082904376,-0.0672631,-0.18882494
-0.17644903,-0.11307004,-0.18422583
-0.11971278,-0.079328515,-0.26721576
-0.061575916,-0.017117187,-0.19278711
-0.20487876,-0.123279884,-0.26278585
-0.1288456,-0.106375165,-0.2930908
-0.103695035,-0.09318709,-0.25730425
-0.12632327,-0.12010999,-0.21395867
-0.14429057,-0.14029448,-0.20345017
-0.12978692,-0.14382741,-0.13334711
-0.097102,-0.11075551,-0.108713984
-0.061907567,-0.06914792,-0.11309901
-0.009225771,-0.06044741,-0.10746004
-0.013327673,-0.056354508,-0.06443615
-0.049124315,-0.03895556,-0.0705031
-0.10861572,0.016321765,-0.14405262
-0.10224198,0.007256183,-0.1935121
-0.097681664,-0.0071064513,-0.19811827
-0.0941032,-0.002825837,-0.2129575
-0.04865968,-0.02140448,-0.21406357
-0.07055494,-0.043590184,-0.23780213
-0.11280076,-0.09613139,-0.32941318
-0.09808632,-0.05899856,-0.32124925
-0.10879804,-0.029789515,-0.17459422
-0.12953836,-0.08518666,-0.41636145
-0.15275224,-0.098191634,-0.40181363
-0.10504304,0.007316806,-0.36577564
-0.02676351,-0.030113695,-0.19743598
-0.09991277,-0.028438574,-0.35194033
-0.10181402,0.02152228,-0.36043623
-0.11956525,-0.00080571964,-0.33515397
-0.08358906,-0.018273415,-0.2786725
-0.0871775,-0.060386844,-0.21580565
-0.076594636,-0.07247857,-0.15784746
-0.024084749,-0.040258538,-0.15035519
-0.064456224,-0.024394209,-0.1275724
-0.028995465,-0.099805266,-0.09196809
-0.053566445,-0.11427725,-0.09909792
-0.112840965,-0.05853735,-0.083848074
-0.2898859,-0.195848,-0.01390329
-0.29314542,-0.19938686,-0.022478804
-0.29789335,-0.21192725,-0.020474374
-0.2707357,-0.18203065,-0.030185208
-0.23344837,-0.18211171,-0.039034247
-0.2748381,-0.18797648,-0.06995325
-0.27284735,-0.21806248,-0.09128749
-0.24674189,-0.21174887,-0.13786313
-0.23602642,-0.20913036,-0.1631198
-0.17235892,-0.19778533,-0.116634965
-0.21021251,-0.21232192,-0.06703547
-0.09579677,-0.21223742,-0.15779293
-0.22128198,-0.20789391,-0.17618868
-0.21546844,-0.19386557,-0.21168987
-0.16874872,-0.20145969,-0.1618366
-0.22881581,-0.19937238,-0.1491043
-0.2530095,-0.21787737,-0.09665766
-0.2604874,-0.22839156,-0.06048301
-0.26106536,-0.21672139,-0.048029393
-0.27794933,-0.21973924,-0.039162338
-0.27363318,-0.20516898,-0.03679602
-0.26865587,-0.19339295,-0.035716012
-0.2581909,-0.16759577,-0.04349567
-0.22861981,-0.16057825,-0.04400368
-0.011768938,-0.028791698,-0.054009393
-0.05611333,-0.036071636,-0.08036646
-0.08150039,-0.026791735,-0.10280287
-0.19675845,-0.09368492,-0.07849799
-0.22560112,-0.110868536,-0.07480636
-0.18082558,-0.10934031,-0.09720443
-0.21064642,-0.17244369,-0.086315215
-0.21311845,-0.18672973,-0.11646332
-0.24908306,-0.18985069,-0.18839954
-0.23701254,-0.19179963,-0.19847238
-0.2569705,-0.15574291,-0.13149287
-0.19882807,-0.121986374,-0.17089897
-0.050395086,-0.07982026,-0.1280708
-0.013058164,-0.075100414,-0.13072339
-0.04681993,-0.11361043,-0.15898329
-0.0048755393,-0.061383758,-0.12675138
-0.07089564,-0.08846402,-0.09210011
-0.070176564,-0.075063065,-0.11559433
0.015750315,-0.11438043,-0.08282444
0.025417956,-0.12139792,-0.06957568
0.0028074165,-0.11564605,-0.080685556
-0.09009223,-0.13646792,-0.051290303
-0.08039887,-0.10508424,-0.034744486
-0.043358985,-0.11212474,-0.048049405
-0.07438244,-0.15905294,-0.05080837
-0.05339307,-0.14344896,-0.057420015
-0.031641822,-0.13603221,-0.0866908
0.027598051,-0.08643527,-0.079883516
-0.075224705,-0.123675615,-0.09228332
0.0018870212,-0.07808118,-0.088341296
-0.015790686,-0.08076637,-0.10014358
-0.10621788,-0.09280974,-0.08941236
-0.1257421,-0.11148776,-0.07899615
-0.071211845,-0.12191414,-0.06336883
