electrical_storage,cooling_or_heating_device
-0.0026043684,-0.248707
-0.060120605,-0.3001429
-0.074160285,-0.23999444
-0.06561704,-0.20805147
-0.06502209,-0.17152059
-0.068340406,-0.11063121
-0.048849978,-0.13808233
-0.04423503,-0.16141677
-0.0876576,-0.14149097
-0.07724621,-0.29056782
-0.075666636,-0.3225282
-0.07736538,-0.2770452
-0.07569419,-0.15779561
-0.06413847,-0.10788588
-0.04660451,-0.2316771
-0.05630265,-0.2802476
-0.06626926,-0.29041326
-0.07860351,-0.24868304
-0.08530939,-0.2271795
-0.084356144,-0.23437452
-0.09190354,-0.17510113
-0.09203302,-0.123868704
-0.07425371,-0.122924894
-0.05321508,-0.16584283
-0.06162675,-0.1152218
-0.057967067,-0.0987746
-0.055905454,-0.053056985
-0.04687083,-0.18882392
-0.097047515,-0.07165979
-0.103729114,-0.28076357
-0.104290694,-0.10042147
-0.102011405,-0.24179597
-0.10018981,-0.34522542
-0.09380219,-0.3569286
-0.097801894,-0.20433708
-0.10542279,-0.18403296
-0.1101154,-0.05459656
-0.10363882,-0.3581031
-0.10762236,-0.16219047
-0.11178167,-0.258172
-0.10964347,-0.39654356
-0.10965052,-0.44509417
-0.101037465,-0.4332512
-0.106011406,-0.2864526
-0.109532,-0.029607877
-0.11551033,-0.019199118
-0.07891122,-0.4203694
-0.07822505,-0.22241125
-0.089822754,-0.07699756
-0.10487094,-0.1509454
-0.07287315,-0.16803575
-0.09073973,-0.06633079
-0.09005303,-0.087393716
-0.08776858,-0.07251954
-0.08712435,-0.112660065
-0.08948135,-0.17630948
-0.07923243,-0.3799892
-0.07892799,-0.46559548
-0.023210788,-0.39431193
-0.047446396,-0.38668686
-0.076403655,-0.43620044
-0.07203749,-0.17360203
0.034461636,-0.47913012
0.023237422,-0.46006417
0.014546325,-0.44678727
-0.0011971854,-0.43031427
-0.018762248,-0.3979022
-0.040709272,-0.32174227
-0.07651361,-0.15495011
-0.08769251,-0.13961792
-0.07837817,-0.12877771
-0.05887789,-0.09273194
-0.09894328,-0.0842624
-0.028463064,-0.10185315
-0.03764129,-0.099135995
-0.04460169,-0.12867069
-0.005801202,-0.18577601
-0.036987733,-0.11846031
-0.031239232,-0.12619948
-0.028191619,-0.13618875
-0.04557311,-0.084092095
-0.030398134,-0.092610836
-0.041037526,-0.079025656
-0.030125815,-0.12819237
-0.046735007,-0.21182662
-0.047518503,-0.106428996
-0.05479357,-0.1669713
-0.060833007,-0.14404395
-0.07074214,-0.09617175
-0.065459006,-0.14159003
-0.06456328,-0.15604946
-0.06738111,-0.13063414
-0.07322845,-0.09033561
-0.074937515,-0.07397735
-0.063794635,-0.093389496
-0.05868406,-0.081941515
-0.06245932,-0.091729224
-0.09106785,-0.104788184
-0.09699007,-0.06935027
-0.086984836,-0.10027288
-0.08660621,-0.13368571
-0.083826795,-0.14190945
-0.089711994,-0.10408725
-0.0981681,-0.039504856
-0.103438385,-0.042876273
-0.087228805,-0.05201453
-0.067320034,-0.091178656
-0.035231777,-0.15537435
-0.044920415,-0.08105624
-0.06360332,-0.12433854
-0.036122877,-0.08112718
-0.058379173,-0.087397784
-0.020661717,-0.40510637
-0.05004583,-0.256927
-0.09584267,-0.055800706
-0.058381565,-0.18663889
-0.029536067,-0.38839352
-0.03045956,-0.32061943
-0.038474258,-0.27921447
-0.049991477,-0.15470427
-0.05174769,-0.14629412
-0.061902303,-0.16948426
-0.057549533,-0.16298208
-0.05082466,-0.13747488
-0.061744053,-0.1477403
-0.07448781,-0.13395154
-0.078579225,-0.1120695
-0.09281501,-0.07332374
-0.046941612,-0.32747114
-0.02478853,-0.34187478
-0.046922546,-0.19988453
-0.04478104,-0.17548093
-0.008170799,-0.43482918
-0.013416542,-0.103501454
-0.0014845202,-0.34143624
-0.021414278,-0.25784796
-0.03802286,-0.27395552
-0.049294516,-0.3478557
-0.054047495,-0.26035708
-0.06935798,-0.12758702
-0.06165324,-0.25553423
-0.06958996,-0.1264466
-0.09699448,-0.07009871
-0.06361366,-0.16182324
-0.08818932,-0.13318494
-0.06894478,-0.18153329
-0.06835709,-0.17208469
-0.063857004,-0.143861
-0.08227588,-0.062112182
-0.082581244,-0.059536904
-0.09274186,-0.015889809
-0.08378756,-0.029571071
-0.062268987,-0.12797335
-0.08310743,-0.038577363
-0.090102166,-0.06298651
-0.08346062,-0.12958911
-0.062037222,-0.09530446
-0.0091320975,-0.18283948
-0.027066942,-0.09896839
-0.04555615,-0.076517075
-0.05629035,-0.13261744
-0.07188215,-0.07790673
-0.09612162,-0.11372998
-0.09585191,-0.04856266
-0.07789012,-0.07664965
-0.09287205,-0.07719782
-0.08910382,-0.095005795
-0.08717395,-0.1204374
-0.08992379,-0.08827336
-0.0813861,-0.061265707
-0.06712877,-0.12503411
-0.054584738,-0.13284147
-0.07618822,-0.04411152
-0.07728344,-0.059208587
-0.08801657,-0.038176715
-0.101356715,-0.021606445
-0.050954428,-0.13530305
-0.09846827,-0.11580305
-0.07655033,-0.12654975
-0.07666539,-0.209052
-0.021581942,-0.20872514
-0.014710389,-0.07928932
-0.021131225,-0.29060945
-0.015891084,-0.14037514
-0.056897752,-0.17805132
-0.08654253,-0.050195426
-0.11240284,-0.025446579
-0.10185925,-0.054189697
-0.09555266,-0.08364716
-0.09284222,-0.05267729
-0.09687635,-0.040748447
-0.08835666,-0.060873494
-0.079432696,-0.08216755
-0.091901615,-0.049917772
-0.09182126,-0.04369989
-0.0857535,-0.063218355
-0.09917147,-0.025966242
-0.10203227,-0.0328521
-0.10631891,-0.056383923
