cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,heating_sp,cooling_sp,comfort_band
3.4389548,0.0,0.85196054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0851301383507375,0.0,0.0,0.0,0.0,0.0,13.5,0.0,3.4389548,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.4669244,1.318885,1.318885,0.0,1.318885,1.318885,0.4669244,-0.0,26.666666,26.666666,26.666666,2.0
3.0851555,0.0,0.7388012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0851301383507375,0.0,0.0,0.0,0.0,0.0,13.5,0.0,3.0851555,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.37650564,1.1153069,1.1153069,0.0,1.1153069,1.1153069,0.37650564,-0.0,26.666666,26.666666,26.666666,2.0
3.9209602,0.0,0.9119339,0.0,0.0,1.3801345,1.3801343,1.3801343,0.0,0.31426358,4.0851301383507375,1.2838076,0.0,0.0,0.0,0.0,13.5,0.0,3.9209602,-0.0,1.322163,-0.0,-0.0,0.0,0.0,0.37452906,2.6665974,2.6665974,0.0,1.286463,1.286463,0.37452906,-0.0,26.12098,26.11111,26.11111,2.0
3.5196562,0.0,0.8185989,0.0,0.0,0.0,0.0,0.0,0.0,0.31260356,4.0851301383507375,1.2770263,0.0,0.0,0.0,0.0,13.5,0.0,3.5196562,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.3732273,1.1918262,1.1918262,0.0,1.1918262,1.1918262,0.3732273,-0.0,26.111391,26.11111,26.11111,2.0
3.0273728,0.0,0.70410407,0.0,0.0,1.3164673,1.3164673,1.3164673,0.0,0.61071855,4.0851301383507375,2.4948647,0.0,0.0,0.0,0.0,13.5,0.0,3.0273728,-0.0,1.2611701,-0.0,-0.0,0.0,0.0,0.38611028,2.4066815,2.4066815,0.0,1.0902143,1.0902143,0.38611028,-0.0,26.111122,26.11111,26.11111,2.0
2.5936222,0.0,0.58177716,0.0,0.0,0.0,0.0,0.0,0.0,0.60749257,4.0851301383507375,2.4816864,0.0,0.0,0.0,0.0,13.5,0.0,2.5936222,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.44177255,1.0235497,1.0235497,0.0,1.0235497,1.0235497,0.44177255,-0.0,26.11111,26.11111,26.11111,2.0
2.3889544,0.0,0.55562115,0.0,0.0,1.145627,1.145627,1.145627,0.0,0.8651487,4.0851301383507375,3.5342453,0.0,0.0,0.0,0.0,13.5,0.0,2.3889544,-0.0,1.0975059,-0.0,-0.0,0.0,0.0,0.57308716,2.2743354,2.2743354,0.0,1.1287084,1.1287084,0.57308716,-0.0,26.11111,26.11111,26.11111,2.0
2.3294086,0.0,0.55782276,0.0,0.0,0.0,0.0,0.0,0.0,0.8605788,4.0851301383507375,3.5155764,0.0,0.0,0.0,0.0,13.5,0.0,2.3294086,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.81814146,1.3517411,1.3517411,0.0,1.3517411,1.3759642,0.81814146,-0.024223058,26.11111,26.11111,26.11111,2.0
2.7100537,0.0,0.69005734,0.0,0.0,0.0,0.0,0.0,0.0,0.85603297,4.0851301383507375,3.4970062,0.0,0.0,0.0,0.0,13.5,0.0,2.7100537,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.431129,2.0172193,2.0172193,0.0,2.0172193,2.1211863,1.431129,-0.103966966,26.11111,26.11111,26.11111,2.0
3.2279756,0.0,0.91980076,0.0,0.22782394,0.0,-0.23781309,0.0,-0.23781309,0.79407597,4.0851301383507375,3.2439036,0.0,0.0,0.0,0.0,13.5,0.0,3.2279756,0.22782394,0.0,0.22782394,-0.0,0.0,0.0,2.002324,2.6495774,2.6495774,0.0,2.8873904,3.1599379,2.002324,-0.27254748,26.11111,26.11111,26.11111,2.0
