dhw_storage,electrical_storage,cooling_or_heating_device
0.091,0.091,0.47048563957214357
0.091,0.091,0.07723847389221192
0.091,0.091,0.000925991535186764
0.091,0.091,0.0
0.091,0.091,0.013374796658754351
0.091,0.091,0.0011822668239474254
0.091,0.091,0.001486860268190504
0.091,0.091,0.0032835420597903398
-0.08,-0.08,0.005793692598183638
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.5889410781860351
-0.08,-0.08,0.0
-0.08,-0.08,0.2073604965209961
-0.08,-0.08,0.0
-0.08,-0.08,0.41717483520507814
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.43282146453857423
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.5595640373229981
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.44823719978332516
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.45807694435119634
0.091,0.091,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.41962122917175293
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.49642499923706057
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.4977467155456543
-0.08,-0.08,0.0
-0.08,-0.08,0.19550838470458987
-0.08,-0.08,0.0
-0.08,-0.08,0.4102994728088379
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.45151372909545895
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.571601676940918
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.5119836044311523
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.5239311885833741
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.24154365539550782
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.2465826988220215
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.3760431861877441
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.46495433807373043
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.2776911067962647
0.091,0.091,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.28134749412536625
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.21535985946655273
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.22944778442382813
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.27093017578125
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.33285177230834967
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.27981790542602536
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.22403971672058107
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.2741633701324463
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.4052252197265625
0.091,0.091,0.0
0.091,0.091,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.20348608016967773
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.2328522872924805
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
-0.08,-0.08,0.19976469039916994
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.18291280746459962
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.22463624954223632
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.24251598358154297
0.091,0.091,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.27102361679077147
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.3023209381103516
0.091,0.091,0.0
0.091,0.091,0.0
-0.08,-0.08,0.2770255088806153
-0.08,-0.08,0.0
