electrical_storage,cooling_or_heating_device
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.21219369888305664
-0.08,0.0
-0.08,0.4280424308776855
-0.08,0.0
-0.08,0.23009306907653812
-0.08,0.0
0.091,0.5660223007202149
0.091,0.0
0.091,0.0
0.091,0.6846233177185058
0.091,0.0
0.091,0.0
0.091,0.2973387718200684
0.091,0.0
0.091,0.3000539779663086
0.091,0.0
0.091,0.4423842716217041
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.2907667541503906
-0.08,0.0
-0.08,0.2760037517547607
-0.08,0.0
-0.08,0.3440836524963379
-0.08,0.0
-0.08,0.32813367843627933
-0.08,0.0
-0.08,0.46438421249389655
-0.08,0.0
0.091,0.0
0.091,0.6356148624420166
0.091,0.0
0.091,0.0
0.091,0.5416436767578124
0.091,0.0
0.091,0.0
0.091,0.546923770904541
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.2408611297607422
-0.08,0.0
-0.08,0.18259862899780274
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.20178382873535156
0.091,0.0
0.091,0.2965973377227783
0.091,0.0
0.091,0.20877091407775877
0.091,0.0
0.091,0.31638584136962894
0.091,0.0
0.091,0.0
-0.08,0.3584742450714111
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.22385757446289062
0.091,0.0
0.091,0.0
0.091,0.2388162612915039
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.21098438262939453
0.091,0.0
0.091,0.0
0.091,0.2805722045898437
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.2072541904449463
0.091,0.0
0.091,0.0
0.091,0.20646332740783693
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.2697878932952881
0.091,0.0
0.091,0.25867247581481934
0.091,0.0
0.091,0.2513400650024414
0.091,0.0
0.091,0.0
0.091,0.324975643157959
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.29899159431457517
0.091,0.0
0.091,0.21850299835205078
0.091,0.0
0.091,0.4291989326477051
0.091,0.0
0.091,0.0
0.091,0.3115133666992187
0.091,0.0
-0.08,0.0
-0.08,0.2696314811706543
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.2346500110626221
0.091,0.0
0.091,0.0
0.091,0.24379301071166992
0.091,0.0
0.091,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
-0.08,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.0
0.091,0.37743396759033204
0.091,0.0
0.091,0.0
0.091,0.264021635055542
0.091,0.0
0.091,0.0
-0.08,0.3076335334777832
-0.08,0.0
-0.08,0.0
-0.08,0.4885393905639648
-0.08,0.0
-0.08,0.2362716865539551
-0.08,0.0
-0.08,0.4038547515869141
-0.08,0.0
-0.08,0.34133865356445314
-0.08,0.0
-0.08,0.6349309825897218
-0.08,0.0
0.091,0.0
0.091,0.45109121322631834
0.091,0.0
0.091,0.4296160316467285
0.091,0.0
0.091,0.5277615928649902
