cooling demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
1.6664819,0.08332409,0.0,1.0365683,1.0838281,0.0,0.0,0.0,0.0,0.0,0.0,1.6664819,0.0,0.0,0.0,0.0,54.03969,0.0,3.7091038,3.7924279272556305,3.7924279272556305,0.0,3.7924278,3.7924278,3.7924278,3.7924278,3.7091038,0.0
0.0,0.0,0.0,0.0,2.9446788,4.068547,4.068547,0.0,7.931637,7.931637,0.0,0.0,0.0,3.742257,0.0,0.0,58.118847,7.931637,3.5316696,11.463306665420532,11.463306665420532,0.0,-0.53687763,-0.53687763,-0.53687763,-0.53687763,3.5316696,0.0
0.0,0.0,0.0,0.0,2.9446788,4.068547,4.068547,0.0,7.924903,7.924903,0.0,0.0,0.0,3.742257,0.0,0.0,56.061832,7.924903,3.5420039,11.46690684556961,11.46690684556961,0.0,-0.5265431,-0.5265431,-0.5265431,-0.5265431,3.5420039,0.0
0.0,0.0,0.0,0.0,2.9446788,4.068547,4.068547,0.0,7.9182463,7.9182463,0.0,0.0,0.0,3.742257,0.0,0.0,58.20987,7.9182463,3.5198421,11.438089191913605,11.438089191913605,0.0,-0.5487046,-0.5487046,-0.5487046,-0.5487046,3.5198421,0.0
0.0,0.0,0.0,0.45284262,3.4382086,4.068547,4.068547,0.0,7.911668,7.911668,0.0,0.0,0.0,3.742257,0.0,0.0,57.603416,7.911668,3.6655319,11.577199637889862,11.577199637889862,0.0,-0.40301484,-0.40301484,-0.40301484,-0.40301484,3.6655319,0.0
0.0,0.0,0.0,2.272209,3.5017524,4.068547,4.068547,0.0,7.9051647,7.9051647,0.0,0.0,0.0,3.742257,0.0,0.0,56.179394,7.9051647,4.416981,12.322145819664001,12.322145819664001,0.0,0.3484344,0.3484344,0.3484344,0.3484344,4.416981,0.0
0.0,0.0,0.0,0.089923635,3.0385451,4.068547,4.068547,0.0,7.898737,7.898737,0.0,0.0,0.0,3.742257,0.0,0.0,55.84362,7.898737,5.4535484,13.352285265922546,13.352285265922546,0.0,1.3850014,1.3850014,1.3850014,1.3850014,5.4535484,0.0
0.0,0.0,0.0,1.6815479,4.7767944,4.068547,4.068547,0.0,7.8923836,7.8923836,0.0,0.0,0.0,3.742257,0.0,0.0,59.077564,7.8923836,6.812767,14.705150723457336,14.705150723457336,0.0,2.74422,2.74422,2.74422,2.74422,6.812767,0.0
0.0,0.0,0.0,5.196082,6.0893984,4.068547,4.068547,0.0,7.8861046,7.8861046,0.0,0.0,0.0,3.742257,0.0,0.0,55.129684,7.8861046,8.013284,15.670941770076752,15.670941770076752,0.0,3.7162905,3.944737,3.7162905,3.944737,8.013284,-0.22844622
0.0,0.0,0.0,1.718154,0.30346784,-1.563482,0.0,-1.563482,-6.984,0.0,-6.984,0.0,1.4412456,0.0,1.4412456,6.984,57.101704,0.0,9.034673,1.2836940474808216,1.2836940474808216,0.0,9.831177,10.598154,9.831177,10.598154,9.034673,-0.7669784
0.0,0.0,0.0,2.9400826,2.298244,-0.75262666,0.0,-0.75262666,-6.984,0.0,-6.984,0.0,0.6996852,0.0,0.6996852,6.984,54.898994,0.0,13.314214,4.734124578535557,4.734124578535557,0.0,12.470752,14.06684,12.470752,14.06684,13.314214,-1.5960886
0.0,0.0,0.0,3.1083002,2.301658,-1.0276386,0.0,-1.0276386,-6.984,0.0,-6.984,0.0,0.9409245,0.0,0.9409245,6.984,45.420956,0.0,9.632293,-0.00162467360496521,0.0,-0.00162467360496521,8.010015,10.659932,8.010015,10.659932,9.632293,-2.6499171
0.0,0.0,0.0,4.0426755,4.1900635,0.0,0.0,0.0,-6.984,0.0,-6.984,0.0,0.0,0.0,0.0,6.984,42.461994,0.0,9.659983,0.4556863605976105,0.4556863605976105,0.0,7.439686,9.659982,7.439686,9.659982,9.659983,-2.2202952
0.0,0.0,0.0,4.0010357,3.2881033,-1.0276365,0.0,-1.0276365,-6.984,0.0,-6.984,0.0,0.9409226,0.0,0.9409226,6.984,42.340267,0.0,13.943195,4.979358062148094,4.979358062148094,0.0,12.990995,14.970832,12.990995,14.970832,13.943195,-1.9798379
