dhw_storage,electrical_storage,cooling_or_heating_device
0.091,0.091,0.27168889045715333
0.091,0.091,0.26858016967773435
0.091,0.091,0.25246334075927734
0.091,0.091,0.23586444854736327
0.091,0.091,0.22937475204467775
0.091,0.091,0.21178986549377443
0.091,0.091,0.19355858802795411
0.091,0.091,0.17473294258117678
-0.08,-0.08,0.15586833000183106
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.34009273529052736
-0.08,-0.08,0.0
-0.08,-0.08,0.2881608200073242
-0.08,-0.08,0.0
-0.08,-0.08,0.27284353256225585
-0.08,-0.08,0.0
-0.08,-0.08,0.22848619461059572
0.091,0.091,0.0
0.091,0.091,0.24077943801879884
0.091,0.091,0.0
0.091,0.091,0.23806507110595704
0.091,0.091,0.0
0.091,0.091,0.2523356342315674
0.091,0.091,0.0
0.091,0.091,0.22019920349121094
0.091,0.091,0.0
0.091,0.091,0.23055735588073734
0.091,0.091,0.0
-0.08,-0.08,0.22059255599975588
-0.08,-0.08,0.0
-0.08,-0.08,0.21485101699829104
-0.08,-0.08,0.0
-0.08,-0.08,0.22846899032592774
-0.08,-0.08,0.0
-0.08,-0.08,0.21556655883789064
-0.08,-0.08,0.0
-0.08,-0.08,0.24086154937744142
-0.08,-0.08,0.0
-0.08,-0.08,0.24753290176391604
-0.08,-0.08,0.0
-0.08,-0.08,0.22940505981445314
0.091,0.091,0.0
0.091,0.091,0.2553002452850342
0.091,0.091,0.0
0.091,0.091,0.2531852912902832
0.091,0.091,0.0
0.091,0.091,0.2857999229431153
0.091,0.091,0.0
0.091,0.091,0.2767512512207031
0.091,0.091,0.0
0.091,0.091,0.28895456314086915
0.091,0.091,0.0
-0.08,-0.08,0.24721540451049806
-0.08,-0.08,0.0
-0.08,-0.08,0.1155494499206543
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.1528045463562012
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.14115020751953128
0.091,0.091,0.0
0.091,0.091,0.13993574142456053
0.091,0.091,0.0
0.091,0.091,0.18684322357177735
0.091,0.091,0.0
0.091,0.091,0.17776718139648437
0.091,0.091,0.0
0.091,0.091,0.1723486137390137
0.091,0.091,0.0
0.091,0.091,0.18404518127441408
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.10946617126464844
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.10276588439941407
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.12095433235168458
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.11843976974487305
0.091,0.091,0.0
0.091,0.091,0.12730466842651367
0.091,0.091,0.0
0.091,0.091,0.11849998474121094
0.091,0.091,0.0
0.091,0.091,0.12587827682495117
0.091,0.091,0.0
0.091,0.091,0.11978952407836914
0.091,0.091,0.0
-0.08,-0.08,0.11117408752441407
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.12587671279907225
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.22564826965332033
0.091,0.091,0.0
0.091,0.091,0.1357629203796387
0.091,0.091,0.0
0.091,0.091,0.13600378036499022
0.091,0.091,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.15530112266540527
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.14657190322875976
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.1169508171081543
0.091,0.091,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.11811758041381837
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,0.0
