cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,outdoor_temperature,indoor_temperature,heating_sp,cooling_sp,comfort_band
0.0,6.889532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.211903863371994,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,6.889532,0.0,0.391112,0.391112,0.391112,0.0,0.391112,0.391112,0.391112,-0.0,-21.333334,18.855238,18.88889,18.88889,2.0
0.0,5.557705,0.0,0.0,0.0,6.639871,6.639871,6.639871,0.0,0.5011813,12.211903863371994,6.1203775,3.2933857,3.2933857,0.0,0.23857105,13.499841271593088,3.2206712770667725,0.0,-0.0,6.189325,-0.0,-0.0,5.557705,3.2933857,0.4183999,3.7117856,3.7117856,0.0,-10.172634,-10.172634,0.4183999,-0.0,-21.225,18.888033,18.88889,18.88889,2.0
0.0,5.25962,0.0,0.0,0.0,6.639871,6.639871,6.639871,0.0,0.99796,12.211903863371994,12.186991,3.2472594,3.2472594,0.0,0.47196114,13.499684764457765,6.371326619614416,0.0,-0.0,6.189325,-0.0,-0.0,5.25962,3.2472594,0.38568112,3.6329405,3.6329405,0.0,-10.544729,-10.544729,0.38568112,-0.0,-21.7,18.888868,18.88889,18.88889,2.0
0.0,5.2526836,0.0,0.0,0.0,0.14317036,0.14317036,0.14317036,0.0,1.0,12.211903863371994,12.211904,3.2021346,3.2021346,0.0,0.70027626,13.499530430397467,9.45340062225966,0.0,-0.0,0.13345557,-0.0,-0.0,5.2526836,3.2021346,0.38296568,3.5851002,3.5851002,0.0,-4.058642,-4.058642,0.38296568,-0.0,-22.8,18.88889,18.88889,18.88889,2.0
0.0,5.203944,0.0,0.0,0.0,0.11638058,0.11638058,0.11638058,0.0,1.0,12.211903863371994,12.211904,3.1579912,3.1579912,0.0,0.9236204,13.499378222189092,12.468301151302759,0.0,-0.0,0.10848361,-0.0,-0.0,5.203944,3.1579912,0.38025025,3.5382414,3.5382414,0.0,-3.6457052,-3.6457052,0.38025025,-0.0,-22.45,18.88889,18.88889,18.88889,2.0
0.0,5.3616567,0.0,0.0,0.0,0.11638058,0.11638058,0.11638058,0.0,1.0,12.211903863371994,12.211904,1.138724,1.138724,0.0,0.9984397,13.499323337586793,13.478260737748535,0.0,-0.0,0.10848361,-0.0,-0.0,5.3616567,1.138724,0.38025025,1.5189742,1.5189742,0.0,0.17680252,0.17680252,0.38025025,-0.0,-23.9,18.88889,18.88889,18.88889,2.0
0.0,5.5591893,0.0,0.0,0.0,0.11638058,0.11638058,0.11638058,0.0,1.0,12.211903863371994,12.211904,0.13737486,0.13737486,0.0,0.99956113,13.499316716319848,13.493392284698878,0.0,-0.0,0.10848361,-0.0,-0.0,5.5591893,0.13737486,0.38568112,0.523056,0.523056,0.0,0.18223333,0.18223333,0.38568112,-0.0,-25.0,18.88889,18.88889,18.88889,2.0
0.0,5.3711576,0.0,0.0,0.5376039,0.6931189,0.11638058,0.11638058,0.0,1.0,12.211903863371994,12.211904,0.12236071,0.12236071,0.0,0.9996,13.499310818710347,13.493911002977846,0.0,-0.0,0.10848361,-0.0,-0.0,5.3711576,0.12236071,1.0582325,1.1805933,1.1805933,0.0,0.8547848,0.8547848,1.0582325,-0.0,-25.0,18.88889,18.88889,18.88889,2.0
0.0,5.467875,0.0,0.0,0.31591347,0.45529068,0.11638058,0.11638058,0.0,1.0,12.211903863371994,12.211904,0.121834725,0.121834725,0.0,0.99960095,13.499304946449813,13.493918007006673,0.0,-0.0,0.10848361,-0.0,-0.0,5.467875,0.121834725,0.5146462,0.631757,0.631757,0.0,0.30647454,0.31119844,0.5146462,-0.004723902,-23.9,18.88889,18.88889,18.88889,2.0
0.0,5.4826717,0.0,0.0,1.3111014,1.5229225,0.11638058,0.11638058,0.0,1.0,12.211903863371994,12.211904,0.12181609,0.12181609,0.0,0.9996005,13.499299075084854,13.493906505638218,0.0,-0.0,0.10848361,-0.0,-0.0,5.4826717,0.12181609,0.5157232,0.61365956,0.61365956,0.0,0.2883957,0.31227547,0.5157232,-0.02387976,-21.1,18.88889,18.88889,18.88889,2.0
0.0,4.911526,0.0,0.0,0.0,0.11638058,0.11638058,0.11638058,0.0,1.0,12.211903863371994,12.211904,0.1218158,0.1218158,0.0,0.9996001,13.499293203731346,13.493895004286108,0.0,-0.0,0.10848361,-0.0,-0.0,4.911526,0.1218158,0.63149583,0.67570615,0.67570615,0.0,0.3504426,0.42804804,0.63149583,-0.077605456,-19.45,18.88889,18.88889,18.88889,2.0
0.0,4.277871,0.0,0.0,0.0,0.11638058,0.11638058,0.11638058,0.0,1.0,12.211903863371994,12.211904,0.12181551,0.12181551,0.0,0.9995997,13.49928733238929,13.493883502950347,0.0,-0.0,0.10848361,-0.0,-0.0,4.277871,0.12181551,0.7158539,0.7177121,0.7177121,0.0,0.39244884,0.5124062,0.7158539,-0.11995732,-16.7,18.88889,18.88889,18.88889,2.0
0.0,3.8787284,0.0,0.0,1.3110968,1.5229175,0.11638058,0.11638058,0.0,1.0,12.211903863371994,12.211904,0.12181523,0.12181523,0.0,0.9995992,13.499281461058326,13.493871197010694,0.0,-0.0,0.10848361,-0.0,-0.0,3.8787284,0.12181523,0.6424203,0.6140543,0.6140543,0.0,0.28879133,0.4389725,0.6424203,-0.15018117,-16.1,18.88889,18.88889,18.88889,2.0
0.0,3.591302,0.0,0.0,0.8740284,1.054033,0.11638058,0.11638058,0.0,1.0,12.211903863371994,12.211904,0.12181573,0.12181573,0.0,0.9995988,13.499275589700389,13.493859695669206,0.0,-0.0,0.10848361,-0.0,-0.0,3.591302,0.12181573,0.64188117,0.6198764,0.6198764,0.0,0.29461288,0.43843338,0.64188117,-0.1438205,-16.3,18.88889,18.88889,18.88889,2.0
0.0,3.570817,0.0,0.0,0.0,0.11638058,0.11638058,0.11638058,0.0,1.0,12.211903863371994,12.211904,0.12181545,0.12181545,0.0,0.9995984,13.499269718353544,13.493848194343704,0.0,-0.0,0.10848361,-0.0,-0.0,3.570817,0.12181545,0.51753676,0.52513015,0.52513015,0.0,0.19986695,0.31408897,0.51753676,-0.11422203,-16.5,18.623049,18.88889,18.88889,2.0
0.0,9.000157,0.0,0.0,0.43702433,0.5852177,0.11638058,0.11638058,0.0,1.0,12.211903863371994,12.211904,0.12181516,0.12181516,0.0,0.99959797,13.49926384701815,13.493836693034549,0.0,-0.0,0.10848361,-0.0,-0.0,9.000157,0.12181516,0.39382744,0.43865722,0.43865722,0.0,0.16862214,0.2456075,0.39382744,-0.07698536,-16.65,21.99265,18.88889,18.88889,2.0
0.0,8.714205,0.0,0.0,0.0,0.11638058,0.11638058,0.11638058,0.0,1.0,12.211903863371994,12.211904,0.12181487,0.12181487,0.0,0.9995975,13.49925797569421,13.493824387123265,0.0,-0.0,0.10848361,-0.0,-0.0,8.714205,0.12181487,0.7276362,0.8402238,0.8402238,0.0,0.46002832,0.46925557,0.7276362,-0.009227248,-17.5,22.090973,18.88889,18.88889,2.0
