cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,heating_sp,cooling_sp,comfort_band
0.0,13.629139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,13.629139,0.0,0.33956122,0.33956122,0.33956122,0.0,0.33956122,0.33956122,0.33956122,-0.0,20.956957,21.0,21.0,2.0
0.0,14.272038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,14.272038,0.0,0.36754465,0.36754465,0.36754465,0.0,-5.718923,-5.718923,0.36754465,-0.0,20.99747,21.0,21.0,2.0
0.0,14.111878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,14.111878,0.0,0.33654717,0.33654717,0.33654717,0.0,-5.9336643,-5.9336643,0.33654717,-0.0,20.999853,21.0,21.0,2.0
0.0,14.173888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,14.173888,0.0,0.34096068,0.34096068,0.34096068,0.0,-5.858111,-5.858111,0.34096068,-0.0,20.99999,21.0,21.0,2.0
0.0,14.115047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,14.115047,0.0,0.36193916,0.36193916,0.36193916,0.0,-5.904638,-5.904638,0.36193916,-0.0,21.0,21.0,21.0,2.0
0.0,14.219672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,14.219672,0.0,0.4032121,0.4032121,0.4032121,0.0,-5.7433333,-5.7433333,0.4032121,-0.0,21.0,21.0,21.0,2.0
0.0,14.614118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,14.614118,0.0,0.4708394,0.4708394,0.4708394,0.0,-5.223178,-5.223178,0.4708394,-0.0,21.0,21.0,21.0,2.0
0.0,15.016505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,15.016505,0.0,0.57768816,0.57768816,0.57768816,0.0,0.20140207,0.20140207,0.57768816,-0.0,21.0,21.0,21.0,2.0
0.0,14.614933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,14.614933,0.0,0.80422115,0.799107,0.799107,0.0,0.59633106,0.6014452,0.80422115,-0.0051141605,21.0,21.0,21.0,2.0
0.0,13.955206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,13.955206,0.0,1.0131952,0.9944441,0.9944441,0.0,0.7916681,0.8104192,1.0131952,-0.018751068,21.0,21.0,21.0,2.0
0.0,13.102959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,13.102959,0.0,1.0470405,0.9764612,0.9764612,0.0,0.7736852,0.8442645,1.0470405,-0.07057926,21.0,21.0,21.0,2.0
0.0,11.720624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,11.720624,0.0,1.0128847,0.89682937,0.89682937,0.0,0.6940534,0.8101088,1.0128847,-0.116055384,21.0,21.0,21.0,2.0
0.0,10.757066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,10.757066,0.0,1.0087816,0.8589062,0.8589062,0.0,0.65613025,0.8060056,1.0087816,-0.14987534,21.0,21.0,21.0,2.0
0.0,9.839381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,9.839381,0.0,1.4949807,1.3485068,1.3485068,0.0,1.1457309,1.2922047,1.4949807,-0.14647384,21.0,21.0,21.0,2.0
0.0,9.560478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,9.560478,0.0,1.4173862,1.2983433,1.2983433,0.0,1.0955673,1.2146102,1.4173862,-0.11904286,20.970615,21.0,21.0,2.0
0.0,19.383224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.383224,0.0,1.4326919,1.3486881,1.3486881,0.0,1.1459122,1.229916,1.4326919,-0.08400381,25.942833,21.0,21.0,2.0
0.0,19.407814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.407814,0.0,3.6447754,3.6334176,3.6334176,0.0,3.4389672,3.450325,3.6447754,-0.011357897,25.826511,21.0,21.0,2.0
0.0,19.528425,0.0,0.0,3.8891516,4.223612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.528425,0.0,1.7212697,1.7212697,1.7212697,0.0,1.6651918,1.6651918,1.7212697,-0.0,26.76865,21.0,21.0,2.0
0.0,19.510738,0.0,0.0,0.9722846,1.0558994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.510738,0.0,0.41486293,0.41486293,0.41486293,0.0,0.3384927,0.3384927,0.41486293,-0.0,26.583992,21.0,21.0,2.0
0.0,19.486397,0.0,0.0,0.97228,1.0558944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.486397,0.0,0.38549432,0.38549432,0.38549432,0.0,0.2811986,0.2811986,0.38549432,-0.0,26.58406,21.0,21.0,2.0
0.0,19.102276,0.0,0.0,0.4861432,0.52795064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.102276,0.0,0.3628695,0.3628695,0.3628695,0.0,-0.1821096,-0.1821096,0.3628695,-0.0,26.320698,21.0,21.0,2.0
0.0,19.544363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.544363,0.0,0.38544524,0.38544524,0.38544524,0.0,0.34765112,0.34765112,0.38544524,-0.0,26.449207,20.958334,20.958334,2.0
0.0,19.356533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.356533,0.0,1.0472025,1.0472025,1.0472025,0.0,0.7939199,0.7939199,1.0472025,-0.0,26.49757,21.11111,21.11111,2.0
0.0,19.557835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.557835,0.0,0.6912403,0.6912403,0.6912403,0.0,0.66890144,0.66890144,0.6912403,-0.0,26.596615,19.0,19.0,2.0
0.0,19.55715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.55715,0.0,0.33956122,0.33956122,0.33956122,0.0,0.31643653,0.31643653,0.33956122,-0.0,26.512993,19.0,19.0,2.0
0.0,19.52856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.52856,0.0,0.36754465,0.36754465,0.36754465,0.0,0.3116212,0.3116212,0.36754465,-0.0,26.600502,19.0,19.0,2.0
0.0,18.418743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,18.418743,0.0,0.33654717,0.33654717,0.33654717,0.0,-0.51040936,-0.51040936,0.33654717,-0.0,26.076061,19.0,19.0,2.0
0.0,19.531158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.531158,0.0,0.34096068,0.34096068,0.34096068,0.0,0.2880184,0.2880184,0.34096068,-0.0,26.562405,19.0,19.0,2.0
0.0,19.535345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.535345,0.0,0.36193916,0.36193916,0.36193916,0.0,0.3137996,0.3137996,0.36193916,-0.0,26.589294,20.555555,20.555555,2.0
0.0,19.545977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.545977,0.0,0.4032121,0.4032121,0.4032121,0.0,0.36727002,0.36727002,0.4032121,-0.0,26.647732,21.11111,21.11111,2.0
0.0,19.573776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.573776,0.0,0.4708394,0.4708394,0.4708394,0.0,0.4667901,0.4667901,0.4708394,-0.0,26.684448,21.0,21.0,2.0
0.0,19.5164,0.0,0.0,2.8493245,3.0943613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.5164,0.0,0.57768816,0.57768816,0.57768816,0.0,0.50781244,0.50781244,0.57768816,-0.0,26.687614,21.0,21.0,2.0
0.0,19.559063,0.0,0.0,0.39902982,0.43334568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.559063,0.0,1.4909595,1.4862732,1.4862732,0.0,1.4653438,1.4700302,1.4909595,-0.004686347,26.848446,21.0,21.0,2.0
0.0,19.501999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.501999,0.0,1.0131952,0.9935635,0.9935635,0.0,0.9071682,0.9267999,1.0131952,-0.019631702,27.100494,21.0,21.0,2.0
0.0,19.50353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.50353,0.0,1.0470405,0.97857,0.97857,0.0,0.8939314,0.96240187,1.0470405,-0.06847051,27.652172,21.0,21.0,2.0
0.0,19.516748,0.0,0.0,1.4613798,1.5870558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.516748,0.0,1.0128847,0.9075636,0.9075636,0.0,0.83808845,0.94340956,1.0128847,-0.1053211,28.195183,20.916666,20.916666,2.0
0.0,19.450903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.450903,0.0,1.0087816,0.931475,0.931475,0.0,0.78645927,0.86376584,1.0087816,-0.07730658,28.625324,20.444445,20.444445,2.0
0.0,19.434286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.434286,0.0,0.8376614,0.7605747,0.7605747,0.0,0.59649503,0.6735817,0.8376614,-0.07708672,29.118446,20.444445,20.444445,2.0
0.0,19.50955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.50955,0.0,1.4173862,1.345448,1.345448,0.0,1.267714,1.3396522,1.4173862,-0.07193821,29.637238,20.444445,20.444445,2.0
0.0,19.346048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,-0.0,0.0,-0.0,-0.0,19.346048,0.0,1.4326919,1.393605,1.393605,0.0,1.1282947,1.1673816,1.4326919,-0.03908698,29.991074,20.444445,20.444445,2.0
